Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Par.P/adjustb/1,4.954424180624049e-8,4.946403593800919e-8,4.963366613444917e-8,2.941936745876811e-10,2.3863738058713066e-10,3.793652388851226e-10
adjustb/DeBruijn.Lazy.Par.P/adjustb/2,2.5132987738254024e-7,2.497513017045403e-7,2.527621996919538e-7,5.358849262316204e-9,4.496228169742782e-9,6.485598875838004e-9
adjustb/DeBruijn.Lazy.Par.P/adjustb/3,5.587002211561561e-7,5.575282022071267e-7,5.601821745510837e-7,4.2764995278234434e-9,3.25245955922392e-9,5.6940186845412895e-9
adjustb/DeBruijn.Lazy.Par.P/adjustb/4,1.1805148965693785e-6,1.178596673926136e-6,1.183713004137001e-6,8.543272719104138e-9,5.973313585971785e-9,1.3327188927079038e-8
adjustb/DeBruijn.Lazy.Par.P/adjustb/5,2.259890088712869e-6,2.254983880511281e-6,2.266369929099454e-6,2.0292451848558208e-8,1.673677657348913e-8,2.8885558867394166e-8
adjustb/DeBruijn.Lazy.Par.P/adjustb/6,3.769531808111199e-6,3.7593836357153646e-6,3.781275507055228e-6,3.5491449085949496e-8,2.925137456476087e-8,4.5862458639827504e-8
adjustb/DeBruijn.Lazy.Par.P/adjustb/7,5.773749257547485e-6,5.761191089802135e-6,5.795563413853462e-6,5.580584442719768e-8,3.655161265136944e-8,7.460294480804146e-8
adjustb/DeBruijn.Lazy.Par.P/adjustb/8,8.506234356141599e-6,8.490867739896236e-6,8.528970801531261e-6,6.068043435878473e-8,4.846131284623913e-8,9.365010343861449e-8
adjustb/DeBruijn.Lazy.Par.P/adjustb/9,1.2354324914800123e-5,1.2245941196146657e-5,1.2479361116160682e-5,3.846058788667613e-7,3.563761355836393e-7,4.1834072965487936e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/10,1.695671871114798e-5,1.6866920701367486e-5,1.7010524669888517e-5,2.2709928863173403e-7,1.3673294373904407e-7,3.5582308055632237e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/11,2.124878248196806e-5,2.120205888122488e-5,2.1298760930290398e-5,1.5942743578212146e-7,1.3138326020721925e-7,1.9933061450855033e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/12,2.7673322098849e-5,2.7552650606358498e-5,2.7969363704061933e-5,5.988891281212434e-7,2.941297041300386e-7,1.1027648086100015e-6
adjustb/DeBruijn.Lazy.Par.P/adjustb/13,3.468598219096557e-5,3.457562486792734e-5,3.4799437661571525e-5,3.9808655323524776e-7,3.6604418497554537e-7,4.4448743027245765e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/14,4.4721834277899254e-5,4.4467724168144104e-5,4.49727614025304e-5,8.974023253525794e-7,7.950106825534361e-7,1.096358914849704e-6
adjustb/DeBruijn.Lazy.Par.P/adjustb/15,5.2978359870301405e-5,5.2862173390461124e-5,5.3267763311466006e-5,5.817270444311633e-7,2.821496604525098e-7,1.081493208262979e-6
adjustb/DeBruijn.Lazy.Par.P/adjustb/16,6.37769472041331e-5,6.367473271969984e-5,6.389291052156294e-5,3.9934631594113917e-7,3.4572850766243784e-7,4.5320303651448396e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/17,7.682265252764542e-5,7.666088063638483e-5,7.704180631081599e-5,6.198571870681058e-7,4.896100741636829e-7,8.431121008014255e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/18,9.112233662157114e-5,9.056068646815665e-5,9.264122558161636e-5,2.9944398308581625e-6,1.1426262573760355e-6,5.9322353059824305e-6
adjustb/DeBruijn.Lazy.Par.P/adjustb/19,1.0564913749252709e-4,1.0547976210738115e-4,1.0587012534959221e-4,6.383603279018495e-7,4.810221584155374e-7,8.78394684036609e-7
adjustb/DeBruijn.Lazy.Par.P/adjustb/20,1.24342090899459e-4,1.2409144594480528e-4,1.2476823339891362e-4,1.0593100651285882e-6,6.663165214535045e-7,1.540342882160392e-6
