Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Par.P/con/1,2.5892481693581245e-8,2.5843167209965434e-8,2.596667827351471e-8,1.922344795972225e-10,1.2847082477382778e-10,2.944969973138652e-10
con/DeBruijn.Lazy.Par.P/con/2,5.7471628234827464e-8,5.7361468826428127e-8,5.7614586388838366e-8,4.316881582079981e-10,3.686407114512813e-10,5.220686165960714e-10
con/DeBruijn.Lazy.Par.P/con/3,8.754697975467033e-8,8.746766355661977e-8,8.764267919288149e-8,2.8615444374247696e-10,2.313795719355896e-10,3.6248790647655553e-10
con/DeBruijn.Lazy.Par.P/con/4,1.3223072842444613e-7,1.3200381222599077e-7,1.3258199098917466e-7,9.284325066148684e-10,7.115882139934724e-10,1.1502361796289577e-9
con/DeBruijn.Lazy.Par.P/con/5,1.5893672385851502e-7,1.5858288969511736e-7,1.5994769584412244e-7,1.774545943090957e-9,9.069634751831085e-10,3.555881027791359e-9
con/DeBruijn.Lazy.Par.P/con/6,1.8128742496950867e-7,1.809932814403638e-7,1.8181092481876113e-7,1.3098821336783235e-9,6.539388573270459e-10,2.07529028001612e-9
con/DeBruijn.Lazy.Par.P/con/7,2.2921881187386363e-7,2.288701057103607e-7,2.2976791838806692e-7,1.5347234000492395e-9,1.0653840471308316e-9,2.302178472714666e-9
con/DeBruijn.Lazy.Par.P/con/8,2.594733822151988e-7,2.590076746809091e-7,2.6000364059413355e-7,1.7069815683577373e-9,1.4561428021565614e-9,2.228267111213898e-9
con/DeBruijn.Lazy.Par.P/con/9,2.910776299662295e-7,2.9068239169763814e-7,2.9176941360417935e-7,1.782823945540715e-9,1.1337695030783462e-9,3.075596120208234e-9
con/DeBruijn.Lazy.Par.P/con/10,3.243662966505534e-7,3.2384005520442257e-7,3.25066964227717e-7,1.992524294380765e-9,1.4906764709467093e-9,2.8793450820241957e-9
con/DeBruijn.Lazy.Par.P/con/11,3.5715875325720953e-7,3.564852637302799e-7,3.582265096647488e-7,2.8401509714926966e-9,1.93562701239344e-9,4.77043768387078e-9
con/DeBruijn.Lazy.Par.P/con/12,3.9854651576471865e-7,3.9764977737290493e-7,4.001081090408777e-7,3.877309299323817e-9,2.421068552079935e-9,7.368918017031235e-9
con/DeBruijn.Lazy.Par.P/con/13,4.235532758728951e-7,4.219051170288958e-7,4.266988909764481e-7,7.496371433309007e-9,4.517993310200843e-9,1.1671137639823036e-8
con/DeBruijn.Lazy.Par.P/con/14,4.5743528718936263e-7,4.556333987041302e-7,4.605391011248639e-7,7.501010817132478e-9,4.950276535327486e-9,1.128631567237596e-8
con/DeBruijn.Lazy.Par.P/con/15,4.910581499695155e-7,4.902835956247675e-7,4.920815708271212e-7,2.9588886448554675e-9,2.1879802213210243e-9,4.075883710136585e-9
con/DeBruijn.Lazy.Par.P/con/16,5.184451963589039e-7,5.175644273553171e-7,5.194774404840125e-7,3.268050795642976e-9,2.717516725215502e-9,3.875024506868655e-9
con/DeBruijn.Lazy.Par.P/con/17,5.532988875476949e-7,5.521524526853234e-7,5.547757870727655e-7,4.277773755162597e-9,3.283048326570076e-9,5.602721233108056e-9
con/DeBruijn.Lazy.Par.P/con/18,5.896172665364596e-7,5.878079201727513e-7,5.925701582561671e-7,7.648362441355126e-9,3.615276751783222e-9,1.1845992030632117e-8
con/DeBruijn.Lazy.Par.P/con/19,6.198704157879112e-7,6.189931036185374e-7,6.215556953515561e-7,4.090897448706162e-9,2.57665475537761e-9,6.567585609029827e-9
con/DeBruijn.Lazy.Par.P/con/20,6.546898855414554e-7,6.534032752880578e-7,6.566329386167561e-7,5.2642129462104996e-9,4.096487138696059e-9,7.434382101783097e-9
