Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.P/ids/1,2.8740972885021154e-8,2.8697960964472994e-8,2.87983608782836e-8,1.614787332407228e-10,1.1702313077043924e-10,2.1935902481324943e-10
ids/DeBruijn.Lazy.Par.P/ids/2,5.064820557699976e-8,5.0357521457497116e-8,5.098691845665891e-8,1.0365854747531828e-9,8.198128104978886e-10,1.4266894569960976e-9
ids/DeBruijn.Lazy.Par.P/ids/3,6.176013570171697e-8,6.147321987136534e-8,6.210121013745442e-8,1.0253547049245352e-9,7.726985182582389e-10,1.4435367348104917e-9
ids/DeBruijn.Lazy.Par.P/ids/4,8.100495717873735e-8,8.080953414217906e-8,8.122848455556584e-8,6.993838574333312e-10,5.465859509145915e-10,9.308481551030299e-10
ids/DeBruijn.Lazy.Par.P/ids/5,9.469027152850062e-8,9.4361955696966e-8,9.503303679368844e-8,1.1733655425812426e-9,1.0372837395397316e-9,1.3551717841626159e-9
ids/DeBruijn.Lazy.Par.P/ids/6,1.0902034564147794e-7,1.0876666716669748e-7,1.0942450673983555e-7,1.041365160956292e-9,7.263007009379228e-10,1.5750698157002195e-9
ids/DeBruijn.Lazy.Par.P/ids/7,1.239057192878127e-7,1.2368981183581357e-7,1.2423707561793723e-7,8.938847051969836e-10,6.384456885173137e-10,1.2650527189366841e-9
ids/DeBruijn.Lazy.Par.P/ids/8,1.3546375383455602e-7,1.3514973913982385e-7,1.359204564675901e-7,1.219061026964146e-9,9.752680011975084e-10,1.687096910322738e-9
ids/DeBruijn.Lazy.Par.P/ids/9,1.5175608411076508e-7,1.5135027591854644e-7,1.5247523957405608e-7,1.8169793828631957e-9,1.1499927255741454e-9,2.691360272002894e-9
ids/DeBruijn.Lazy.Par.P/ids/10,1.6556877271610864e-7,1.6525460991677202e-7,1.6618306444970175e-7,1.4870408799766262e-9,8.561592488565755e-10,2.541418314461077e-9
