Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.Par.Scoped/adjust/1,4.866760303379875e-8,4.858454709762986e-8,4.892907532236274e-8,4.5278628301514134e-10,1.7921746878112101e-10,8.947028762126954e-10
adjust/DeBruijn.Lazy.Par.Scoped/adjust/2,1.7290737080099188e-7,1.7268233430427274e-7,1.7327549903460358e-7,9.796826920607562e-10,7.112178667274229e-10,1.3944589164467687e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/3,4.5745896595824295e-7,4.5668133422996844e-7,4.5855616903411036e-7,3.3138237731573e-9,2.2368919098036184e-9,4.891880949442178e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/4,9.81848879356789e-7,9.802624250671938e-7,9.84039671006829e-7,6.6230966258077234e-9,4.472376313467133e-9,9.916805258792004e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/5,1.8414805983217846e-6,1.8400914742297953e-6,1.8428714550720622e-6,4.581639365557974e-9,3.4995084283832774e-9,6.554928110784096e-9
adjust/DeBruijn.Lazy.Par.Scoped/adjust/6,3.4811455529158523e-6,3.3998008304914645e-6,3.5602939828033968e-6,2.731792208628148e-7,2.4894874406249596e-7,3.084308143746975e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/7,5.6842032299917065e-6,5.6712322178818285e-6,5.697918160666126e-6,4.414835287995363e-8,3.664471063281118e-8,5.289607202805343e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/8,8.09951720109511e-6,8.074227299808249e-6,8.135679863201193e-6,9.913846356942578e-8,7.125612921532039e-8,1.3364286744090995e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/9,1.110794695507017e-5,1.1065693685015435e-5,1.1168842601543889e-5,1.677396081605508e-7,1.2158563109321748e-7,2.3846367683889055e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/10,1.4838687477761358e-5,1.4800912070238847e-5,1.4890311476664351e-5,1.4012514071887583e-7,1.0624168039612533e-7,1.8266696352147912e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/11,1.74103137514357e-5,1.7398520045941242e-5,1.7426192867216374e-5,4.661144470613597e-8,3.0858383140245525e-8,8.119749069847183e-8
adjust/DeBruijn.Lazy.Par.Scoped/adjust/12,2.2424774138677147e-5,2.2387959586317007e-5,2.2481907446257975e-5,1.483122142213019e-7,1.0262562867750128e-7,2.103674695561292e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/13,2.8323421737316842e-5,2.826982096840043e-5,2.8387758017055867e-5,1.945068796768482e-7,1.6231096772576124e-7,2.5424463970288284e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/14,3.522397987242692e-5,3.516996504199033e-5,3.5305160307050805e-5,2.1823720749624673e-7,1.6257364859817157e-7,2.9260519607256983e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/15,4.283757627548077e-5,4.2765636489845944e-5,4.2927388914947526e-5,2.675834778685595e-7,1.9868437165256393e-7,3.408223507232056e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/16,5.176071954784844e-5,5.171775556189394e-5,5.183692379923099e-5,1.9323501228086693e-7,1.1893237148612754e-7,3.1762523246254546e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/17,6.212400467566752e-5,6.201955317368122e-5,6.230882776815212e-5,4.806485766582211e-7,2.7164816739694145e-7,7.326791470637375e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/18,7.3341995539026e-5,7.325257837386056e-5,7.349560150995651e-5,3.7731519903640277e-7,2.3617034747028272e-7,6.178600284874173e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/19,8.584963709628886e-5,8.57626685569873e-5,8.596830046170356e-5,3.382632208748163e-7,2.7400707586883566e-7,4.4315932267840175e-7
adjust/DeBruijn.Lazy.Par.Scoped/adjust/20,1.0010149793351e-4,9.999029459354334e-5,1.0029733580575785e-4,4.889300485614822e-7,2.8881048400594767e-7,7.770584763599864e-7
