Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/1,1.1048104232777905e-7,1.1038016965187606e-7,1.1064637979640822e-7,4.1944129738633255e-10,2.684859101365655e-10,7.426614849874189e-10
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/2,4.011931516294491e-7,3.990325154582516e-7,4.056290840257511e-7,1.04086785778191e-8,4.692003683999741e-9,2.22053118984656e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/3,8.461905511575389e-7,8.442114816831795e-7,8.490252127697267e-7,7.736069951951573e-9,5.654496193955835e-9,1.076613926683934e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/4,1.5132437967925378e-6,1.5108637053281719e-6,1.5173611092484141e-6,1.0186980999009346e-8,6.5372009218423365e-9,1.6301462782991876e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/5,2.432550193983575e-6,2.4294731872737996e-6,2.442527970023745e-6,1.535184301933862e-8,6.882255948839654e-9,3.121220926831867e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/6,3.707717800973244e-6,3.7000637474425055e-6,3.7191714797129877e-6,3.229001623840868e-8,2.2063923445454902e-8,4.4517890145829295e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/7,5.171808397063078e-6,5.164613927227223e-6,5.182280142208017e-6,2.9043165294341428e-8,2.1425869213175883e-8,3.962074092128028e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/8,6.969891373846146e-6,6.958248398027626e-6,6.996064263879198e-6,5.653310730918879e-8,2.3730580418889537e-8,1.0829072936891489e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/9,9.045905745776748e-6,9.025266314255448e-6,9.081224263313335e-6,8.884134666627664e-8,5.4370967335117346e-8,1.5717292066905984e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/10,1.1503265118385927e-5,1.1492331749960664e-5,1.152041418698463e-5,4.3826595922806714e-8,2.8152080175070496e-8,7.014575703340987e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/11,1.4378542181375898e-5,1.435503377929054e-5,1.444005949162303e-5,1.1723989587204864e-7,3.7093487389858554e-8,2.3009942538000064e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/12,1.760250423409714e-5,1.758876313493975e-5,1.7618631406515908e-5,5.2128394040021945e-8,4.269811961542832e-8,6.645274612004967e-8
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/13,2.135771305022694e-5,2.1338761803730583e-5,2.139427597553843e-5,8.114250647717398e-8,4.806534944190674e-8,1.4201562122746365e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/14,2.559403818082489e-5,2.5570747435223066e-5,2.5656440423741795e-5,1.1882193935147757e-7,5.5433636717326774e-8,2.3130078020997927e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/15,2.9984094508995356e-5,2.990607783572295e-5,3.0118156619310313e-5,3.235619475573704e-7,1.9178193130271084e-7,5.384341911037028e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/16,3.490773974212564e-5,3.48696655426278e-5,3.4957410833570306e-5,1.4539785628324837e-7,1.0806942208514626e-7,1.872645537601397e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/17,4.0747891809717194e-5,4.068169168217448e-5,4.08575668633371e-5,2.771786270664896e-7,1.7508186525910536e-7,4.414208806967604e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/18,4.671609905175645e-5,4.665027595965314e-5,4.679636051748499e-5,2.5250721562793124e-7,1.8120815056386235e-7,3.527595078886613e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/19,5.2972597617820594e-5,5.291439316207225e-5,5.305091589002731e-5,2.259114614979566e-7,1.8245103238822072e-7,2.7608336190036334e-7
adjustb/DeBruijn.Lazy.Par.Scoped/adjustb/20,6.0146847542448024e-5,6.010453426648619e-5,6.022827863060439e-5,2.0160059651759152e-7,1.234917995776122e-7,3.667806740862672e-7
