Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.Par.Scoped/con/1,3.4139449715902314e-8,3.4094013689000946e-8,3.4224883855235075e-8,2.0673363394678024e-10,1.4030729366507602e-10,3.0197475194748736e-10
con/DeBruijn.Lazy.Par.Scoped/con/2,6.745779515854324e-8,6.732900287448519e-8,6.767596269043933e-8,5.472447860222093e-10,3.702348579106064e-10,8.878239654756691e-10
con/DeBruijn.Lazy.Par.Scoped/con/3,1.0101504467360721e-7,1.0081806377271605e-7,1.0139448343958849e-7,8.992980327489768e-10,6.369517765056694e-10,1.4102272611332228e-9
con/DeBruijn.Lazy.Par.Scoped/con/4,1.4507046435374846e-7,1.4429340790710177e-7,1.4620903460585506e-7,3.158983614933133e-9,2.0467077353810794e-9,4.838110609549698e-9
con/DeBruijn.Lazy.Par.Scoped/con/5,2.0955890521915676e-7,2.0922070154492408e-7,2.103214402151732e-7,1.5701981938348002e-9,1.0493177055616427e-9,2.6742817613292176e-9
con/DeBruijn.Lazy.Par.Scoped/con/6,2.6952185570591673e-7,2.682330351638134e-7,2.7276235029633296e-7,6.389492479722733e-9,3.3385323145321625e-9,1.2235110231138174e-8
con/DeBruijn.Lazy.Par.Scoped/con/7,3.4566079926289714e-7,3.431357459860127e-7,3.4953872582534845e-7,1.0313381753326589e-8,7.70248441912441e-9,1.4013284013298213e-8
con/DeBruijn.Lazy.Par.Scoped/con/8,4.306947925058524e-7,4.2954739113426064e-7,4.3389552419485e-7,5.95159042885692e-9,2.044539560269789e-9,1.1876413759317297e-8
con/DeBruijn.Lazy.Par.Scoped/con/9,5.205409188631517e-7,5.197948066280316e-7,5.221291154331668e-7,3.588214172668173e-9,1.8829456955086585e-9,6.596467081307576e-9
con/DeBruijn.Lazy.Par.Scoped/con/10,6.138150482200852e-7,6.128053287259641e-7,6.154949453481246e-7,4.383015831989325e-9,3.4146493766634513e-9,6.262761131926384e-9
con/DeBruijn.Lazy.Par.Scoped/con/11,7.165694766989339e-7,7.151648905358891e-7,7.186237188649395e-7,5.697812465998091e-9,4.123074112329759e-9,9.380308715646696e-9
con/DeBruijn.Lazy.Par.Scoped/con/12,8.220043518089164e-7,8.203280928908376e-7,8.24957739989494e-7,7.051014557910616e-9,4.732858355660018e-9,1.1666765471090464e-8
con/DeBruijn.Lazy.Par.Scoped/con/13,9.400963671401865e-7,9.382902813235732e-7,9.425973882986268e-7,6.933870809157933e-9,4.869465260138876e-9,1.1277750386986151e-8
con/DeBruijn.Lazy.Par.Scoped/con/14,1.0721774927066503e-6,1.0672353642698402e-6,1.0863887946894991e-6,2.8683954122352648e-8,6.254556920857304e-9,5.427602269772766e-8
con/DeBruijn.Lazy.Par.Scoped/con/15,1.1987175050013518e-6,1.1972339050875534e-6,1.202798622940815e-6,8.159254914740563e-9,2.921151312155901e-9,1.7718689151827987e-8
con/DeBruijn.Lazy.Par.Scoped/con/16,1.3333841745031327e-6,1.3311341094882025e-6,1.3364815458165803e-6,9.20789082265556e-9,6.111591460948682e-9,1.3661028126866106e-8
con/DeBruijn.Lazy.Par.Scoped/con/17,1.4921768647455125e-6,1.4897636306662248e-6,1.4963497307215517e-6,9.990097822506728e-9,5.865665400227585e-9,1.5633798070708032e-8
con/DeBruijn.Lazy.Par.Scoped/con/18,1.6173855248035217e-6,1.6155039570997478e-6,1.623024807028784e-6,9.353506201178159e-9,4.404290384729558e-9,1.988951682521412e-8
con/DeBruijn.Lazy.Par.Scoped/con/19,1.7798007111291615e-6,1.7768757940396817e-6,1.7836487548572287e-6,1.1310735268351714e-8,8.400663197932522e-9,1.8082162858201958e-8
con/DeBruijn.Lazy.Par.Scoped/con/20,1.9538344973892903e-6,1.9509321212962517e-6,1.9581303499571792e-6,1.1639245529404482e-8,8.397777483573098e-9,1.763339590620073e-8
