Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.Par.Scoped/ids/1,3.444549030924376e-8,3.439124063059362e-8,3.451137722839461e-8,2.0003523524248103e-10,1.6712760717049668e-10,2.5768099743978376e-10
ids/DeBruijn.Lazy.Par.Scoped/ids/2,4.294227926961107e-8,4.2874161957216785e-8,4.305815671017177e-8,3.006719729365009e-10,2.2474846316024378e-10,4.521545351870186e-10
ids/DeBruijn.Lazy.Par.Scoped/ids/3,5.1731698493638056e-8,5.1640380713682684e-8,5.184552088609463e-8,3.5428412763787733e-10,2.833441135671857e-10,4.4872997247036893e-10
ids/DeBruijn.Lazy.Par.Scoped/ids/4,7.226770812800306e-8,7.211679656582668e-8,7.257342464401262e-8,6.634025131759041e-10,3.6493174623002896e-10,1.2448213929237475e-9
ids/DeBruijn.Lazy.Par.Scoped/ids/5,7.315547906335446e-8,7.309401470471434e-8,7.329193743188198e-8,3.0567770790451484e-10,1.4943566406728471e-10,5.052054185288102e-10
ids/DeBruijn.Lazy.Par.Scoped/ids/6,8.137298741008615e-8,8.123456712508704e-8,8.153776301624756e-8,4.997422643946496e-10,3.9686060410219964e-10,6.364888550397409e-10
ids/DeBruijn.Lazy.Par.Scoped/ids/7,9.026750663476029e-8,9.008758619611629e-8,9.052666592927915e-8,7.408409173591261e-10,5.217004663882732e-10,1.0239970942530978e-9
ids/DeBruijn.Lazy.Par.Scoped/ids/8,9.765139981798857e-8,9.755793252090074e-8,9.775779068011288e-8,3.393990071344808e-10,2.6740573625239036e-10,4.5047496243510187e-10
ids/DeBruijn.Lazy.Par.Scoped/ids/9,1.0766265768651555e-7,1.0731375079363752e-7,1.0819127051004586e-7,1.4301820075252193e-9,9.712967652426294e-10,2.4225689053328784e-9
ids/DeBruijn.Lazy.Par.Scoped/ids/10,1.1472682087460394e-7,1.1439188455877407e-7,1.1516934388188414e-7,1.2125712043646688e-9,8.812206584289919e-10,1.722469996534499e-9
