Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lazy.TAPL/adjust/1,4.9112621350419005e-8,4.907989246136218e-8,4.91831894002027e-8,1.5773692604955232e-10,7.862899600994905e-11,2.601109725915575e-10
adjust/DeBruijn.Lazy.TAPL/adjust/2,2.4857850520885106e-7,2.48298901569438e-7,2.489664916557275e-7,1.1149985970602435e-9,8.755667666442486e-10,1.7378462453954052e-9
adjust/DeBruijn.Lazy.TAPL/adjust/3,5.164004497036382e-7,5.154776492004896e-7,5.1736970791984e-7,3.1614862854992576e-9,2.5341755676219988e-9,3.76974241152342e-9
adjust/DeBruijn.Lazy.TAPL/adjust/4,9.52120241253582e-7,9.503808400516904e-7,9.531629707144885e-7,4.271499958071129e-9,3.1795331740645057e-9,6.300726823356326e-9
adjust/DeBruijn.Lazy.TAPL/adjust/5,1.4628747268619793e-6,1.4583181288948928e-6,1.4674499476211461e-6,1.4571229139003816e-8,1.3025863976497544e-8,1.774122278615941e-8
adjust/DeBruijn.Lazy.TAPL/adjust/6,2.101032439253301e-6,2.0936162810719112e-6,2.114268008249064e-6,3.363726617649467e-8,2.2967035522870716e-8,6.081526344097775e-8
adjust/DeBruijn.Lazy.TAPL/adjust/7,2.850853143595439e-6,2.8482922939946354e-6,2.854431870930942e-6,9.900346892570992e-9,6.754422443962389e-9,1.6144883354590106e-8
adjust/DeBruijn.Lazy.TAPL/adjust/8,3.898063381970709e-6,3.888208539726142e-6,3.9082812200471005e-6,3.2736152779680916e-8,2.8378888639851113e-8,3.7668891291077386e-8
adjust/DeBruijn.Lazy.TAPL/adjust/9,5.079834724946967e-6,5.0717724470952946e-6,5.0892667688739765e-6,2.9379589698930203e-8,2.4379491130044744e-8,3.645742536561876e-8
adjust/DeBruijn.Lazy.TAPL/adjust/10,6.373908145631897e-6,6.363620410441403e-6,6.386363982196167e-6,3.984669021333419e-8,3.2962933297057436e-8,4.935483149821277e-8
adjust/DeBruijn.Lazy.TAPL/adjust/11,7.886991382525632e-6,7.87016742440394e-6,7.90779052437805e-6,6.589313043531343e-8,5.721164129438358e-8,7.779728004491051e-8
adjust/DeBruijn.Lazy.TAPL/adjust/12,9.60180949107796e-6,9.572184050346421e-6,9.69100736646962e-6,1.6061151838552332e-7,4.4763442960666206e-8,3.539541969457789e-7
adjust/DeBruijn.Lazy.TAPL/adjust/13,1.1390619849353532e-5,1.1380204053736247e-5,1.1402277934506478e-5,3.6493088969931356e-8,2.833065276168672e-8,4.9522432063321996e-8
adjust/DeBruijn.Lazy.TAPL/adjust/14,1.392098323429853e-5,1.3763818105005027e-5,1.417800945188633e-5,6.508799724075331e-7,4.1849581003022255e-7,1.0084042072166472e-6
adjust/DeBruijn.Lazy.TAPL/adjust/15,1.6631613444326488e-5,1.6502480484571146e-5,1.6790957131576527e-5,4.941109569319437e-7,3.9474942983850195e-7,6.482958102648968e-7
adjust/DeBruijn.Lazy.TAPL/adjust/16,1.8764548083170705e-5,1.8636876621865724e-5,1.890560912857354e-5,4.6155725895045177e-7,3.7105454870667415e-7,5.424199267553445e-7
adjust/DeBruijn.Lazy.TAPL/adjust/17,2.1901895240084524e-5,2.170223174104066e-5,2.215093323090674e-5,7.527559880430296e-7,5.908100572621521e-7,9.966815222688733e-7
adjust/DeBruijn.Lazy.TAPL/adjust/18,2.4320393922803896e-5,2.4217620988410513e-5,2.4550197060478443e-5,4.773020986036653e-7,2.775631442372373e-7,8.262494644485311e-7
adjust/DeBruijn.Lazy.TAPL/adjust/19,2.8397365719836938e-5,2.8122570996693852e-5,2.872975008867773e-5,1.0055666944335905e-6,8.385462962903013e-7,1.2017718447273385e-6
