Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lazy.TAPL/adjustb/1,1.3171952156730251e-7,1.3150207646348673e-7,1.3201040042117824e-7,7.928878195808404e-10,6.299192691697363e-10,1.0145584699022037e-9
adjustb/DeBruijn.Lazy.TAPL/adjustb/2,4.0894039078294473e-7,4.08413143817816e-7,4.0968457384419424e-7,2.2102686898607067e-9,1.7543718813580539e-9,3.2081332600595895e-9
adjustb/DeBruijn.Lazy.TAPL/adjustb/3,7.32485916221339e-7,7.316253716106049e-7,7.337756993024455e-7,3.5176471958806783e-9,2.7450292492423557e-9,4.8910666592050705e-9
adjustb/DeBruijn.Lazy.TAPL/adjustb/4,1.21998015277574e-6,1.2182678074080476e-6,1.2220969599520657e-6,6.39868692219261e-9,5.396241739158643e-9,7.768862293711937e-9
adjustb/DeBruijn.Lazy.TAPL/adjustb/5,1.8474331810902173e-6,1.837432291492387e-6,1.8538210867905875e-6,2.7192721141230278e-8,1.8463577713470698e-8,3.6837815207763874e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/6,2.8883259053876647e-6,2.878667844297378e-6,2.8995470965271553e-6,3.481141859916824e-8,2.6953032882960945e-8,4.8615455080634636e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/7,3.4218799584566157e-6,3.4122845574076042e-6,3.4348334477080056e-6,3.7246463610518346e-8,2.9154340677051418e-8,4.733398733736033e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/8,4.404865606544081e-6,4.392487280339637e-6,4.421225914166299e-6,4.556367989565693e-8,3.569354220343769e-8,6.091955282154497e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/9,5.392637677938132e-6,5.3869441824595175e-6,5.403618453110299e-6,2.6198309101242427e-8,1.626852668558753e-8,5.03375984020539e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/10,6.763001693865344e-6,6.747828349023371e-6,6.821838552786432e-6,8.126505546451374e-8,3.1513915143006944e-8,1.7199998990696597e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/11,8.276722630736715e-6,8.266639661232895e-6,8.289487365273809e-6,3.830417547072564e-8,2.7475106253255162e-8,5.3857633438737e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/12,9.9648578566037e-6,9.952127489346192e-6,9.987043318381237e-6,5.343030864786501e-8,3.552583079882168e-8,8.187279185534448e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/13,1.1842068529036218e-5,1.1829201061205869e-5,1.1862981513163272e-5,5.4416761601114715e-8,4.203131827216462e-8,7.046745993072694e-8
adjustb/DeBruijn.Lazy.TAPL/adjustb/14,1.382171025703524e-5,1.3796548441819328e-5,1.388506526100493e-5,1.2398993774443812e-7,4.29281182407674e-8,2.0516574128151546e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/15,1.602596166139699e-5,1.6003559970109e-5,1.6072929685392785e-5,1.0578474449909691e-7,6.298922223582151e-8,1.798513436909352e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/16,1.8541439710655783e-5,1.8510397623017175e-5,1.857831001817688e-5,1.1322180551004228e-7,8.415177016985451e-8,1.7736425716306523e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/17,2.1210414889731374e-5,2.1186684516926042e-5,2.124724105244124e-5,9.807907764667715e-8,5.857663450387937e-8,1.4985314619790907e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/18,2.3927522752788254e-5,2.390418818027266e-5,2.3963344523308503e-5,9.736353380564837e-8,7.297396155196402e-8,1.363641994728406e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/19,2.7378517967672928e-5,2.7327006438787296e-5,2.744371625336837e-5,1.9852371861183474e-7,1.421590002707629e-7,2.74005041513388e-7
adjustb/DeBruijn.Lazy.TAPL/adjustb/20,3.0651565375903336e-5,3.0591072381414866e-5,3.076438743354429e-5,2.7936385893371597e-7,1.4304680015452037e-7,4.607678796068333e-7
