Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lazy.TAPL/con/1,6.186250736583184e-8,6.179251953322993e-8,6.199750346107998e-8,3.14312848640628e-10,2.071794501385015e-10,5.203851641816016e-10
con/DeBruijn.Lazy.TAPL/con/2,8.235257282329732e-8,8.217188440755834e-8,8.257820424174685e-8,6.740298630569801e-10,4.50817277816818e-10,9.77495617230974e-10
con/DeBruijn.Lazy.TAPL/con/3,1.0296354130213472e-7,1.0270324582442533e-7,1.0353180025528646e-7,1.2307261464809238e-9,5.732598932914824e-10,2.137234438293426e-9
con/DeBruijn.Lazy.TAPL/con/4,1.2397122111151398e-7,1.2378543545096922e-7,1.2432657058723034e-7,8.394556225164596e-10,5.340862583849752e-10,1.3854347601131556e-9
con/DeBruijn.Lazy.TAPL/con/5,1.4553505964018998e-7,1.4534124515172927e-7,1.4578776747101992e-7,7.504313979252151e-10,5.980342822620249e-10,1.0026834621514432e-9
con/DeBruijn.Lazy.TAPL/con/6,1.7119565434778793e-7,1.7099674206377864e-7,1.7161906135420266e-7,9.849193122676693e-10,5.006929381437387e-10,1.7975391208519882e-9
con/DeBruijn.Lazy.TAPL/con/7,1.9398470100253324e-7,1.9364691008189483e-7,1.9447284008090655e-7,1.3845255642216853e-9,1.0406182004988806e-9,1.961084661771462e-9
con/DeBruijn.Lazy.TAPL/con/8,2.1464412732305306e-7,2.141908690806695e-7,2.152391437878922e-7,1.7383350326524467e-9,1.3862509675791112e-9,2.1878079153625024e-9
con/DeBruijn.Lazy.TAPL/con/9,2.443840134933914e-7,2.4351487885531873e-7,2.460417067119218e-7,3.892135313193567e-9,2.6554277454186977e-9,6.147485118392636e-9
con/DeBruijn.Lazy.TAPL/con/10,2.620964815435988e-7,2.6165210498103644e-7,2.630833929966056e-7,2.022692893126275e-9,1.2102220739728357e-9,3.7116294168115883e-9
con/DeBruijn.Lazy.TAPL/con/11,2.9779747087961837e-7,2.9732115113877964e-7,2.9838183499811275e-7,1.7834816947197658e-9,1.4043351104381483e-9,2.270463247062286e-9
con/DeBruijn.Lazy.TAPL/con/12,3.124813819443486e-7,3.121675229940526e-7,3.1289063440860977e-7,1.1590057883790322e-9,8.630805835019963e-10,1.5490183197184096e-9
con/DeBruijn.Lazy.TAPL/con/13,3.3368518986406285e-7,3.331892817464287e-7,3.343423762190622e-7,1.9560001355078717e-9,1.5382833993788412e-9,2.6185649680866147e-9
con/DeBruijn.Lazy.TAPL/con/14,3.5694563990730616e-7,3.562325266524965e-7,3.578366240173709e-7,2.751133291021589e-9,2.2671598706994386e-9,3.525691147327707e-9
con/DeBruijn.Lazy.TAPL/con/15,3.7547985349173457e-7,3.7467917525778616e-7,3.766111185835685e-7,3.0850867160510253e-9,2.4347251195931993e-9,4.201290085391505e-9
con/DeBruijn.Lazy.TAPL/con/16,3.960313719773387e-7,3.951038811864905e-7,3.9728279246987785e-7,3.564214278542669e-9,2.5230465809721076e-9,4.9415612949569565e-9
con/DeBruijn.Lazy.TAPL/con/17,4.2020687236160843e-7,4.194760838767085e-7,4.211613895895893e-7,2.741594211065034e-9,2.112899947242721e-9,3.620001881784044e-9
con/DeBruijn.Lazy.TAPL/con/18,4.385917976988858e-7,4.3821020009739136e-7,4.391316112387683e-7,1.5134525228087359e-9,1.0105907401170609e-9,2.221021577111159e-9
con/DeBruijn.Lazy.TAPL/con/19,4.6163310689991557e-7,4.6073195552157935e-7,4.628327543098391e-7,3.442699878472641e-9,2.717177564168732e-9,4.965376855770679e-9
con/DeBruijn.Lazy.TAPL/con/20,4.828499955714601e-7,4.819597166411397e-7,4.850095396696874e-7,4.3852227464110154e-9,2.562939634556571e-9,7.846941169594606e-9
