Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lazy.TAPL/ids/1,6.40823271530206e-8,6.393383565933175e-8,6.426281000782731e-8,5.660523163415395e-10,4.809109853247322e-10,7.051341739376457e-10
ids/DeBruijn.Lazy.TAPL/ids/2,1.3012454979216487e-7,1.299284922392702e-7,1.3051690852892286e-7,9.089636673397014e-10,5.740549783515398e-10,1.5972808072794517e-9
ids/DeBruijn.Lazy.TAPL/ids/3,1.8271612068543385e-7,1.8251011470909792e-7,1.8296226347528847e-7,7.530982882741165e-10,5.29369506448309e-10,1.1059086913993136e-9
ids/DeBruijn.Lazy.TAPL/ids/4,2.3033858929349096e-7,2.3013924199203611e-7,2.3064229649227445e-7,7.85695748740355e-10,6.008416259925599e-10,1.1228080725695554e-9
ids/DeBruijn.Lazy.TAPL/ids/5,2.789749608668449e-7,2.7873384912476747e-7,2.7976226312228997e-7,1.2906074643011448e-9,5.984026240366154e-10,2.4707391014861886e-9
ids/DeBruijn.Lazy.TAPL/ids/6,3.321209054534446e-7,3.29970110540731e-7,3.390909896145988e-7,1.1891680583860554e-8,5.395904079623438e-9,2.2743154433511373e-8
ids/DeBruijn.Lazy.TAPL/ids/7,3.753894840550303e-7,3.7508458715847495e-7,3.758983006029213e-7,1.2627086672351423e-9,8.106651033161439e-10,2.0292707856317646e-9
ids/DeBruijn.Lazy.TAPL/ids/8,4.2620635660453797e-7,4.2569664010735703e-7,4.269674077932389e-7,2.0671633354682237e-9,1.4469031944590066e-9,2.801878859249974e-9
ids/DeBruijn.Lazy.TAPL/ids/9,4.7616196868335515e-7,4.75637354967402e-7,4.770131060855011e-7,2.1579152877953038e-9,1.3884856970091148e-9,3.2743757275032205e-9
ids/DeBruijn.Lazy.TAPL/ids/10,5.265080184198698e-7,5.257058415854274e-7,5.278205397962401e-7,3.384908472536156e-9,2.3448934894248553e-9,5.2641607771427506e-9
