Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lennart/adjust/1,2.1110592099366433e-8,2.1075389996633167e-8,2.1154862389338845e-8,1.2874023542101547e-10,1.0139185730782753e-10,1.7877453849683494e-10
adjust/DeBruijn.Lennart/adjust/2,7.266763479188433e-8,7.25750165295337e-8,7.285443264401619e-8,4.159351567183086e-10,2.8977718576177035e-10,6.142430764477968e-10
adjust/DeBruijn.Lennart/adjust/3,1.6895690577778384e-7,1.6813054655089134e-7,1.7100160554702013e-7,4.163698664241188e-9,1.6738026647906951e-9,8.232114730213734e-9
adjust/DeBruijn.Lennart/adjust/4,3.1721809252294935e-7,3.1635920845680227e-7,3.1833013625566846e-7,3.3663558559877436e-9,2.530935601125224e-9,5.054008812531894e-9
adjust/DeBruijn.Lennart/adjust/5,5.069411601711539e-7,5.06013855850288e-7,5.088396604606648e-7,4.0467578925538305e-9,2.6770216241179294e-9,6.66283200547573e-9
adjust/DeBruijn.Lennart/adjust/6,7.624472113707464e-7,7.61841247285422e-7,7.632863652542873e-7,2.2681165259533736e-9,1.7370985491546639e-9,3.0279366648645683e-9
adjust/DeBruijn.Lennart/adjust/7,1.1452921621728005e-6,1.1427808878318038e-6,1.1483688104097747e-6,9.095651327451018e-9,7.259479116657477e-9,1.162044580450452e-8
adjust/DeBruijn.Lennart/adjust/8,1.5305080259906196e-6,1.529018192419416e-6,1.5327957556235902e-6,6.309371615556898e-9,4.5756867015529035e-9,9.888469686402366e-9
adjust/DeBruijn.Lennart/adjust/9,2.071689487274009e-6,2.0694643526247356e-6,2.0762171895507477e-6,1.0110859596613748e-8,6.018200158036645e-9,1.7594072061047112e-8
adjust/DeBruijn.Lennart/adjust/10,2.6842131123806547e-6,2.679901600374695e-6,2.692957187974444e-6,1.9548521300144667e-8,1.2023443187645853e-8,3.3854985864331874e-8
adjust/DeBruijn.Lennart/adjust/11,3.4158607949021177e-6,3.411862816724791e-6,3.4221352493593504e-6,1.7005407524601005e-8,1.1345042920833141e-8,2.8775258027124845e-8
adjust/DeBruijn.Lennart/adjust/12,4.253103860457684e-6,4.249503768897018e-6,4.258322531016499e-6,1.4042875358147856e-8,1.0862404827941666e-8,1.993506167376144e-8
adjust/DeBruijn.Lennart/adjust/13,5.241563439034765e-6,5.23523074810334e-6,5.254975562930995e-6,2.9631414824089282e-8,1.9509741064781342e-8,5.0544356634805686e-8
adjust/DeBruijn.Lennart/adjust/14,6.324372599769632e-6,6.312784011004414e-6,6.34534003733486e-6,5.037800059334786e-8,2.5994465544608615e-8,8.981960288784305e-8
adjust/DeBruijn.Lennart/adjust/15,7.619125804075494e-6,7.609566660240292e-6,7.639125170752661e-6,4.545947388095606e-8,2.7233671117252033e-8,7.056713659234868e-8
adjust/DeBruijn.Lennart/adjust/16,9.035455410748667e-6,9.018425981124802e-6,9.057848386758628e-6,6.603184285827224e-8,4.8096813962949195e-8,9.847992642933619e-8
adjust/DeBruijn.Lennart/adjust/17,1.0542075772347496e-5,1.0529286257900122e-5,1.0568813311615314e-5,5.655606710638942e-8,3.873130226974972e-8,9.884910784326117e-8
adjust/DeBruijn.Lennart/adjust/18,1.2060461176115234e-5,1.2049883383055127e-5,1.2074628437855296e-5,4.061704690849377e-8,3.149455328574328e-8,5.855026760460639e-8
adjust/DeBruijn.Lennart/adjust/19,1.417452049390204e-5,1.4143504034023525e-5,1.421690435983327e-5,1.2078524708237266e-7,7.94409517050984e-8,1.833793015148775e-7
adjust/DeBruijn.Lennart/adjust/20,1.620644922877109e-5,1.617132330779103e-5,1.626745902586262e-5,1.5449918668400759e-7,1.1118639515668265e-7,2.139688335914761e-7
