Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lennart/capt/1,3.2512371745458784e-8,3.246301143930418e-8,3.2565307727893465e-8,1.6716933588117797e-10,1.3718250770572076e-10,2.0653200403029069e-10
capt/DeBruijn.Lennart/capt/2,4.013789951060169e-8,3.98898550787076e-8,4.0438838628956014e-8,8.933303568636261e-10,7.539219719851916e-10,1.0921679086224868e-9
capt/DeBruijn.Lennart/capt/3,4.4611417801447724e-8,4.434565950281335e-8,4.50005311313514e-8,1.0453955121158928e-9,7.654128938733262e-10,1.7027536024400141e-9
capt/DeBruijn.Lennart/capt/4,5.166963237147632e-8,5.128223373671924e-8,5.210148265581888e-8,1.4473629324289378e-9,1.2290246949910142e-9,1.7409382656474736e-9
capt/DeBruijn.Lennart/capt/5,5.547606168898258e-8,5.525710492850093e-8,5.5737232109017275e-8,8.077384599356557e-10,6.481267984814105e-10,1.0541230953220416e-9
capt/DeBruijn.Lennart/capt/6,6.125436796793669e-8,6.090611137134844e-8,6.156644388937515e-8,1.0184071520290365e-9,8.575123832498075e-10,1.2471477324203377e-9
capt/DeBruijn.Lennart/capt/7,6.638030087128704e-8,6.598119830704124e-8,6.694467142004879e-8,1.6664622684236428e-9,1.2545064301181215e-9,2.188230448697642e-9
capt/DeBruijn.Lennart/capt/8,7.116212249618218e-8,7.090464559362748e-8,7.147318049337219e-8,9.194674012173569e-10,7.61557310001337e-10,1.195914178553058e-9
capt/DeBruijn.Lennart/capt/9,7.470659774972329e-8,7.45177998403468e-8,7.500057270833259e-8,7.747829142558067e-10,5.288321781361753e-10,1.3524875844164855e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lennart/capt/1,3.2842752237684485e-8,3.278215209774324e-8,3.292876791091713e-8,2.3253142246363143e-10,1.623965678391288e-10,3.1591843392670605e-10
capt/DeBruijn.Lennart/capt/2,3.801978097482252e-8,3.794586775978912e-8,3.811912507938706e-8,2.80618047179561e-10,2.034907996488939e-10,3.8259407188430436e-10
capt/DeBruijn.Lennart/capt/3,4.2872769186119786e-8,4.2820698283733683e-8,4.292588555128554e-8,1.7077702311339914e-10,1.457863528017622e-10,2.0497292066457668e-10
capt/DeBruijn.Lennart/capt/4,4.825926958016941e-8,4.813967203303434e-8,4.8434406719677705e-8,5.031955809379364e-10,3.589088520127862e-10,7.597673791015589e-10
capt/DeBruijn.Lennart/capt/5,5.3515952314325224e-8,5.3345600657791134e-8,5.40293718333945e-8,9.411698343479819e-10,3.5685539447923553e-10,1.8716347886961906e-9
capt/DeBruijn.Lennart/capt/6,5.827033186083003e-8,5.820276843723677e-8,5.854199594557878e-8,3.5625377755720503e-10,1.3537586414391828e-10,8.094577591725324e-10
capt/DeBruijn.Lennart/capt/7,6.425197899642691e-8,6.403245066146675e-8,6.456555516433106e-8,8.487156359695112e-10,6.41347354652348e-10,1.1267538093035e-9
capt/DeBruijn.Lennart/capt/8,6.938333564697487e-8,6.928235313368678e-8,6.952141209134155e-8,4.130458680531961e-10,3.1713393917588274e-10,6.056533134370578e-10
capt/DeBruijn.Lennart/capt/9,7.443852897365358e-8,7.431973168314918e-8,7.457654234150068e-8,4.265416052399701e-10,3.345236999079393e-10,5.467441544193242e-10
