Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Lift/adjust/1,1.9092910359465366e-8,1.9072618660633185e-8,1.9136636989931172e-8,9.118709476368633e-11,6.275310264522444e-11,1.515768075922286e-10
adjust/DeBruijn.Lift/adjust/2,6.779796497791064e-8,6.77242167006998e-8,6.7908402635942e-8,2.9954995979791946e-10,1.923926730069484e-10,4.54984546428515e-10
adjust/DeBruijn.Lift/adjust/3,1.6300122395152095e-7,1.6272813331599817e-7,1.6338740271851844e-7,1.110004945032741e-9,8.133672466681996e-10,1.5486170636259335e-9
adjust/DeBruijn.Lift/adjust/4,3.2246960171749766e-7,3.213693853090693e-7,3.251321269695491e-7,5.5970477784696615e-9,2.8295850585846177e-9,9.994795368455764e-9
adjust/DeBruijn.Lift/adjust/5,5.106483289308585e-7,5.09790213655753e-7,5.119917959846985e-7,3.500436217875272e-9,2.554140438878617e-9,5.309338820698738e-9
adjust/DeBruijn.Lift/adjust/6,7.652747317471528e-7,7.635978673557319e-7,7.673761366089206e-7,6.081939583130005e-9,4.8120915507444904e-9,7.787903484496595e-9
adjust/DeBruijn.Lift/adjust/7,1.2098104505838613e-6,1.2074002661395806e-6,1.2124200651187096e-6,8.221653164303865e-9,6.600568967941147e-9,1.0927860546085573e-8
adjust/DeBruijn.Lift/adjust/8,1.6182720584228426e-6,1.6167674374146443e-6,1.620013396192673e-6,5.636713900570657e-9,4.502408594665374e-9,7.403823257912411e-9
adjust/DeBruijn.Lift/adjust/9,2.1763595512773876e-6,2.171239333330244e-6,2.185551011424895e-6,2.1312988245713845e-8,1.5056103999738753e-8,3.143242723615819e-8
adjust/DeBruijn.Lift/adjust/10,2.8147741284672127e-6,2.8027670664078847e-6,2.8646706749705096e-6,6.456361047013424e-8,2.6417511204641815e-8,1.3543602000691395e-7
adjust/DeBruijn.Lift/adjust/11,3.5299255404857003e-6,3.525689068483741e-6,3.539147431359054e-6,2.0228810252107145e-8,1.0986292191096604e-8,3.621666177309586e-8
adjust/DeBruijn.Lift/adjust/12,4.431705805595259e-6,4.417829209998159e-6,4.449306100205884e-6,5.3438789082048404e-8,4.3362915986765443e-8,7.147328821779105e-8
adjust/DeBruijn.Lift/adjust/13,5.357131804490853e-6,5.345704370540757e-6,5.373648159059651e-6,4.823184428840721e-8,3.439436003536674e-8,7.156221866002414e-8
adjust/DeBruijn.Lift/adjust/14,6.445398914411105e-6,6.438278950207226e-6,6.454861682978902e-6,2.5203204922430016e-8,1.9564947338334307e-8,3.2936734380626583e-8
adjust/DeBruijn.Lift/adjust/15,7.859372922517206e-6,7.847315908243378e-6,7.881143635224975e-6,5.365163223668399e-8,3.19644498278104e-8,8.944181057568926e-8
adjust/DeBruijn.Lift/adjust/16,9.283494053341295e-6,9.219952192867595e-6,9.602755872621947e-6,3.540561283150379e-7,9.194725014067836e-8,8.312624630831942e-7
adjust/DeBruijn.Lift/adjust/17,1.0931106798354439e-5,1.0925083005244708e-5,1.0941069627832292e-5,2.5281720418200284e-8,1.8969260100466855e-8,3.566337707407651e-8
adjust/DeBruijn.Lift/adjust/18,1.2515334881956543e-5,1.2499233111949311e-5,1.2537734085248918e-5,6.119065822932524e-8,4.668539788336102e-8,7.849693676953811e-8
adjust/DeBruijn.Lift/adjust/19,1.4692037633004681e-5,1.4673875703864137e-5,1.4715395930450354e-5,6.928168912008355e-8,4.807396165718956e-8,1.1205043193769269e-7
adjust/DeBruijn.Lift/adjust/20,1.723697275689466e-5,1.7210274790848163e-5,1.7287534840392588e-5,1.2066914149674982e-7,8.509717116819345e-8,1.7470372232742813e-7
