Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Lift/adjustb/1,3.3718090248057695e-8,3.3649021695377484e-8,3.3872288539782545e-8,3.2693985237010465e-10,1.5452705746197935e-10,5.43735705617755e-10
adjustb/DeBruijn.Lift/adjustb/2,1.1220855516853414e-7,1.1206953385447503e-7,1.12415165479733e-7,5.373090197457208e-10,3.5375672788039434e-10,8.060421041081132e-10
adjustb/DeBruijn.Lift/adjustb/3,2.2378171300589543e-7,2.2339484621528832e-7,2.2423054536991338e-7,1.4743192303061418e-9,8.980965985010758e-10,2.3536973949735144e-9
adjustb/DeBruijn.Lift/adjustb/4,3.745156482352097e-7,3.7349876347662927e-7,3.760498868535509e-7,4.444981101333809e-9,2.817758672379628e-9,6.1245442911836325e-9
adjustb/DeBruijn.Lift/adjustb/5,5.893024034060932e-7,5.884196048558925e-7,5.905435451635499e-7,3.4135309317186564e-9,2.313508667889592e-9,5.377415352972976e-9
adjustb/DeBruijn.Lift/adjustb/6,8.218793715123709e-7,8.205989332646115e-7,8.238984660616386e-7,5.257371127977957e-9,3.5653798930046377e-9,7.672179456817083e-9
adjustb/DeBruijn.Lift/adjustb/7,1.3641053534673992e-6,1.3375363041211616e-6,1.3891664847749207e-6,8.475830609031856e-8,7.374327257612649e-8,9.916361271752285e-8
adjustb/DeBruijn.Lift/adjustb/8,1.7931840091692287e-6,1.7835689632524697e-6,1.8091075516246086e-6,4.173740043082089e-8,2.9022325917423735e-8,6.198006791471373e-8
adjustb/DeBruijn.Lift/adjustb/9,2.4467470245617096e-6,2.403653703421309e-6,2.4992060923173792e-6,1.67382064467641e-7,1.3031114270110452e-7,1.9907438442995002e-7
adjustb/DeBruijn.Lift/adjustb/10,3.3056760129382264e-6,3.262011038019983e-6,3.3455297614173084e-6,1.4425850699442613e-7,1.2165448463746272e-7,1.8722953520971808e-7
adjustb/DeBruijn.Lift/adjustb/11,4.048101672074e-6,4.006373909723393e-6,4.088951188644215e-6,1.3945153380270448e-7,1.1558114654116245e-7,1.8572651971740804e-7
adjustb/DeBruijn.Lift/adjustb/12,4.928195810077184e-6,4.867767329015529e-6,5.000090497274586e-6,2.126998113176401e-7,1.7471174715583547e-7,2.67625315792477e-7
adjustb/DeBruijn.Lift/adjustb/13,6.085168992560982e-6,6.020861837276563e-6,6.168235703434808e-6,2.4825482240235546e-7,1.8855334696409604e-7,4.2549286230514863e-7
adjustb/DeBruijn.Lift/adjustb/14,7.693891183289525e-6,7.626308477694824e-6,7.75082189024861e-6,2.0806628341122722e-7,1.6075109509528132e-7,2.9332405551173853e-7
adjustb/DeBruijn.Lift/adjustb/15,8.395510928895097e-6,8.271842599956456e-6,8.542143393993704e-6,4.918993224950678e-7,4.055065946353911e-7,5.789733588333282e-7
