Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lift/capt/1,3.3943992654286345e-8,3.388869874181297e-8,3.400781595550367e-8,2.037854392440962e-10,1.7212826888215644e-10,2.503798442662179e-10
capt/DeBruijn.Lift/capt/2,4.640444919702195e-8,4.633210453395399e-8,4.648833123108656e-8,2.733817087250817e-10,2.1747954170924849e-10,3.409387682917831e-10
capt/DeBruijn.Lift/capt/3,5.982320458944587e-8,5.9715946210659e-8,5.993363023141317e-8,3.613286450536482e-10,2.960409872998142e-10,4.753864999575863e-10
capt/DeBruijn.Lift/capt/4,8.452397160656412e-8,8.437616673946138e-8,8.469854550747501e-8,5.470921074323273e-10,4.290762277721836e-10,6.598859927441698e-10
capt/DeBruijn.Lift/capt/5,9.703582750371536e-8,9.670032154835478e-8,9.750974709571556e-8,1.3127294595278138e-9,9.459161193380312e-10,1.8804092117432105e-9
capt/DeBruijn.Lift/capt/6,1.0942268855011839e-7,1.0926967389807649e-7,1.0961729792428423e-7,5.832839857160655e-10,4.89202298430075e-10,7.2869449394486e-10
capt/DeBruijn.Lift/capt/7,1.2349774756506105e-7,1.2335929176745921e-7,1.236498279447728e-7,4.935822595209656e-10,3.91857812306173e-10,6.310710542069537e-10
capt/DeBruijn.Lift/capt/8,1.351544781727836e-7,1.3486796060568827e-7,1.356186276440725e-7,1.2634808235334405e-9,8.915493643980454e-10,1.7639807116999354e-9
capt/DeBruijn.Lift/capt/9,1.4824260369789498e-7,1.4796767673604191e-7,1.485574641922142e-7,9.886708523199276e-10,7.419169025607423e-10,1.3030259983045533e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Lift/capt/1,3.5117684173579936e-8,3.506947872704681e-8,3.522110504032586e-8,2.2470035267957373e-10,1.1860307041423952e-10,4.0030413016191926e-10
capt/DeBruijn.Lift/capt/2,4.7489351622079895e-8,4.740568581456194e-8,4.7663600796547e-8,3.8161181156393367e-10,2.0319241153638056e-10,6.912383993177773e-10
capt/DeBruijn.Lift/capt/3,6.022350259923864e-8,6.015579515168111e-8,6.030798762765543e-8,2.5840652207477556e-10,1.8717085953692906e-10,3.4221518206994593e-10
capt/DeBruijn.Lift/capt/4,8.064582867151065e-8,8.059753629171111e-8,8.071057516671511e-8,1.8555885354624754e-10,1.4880044254968696e-10,2.889279167438951e-10
capt/DeBruijn.Lift/capt/5,9.368878062334152e-8,9.351004019110482e-8,9.403041489902385e-8,7.966867269112794e-10,5.397879365973484e-10,1.4554384457514939e-9
capt/DeBruijn.Lift/capt/6,1.0694969703287076e-7,1.0669064483538393e-7,1.0740841146421428e-7,1.1593989169331118e-9,7.690333754402702e-10,1.675098007719599e-9
capt/DeBruijn.Lift/capt/7,1.1901136422011505e-7,1.189793236387876e-7,1.1905638511698484e-7,1.2774989953177942e-10,1.0441792358788762e-10,1.6056449156904228e-10
capt/DeBruijn.Lift/capt/8,1.32160380826982e-7,1.3197575463407804e-7,1.3245516310077698e-7,7.751861612413943e-10,5.393624421943633e-10,1.173863557845586e-9
capt/DeBruijn.Lift/capt/9,1.45959239221574e-7,1.4574449205031987e-7,1.464144007414801e-7,9.47617219176365e-10,4.763199081695681e-10,1.707329729658456e-9
