Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Lift/con/1,1.8640693368399553e-8,1.8563387895012864e-8,1.884794619010819e-8,3.7428394045962244e-10,1.645690269672471e-10,7.116564942595426e-10
con/DeBruijn.Lift/con/2,3.0582624675035035e-8,3.0426878287746065e-8,3.0989780736250326e-8,7.763598287388359e-10,3.5734596254999605e-10,1.5456197244878048e-9
con/DeBruijn.Lift/con/3,4.226511962748756e-8,4.220163162215999e-8,4.235337647431319e-8,2.425141049549451e-10,1.7319950807931313e-10,4.056768671456313e-10
con/DeBruijn.Lift/con/4,5.598315838050656e-8,5.5895777529977905e-8,5.6079356750439285e-8,3.1808838353550524e-10,2.5635707667312357e-10,4.0041104796119505e-10
con/DeBruijn.Lift/con/5,8.034758428887148e-8,8.02264578057426e-8,8.049342655010922e-8,4.702052183632137e-10,3.871332601929012e-10,6.080890370426291e-10
con/DeBruijn.Lift/con/6,9.003940141116996e-8,8.980966818069002e-8,9.033660960412622e-8,8.645710218317333e-10,6.962593785791521e-10,1.2027563391365201e-9
con/DeBruijn.Lift/con/7,1.0254433242920643e-7,1.0239222445755559e-7,1.0275572813619725e-7,6.347651593212219e-10,4.6104555869258153e-10,8.473283991803202e-10
con/DeBruijn.Lift/con/8,1.1436824334683155e-7,1.1417306067443591e-7,1.1461844130310596e-7,7.566422599392497e-10,5.909334090126007e-10,9.634652899667261e-10
con/DeBruijn.Lift/con/9,1.2711166709625141e-7,1.2693514407713493e-7,1.2740008816441864e-7,7.380944715257376e-10,5.364005802336413e-10,1.133008321493162e-9
con/DeBruijn.Lift/con/10,1.4746984061728814e-7,1.4730139381027841e-7,1.4768634246615933e-7,6.674583484151424e-10,5.269259685783031e-10,8.6844364080254e-10
con/DeBruijn.Lift/con/11,1.5243707133683138e-7,1.5225126484819948e-7,1.5262566889672873e-7,6.58562077240314e-10,5.308353956229951e-10,8.943047017751965e-10
con/DeBruijn.Lift/con/12,1.664840896413235e-7,1.6617400798218032e-7,1.6685430283811052e-7,1.1836384363514e-9,9.790366209857993e-10,1.454761306907051e-9
con/DeBruijn.Lift/con/13,1.7908830041700972e-7,1.787895296409003e-7,1.7959760981875722e-7,1.3047199934250323e-9,8.095171719228761e-10,2.0576998907634147e-9
con/DeBruijn.Lift/con/14,2.0011508983518695e-7,1.9965807213808405e-7,2.0086373710111434e-7,2.0525971391450743e-9,1.2811367993206775e-9,3.1823428318180706e-9
con/DeBruijn.Lift/con/15,2.108010983896661e-7,2.1041756630906164e-7,2.1128489434172018e-7,1.4738417750560333e-9,1.261082096851427e-9,1.836695008283359e-9
con/DeBruijn.Lift/con/16,2.1728005037770482e-7,2.1700740779188806e-7,2.1758842311943691e-7,9.936953973765433e-10,7.718143556118174e-10,1.3620648245119358e-9
con/DeBruijn.Lift/con/17,2.3120881352839477e-7,2.308339198040405e-7,2.3179296643494938e-7,1.517158539554237e-9,1.132287260443426e-9,2.1627094894707197e-9
con/DeBruijn.Lift/con/18,2.45013983003152e-7,2.4456640191184727e-7,2.455299198780565e-7,1.6874126925877781e-9,1.3445798435709681e-9,2.2312472666105267e-9
con/DeBruijn.Lift/con/19,2.6390485009369634e-7,2.6330950079477195e-7,2.648936121832748e-7,2.3609332715146673e-9,1.4999841003550785e-9,3.936226847612567e-9
con/DeBruijn.Lift/con/20,2.7495850981370867e-7,2.740124533958424e-7,2.782273793596068e-7,5.393354614022989e-9,2.123383344920617e-9,1.0744622625613697e-8
