Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lift/ids/1,1.9741664914739673e-8,1.969286183074412e-8,1.9835434549710448e-8,2.2413836011593236e-10,1.2081673150664353e-10,3.5596176685439716e-10
ids/DeBruijn.Lift/ids/2,2.5686311806741644e-8,2.5639228313808176e-8,2.5740449427821706e-8,1.6479451529354064e-10,1.2352629725187398e-10,2.278363861220513e-10
ids/DeBruijn.Lift/ids/3,3.7827401706443634e-8,3.724530944666181e-8,3.841244607080009e-8,1.9552395817147576e-9,1.637474745121996e-9,2.478028394350113e-9
ids/DeBruijn.Lift/ids/4,4.1318105608992804e-8,4.079326870148304e-8,4.1804431917729285e-8,1.6857007929742322e-9,1.3470080307598225e-9,2.1577756679819245e-9
ids/DeBruijn.Lift/ids/5,5.149292503851311e-8,5.1272963549445745e-8,5.170030465260446e-8,7.452175408237735e-10,5.823164291103382e-10,1.004345649428391e-9
ids/DeBruijn.Lift/ids/6,5.488122002992612e-8,5.4643890374040684e-8,5.5114800035456935e-8,8.034478400304126e-10,6.702186548136914e-10,1.0219424642755956e-9
ids/DeBruijn.Lift/ids/7,6.086759062059671e-8,6.062388309732075e-8,6.106710638020571e-8,7.205098183426369e-10,5.282885994650143e-10,1.0928924529616882e-9
ids/DeBruijn.Lift/ids/8,6.913562674647281e-8,6.874242087927921e-8,6.951022648934466e-8,1.2936328178545675e-9,1.0433512247458691e-9,1.6262178302648507e-9
ids/DeBruijn.Lift/ids/9,7.174562670050924e-8,7.157290682349634e-8,7.191180245034101e-8,5.617979362606155e-10,4.6513059007961734e-10,7.351746377109421e-10
ids/DeBruijn.Lift/ids/10,7.957912165689601e-8,7.907541378087074e-8,8.000853507198439e-8,1.5495511589609601e-9,1.2689928119289553e-9,1.9950617865068223e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lift/ids/1,2.022481310687618e-8,2.0203345241549742e-8,2.0266514867065636e-8,9.803199865608473e-11,4.9253124466480175e-11,1.8576275920213532e-10
ids/DeBruijn.Lift/ids/2,2.6650734293263204e-8,2.6606598984334366e-8,2.6723224066557906e-8,1.8411993466133127e-10,1.2361152805516796e-10,2.8189494049294053e-10
ids/DeBruijn.Lift/ids/3,3.261270033464346e-8,3.253296204066059e-8,3.278396243135997e-8,3.8735782807027236e-10,1.9023653452421934e-10,7.272734841801777e-10
ids/DeBruijn.Lift/ids/4,3.8804970676442007e-8,3.872541387755561e-8,3.893923499563519e-8,3.469961614629945e-10,2.1346792894200153e-10,6.187954847439817e-10
ids/DeBruijn.Lift/ids/5,5.5408234696924644e-8,5.5188235206410954e-8,5.613178177356913e-8,1.2003716527563637e-9,4.388541661995002e-10,2.5399537363631865e-9
ids/DeBruijn.Lift/ids/6,5.652364197649016e-8,5.643560076413381e-8,5.664063587613779e-8,3.465601122379556e-10,2.708531589088518e-10,4.3894739776275253e-10
ids/DeBruijn.Lift/ids/7,6.244187785721139e-8,6.237549204281384e-8,6.25414296433508e-8,2.7367217014852617e-10,1.94623590456374e-10,4.2686552033364076e-10
ids/DeBruijn.Lift/ids/8,6.879502762942688e-8,6.862858021703476e-8,6.937968236838409e-8,8.75747116361048e-10,3.232945980257166e-10,1.7497421341120436e-9
ids/DeBruijn.Lift/ids/9,7.511696408725689e-8,7.483728653843929e-8,7.55453495788475e-8,1.1989778605780703e-9,8.512671268010651e-10,1.8350834100030886e-9
ids/DeBruijn.Lift/ids/10,8.053757889532247e-8,8.04373989419921e-8,8.0649762668248e-8,3.879877334334678e-10,3.2048668157904534e-10,5.060004909928556e-10
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Lift/ids/1,2.0793985566674292e-8,2.074936622372865e-8,2.0850545829510965e-8,1.5890867466126446e-10,1.2190411801599612e-10,2.0827682542942047e-10
ids/DeBruijn.Lift/ids/2,2.7260652461952542e-8,2.7211817816812245e-8,2.731885680076417e-8,1.7938831008007298e-10,1.4776412964131761e-10,2.2648215089204335e-10
ids/DeBruijn.Lift/ids/3,3.32589731666434e-8,3.320811005503465e-8,3.3317775731999545e-8,1.7570295433945767e-10,1.4613245688455927e-10,2.1069566147176018e-10
ids/DeBruijn.Lift/ids/4,4.00132726261206e-8,3.994542387011186e-8,4.012120239412752e-8,2.935943570645435e-10,1.8597205277213544e-10,5.061080340097442e-10
ids/DeBruijn.Lift/ids/5,5.52623906451004e-8,5.5180176662243126e-8,5.5350778117872786e-8,2.843870699197553e-10,2.450629192129203e-10,3.350821299604373e-10
ids/DeBruijn.Lift/ids/6,5.753768819167367e-8,5.738554552144036e-8,5.7747871985635474e-8,6.063158066160709e-10,4.743218269342839e-10,8.46126364733702e-10
ids/DeBruijn.Lift/ids/7,6.367077240638304e-8,6.351169392289719e-8,6.407955675780022e-8,8.500557046754358e-10,2.72554718093642e-10,1.7975169316524045e-9
ids/DeBruijn.Lift/ids/8,6.905128584680453e-8,6.896209814518223e-8,6.917133779121026e-8,3.364094944624397e-10,2.4117657510761266e-10,4.834237028630865e-10
ids/DeBruijn.Lift/ids/9,7.537211851559082e-8,7.522664701085383e-8,7.554188627835557e-8,5.228625680633482e-10,4.292578365212727e-10,6.540702269713112e-10
ids/DeBruijn.Lift/ids/10,8.171325546807909e-8,8.156436512116784e-8,8.191003313324257e-8,5.501934862238601e-10,4.2034996765030343e-10,7.493222604727436e-10
