Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.List/adjust/1,3.056462850198511e-8,3.0343693597543636e-8,3.0752378911824864e-8,6.969911573630413e-10,5.969866820928932e-10,7.926338668298251e-10
adjust/DeBruijn.List/adjust/2,9.668659435508863e-8,9.61816035976474e-8,9.725971102450404e-8,1.7522971251641477e-9,1.543117304341487e-9,2.003360628922865e-9
adjust/DeBruijn.List/adjust/3,2.221850973542015e-7,2.2058961023385077e-7,2.240599269259516e-7,5.61615627683982e-9,4.85214229357084e-9,6.802994471137307e-9
adjust/DeBruijn.List/adjust/4,4.052324929286087e-7,4.0254744775601223e-7,4.067963824502455e-7,6.6803570455391495e-9,5.165997266561129e-9,8.602206428781631e-9
adjust/DeBruijn.List/adjust/5,6.437581373410131e-7,6.391762822401626e-7,6.480059579991088e-7,1.3901375490311393e-8,1.2153117168959338e-8,1.6459939160836244e-8
adjust/DeBruijn.List/adjust/6,9.703314055594968e-7,9.694618387131126e-7,9.713575161312236e-7,3.208410492103637e-9,2.5139804535607464e-9,4.278304708130425e-9
adjust/DeBruijn.List/adjust/7,1.423098976142832e-6,1.4190608697962452e-6,1.4262958083927317e-6,1.1889965433479683e-8,9.221633914865354e-9,1.619174347392641e-8
adjust/DeBruijn.List/adjust/8,1.931446079279644e-6,1.9224788422604448e-6,1.9437071791188476e-6,3.613949292353127e-8,2.6811710459790827e-8,4.878577608203717e-8
adjust/DeBruijn.List/adjust/9,2.4819258274231147e-6,2.4702154905169486e-6,2.5073962861746406e-6,5.3114790681828365e-8,3.6828922347298576e-8,7.81823211080806e-8
adjust/DeBruijn.List/adjust/10,3.1778186814687664e-6,3.1744922878664685e-6,3.1817787811790803e-6,1.2750469360056731e-8,9.623005297868213e-9,1.790951032550365e-8
adjust/DeBruijn.List/adjust/11,4.051024957341313e-6,4.0211898949253425e-6,4.104396232638002e-6,1.3214902823708436e-7,7.254423828778051e-8,2.0649772874130052e-7
adjust/DeBruijn.List/adjust/12,5.080006140243837e-6,5.067059672840592e-6,5.094226176596761e-6,4.505235213660419e-8,3.74659616764078e-8,5.6878506535111004e-8
adjust/DeBruijn.List/adjust/13,6.184916441003854e-6,6.178899169399074e-6,6.191643438820018e-6,2.0564379566791014e-8,1.5715713387596855e-8,2.651200311003044e-8
adjust/DeBruijn.List/adjust/14,7.408106168959822e-6,7.399464709947741e-6,7.4195771262479455e-6,3.4603296321483014e-8,2.6138963651843666e-8,5.441500776052345e-8
adjust/DeBruijn.List/adjust/15,9.061516405311872e-6,9.010879669534836e-6,9.12500526522108e-6,1.8739544526771794e-7,1.5280106773218372e-7,2.231058999736396e-7
adjust/DeBruijn.List/adjust/16,1.0838163991625569e-5,1.076749235610259e-5,1.0928760699888046e-5,2.700690403213179e-7,2.1356629377709555e-7,4.221540370319316e-7
adjust/DeBruijn.List/adjust/17,1.2362253224870896e-5,1.2348650196306288e-5,1.237664703872866e-5,4.649308951935159e-8,3.957932302488617e-8,5.822072416311762e-8
adjust/DeBruijn.List/adjust/18,1.4013335318236683e-5,1.399816978489284e-5,1.4026651318189285e-5,4.860448300289082e-8,4.235409153107904e-8,5.577640911414151e-8
adjust/DeBruijn.List/adjust/19,1.6299945458919543e-5,1.6268986338450735e-5,1.6339601092927745e-5,1.2052588216738634e-7,9.407914096978276e-8,1.6145118064783128e-7
adjust/DeBruijn.List/adjust/20,1.8743164109046722e-5,1.8725607487453514e-5,1.876215917289196e-5,6.003571598631177e-8,4.508931509123219e-8,7.962667298684737e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.List/adjust/1,2.9495065267718257e-8,2.9347295360804986e-8,2.9828479659568685e-8,6.641243250272096e-10,4.363478987431662e-10,1.1692872312009944e-9
adjust/DeBruijn.List/adjust/2,9.142814593385715e-8,9.088262829973328e-8,9.204974235637153e-8,2.001926877681988e-9,1.8036752630333231e-9,2.3370896101830778e-9
adjust/DeBruijn.List/adjust/3,2.1420253692111023e-7,2.118565003346927e-7,2.1721016230238195e-7,8.885997407325242e-9,6.950898225752149e-9,1.2653259909514272e-8
adjust/DeBruijn.List/adjust/4,3.744542589035758e-7,3.7221441517957077e-7,3.7717733025542363e-7,8.094880110683111e-9,6.63792483344165e-9,1.0235828816371444e-8
adjust/DeBruijn.List/adjust/5,5.760743204980024e-7,5.746893558199874e-7,5.777829768232261e-7,5.417626198577538e-9,4.3806214045834985e-9,6.590065253774108e-9
adjust/DeBruijn.List/adjust/6,9.015334672047275e-7,8.862802242659704e-7,9.252708928144709e-7,6.188832716838577e-8,4.63782679900942e-8,7.462197624260377e-8
adjust/DeBruijn.List/adjust/7,1.3008017580911851e-6,1.2914500615212237e-6,1.3111631474190565e-6,3.325956941825624e-8,3.033956328272448e-8,3.78289667170452e-8
adjust/DeBruijn.List/adjust/8,1.7837876728304503e-6,1.7762978443222866e-6,1.7972551773699923e-6,3.2312448476610314e-8,2.2683042789150258e-8,4.2733622083867024e-8
adjust/DeBruijn.List/adjust/9,2.370559345167952e-6,2.3584904596221798e-6,2.382529286225419e-6,3.86269313973996e-8,3.2083114213528714e-8,5.1703234879035174e-8
adjust/DeBruijn.List/adjust/10,3.066006334871584e-6,3.0499560283697267e-6,3.089687228569461e-6,6.638535718399249e-8,5.443633101347713e-8,8.690871707297702e-8
adjust/DeBruijn.List/adjust/11,3.8030601603923863e-6,3.7983786992426434e-6,3.8098297326052353e-6,1.8761978261220573e-8,1.4597837748199044e-8,2.6569551825116057e-8
adjust/DeBruijn.List/adjust/12,4.707674941420552e-6,4.700301768470128e-6,4.719541984412182e-6,3.132563922820911e-8,2.10725405556693e-8,5.530602616728385e-8
adjust/DeBruijn.List/adjust/13,5.781821664644023e-6,5.774325944507559e-6,5.802922769731931e-6,3.917380295914273e-8,1.836010349481993e-8,7.871829585485841e-8
adjust/DeBruijn.List/adjust/14,7.218377794176108e-6,7.148374700555104e-6,7.311841170294046e-6,2.701807996520397e-7,2.1533073516507248e-7,3.4982225899666765e-7
adjust/DeBruijn.List/adjust/15,8.572235352288099e-6,8.548441603548929e-6,8.601518140183388e-6,9.032109216648498e-8,7.118834330355407e-8,1.1895992385453853e-7
adjust/DeBruijn.List/adjust/16,1.0078316309901856e-5,1.005277109343667e-5,1.0110424175132032e-5,9.222222263519354e-8,7.350888730703721e-8,1.1766373555862839e-7
adjust/DeBruijn.List/adjust/17,1.1814146266712073e-5,1.1781432242548196e-5,1.184983223531586e-5,1.205236903647933e-7,1.0252246270387437e-7,1.441672424314212e-7
adjust/DeBruijn.List/adjust/18,1.354606391020613e-5,1.3507320331238685e-5,1.3594343445841315e-5,1.4817221320035783e-7,1.2647380680758817e-7,1.7988119861706072e-7
adjust/DeBruijn.List/adjust/19,1.581789638878565e-5,1.577566186815268e-5,1.5867740829456587e-5,1.4768340715278927e-7,1.24953512890021e-7,1.840738529016915e-7
adjust/DeBruijn.List/adjust/20,1.81005313368178e-5,1.8078851305625825e-5,1.8140230619448725e-5,9.416975398910881e-8,7.039982877906053e-8,1.3582055417400853e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.List/adjust/1,3.154051460867239e-8,3.135748921376776e-8,3.170425510482539e-8,6.124911779711828e-10,4.86835107148556e-10,7.777725964446965e-10
adjust/DeBruijn.List/adjust/2,9.795722907257469e-8,9.738515497720399e-8,9.854543641562674e-8,1.9044539876451245e-9,1.629154228556319e-9,2.4855841462419118e-9
adjust/DeBruijn.List/adjust/3,2.1483506250594775e-7,2.1458469468334668e-7,2.1511518928863548e-7,8.822188733460719e-10,6.316157025926988e-10,1.3531844756112514e-9
adjust/DeBruijn.List/adjust/4,3.86652630583887e-7,3.847993268387696e-7,3.8985687452777746e-7,7.71142362313304e-9,5.521884263291917e-9,1.0812907968213602e-8
adjust/DeBruijn.List/adjust/5,6.138663114687694e-7,6.055911745172633e-7,6.289450309208982e-7,3.6651685321720575e-8,2.3836938505387274e-8,6.087449239932235e-8
adjust/DeBruijn.List/adjust/6,8.817854340505738e-7,8.793437529296192e-7,8.871843529155792e-7,1.2012309512381037e-8,7.122193803579834e-9,2.1149123495652376e-8
adjust/DeBruijn.List/adjust/7,1.3260918026752746e-6,1.3147702165528487e-6,1.3484101571740943e-6,4.738427701988865e-8,2.9743427933123087e-8,8.077374921858259e-8
adjust/DeBruijn.List/adjust/8,1.7783839870512563e-6,1.775001516519591e-6,1.7839469702967045e-6,1.4479094695445372e-8,1.1459524967741047e-8,2.01864047300805e-8
adjust/DeBruijn.List/adjust/9,2.3305447723767477e-6,2.327538989092035e-6,2.334960336376963e-6,1.1967575414872569e-8,9.088243548150802e-9,1.7606716095289187e-8
adjust/DeBruijn.List/adjust/10,2.9819792795012443e-6,2.9790316314558306e-6,2.988740044314419e-6,1.3545948320490173e-8,7.81651037917279e-9,2.3947595326279064e-8
adjust/DeBruijn.List/adjust/11,3.735010007076109e-6,3.7309663279966485e-6,3.7381385073855896e-6,1.1566119420630582e-8,8.492812388918912e-9,1.5725970661503726e-8
adjust/DeBruijn.List/adjust/12,4.670051845592246e-6,4.6502460359931565e-6,4.699474334876312e-6,8.068219982218278e-8,6.332022090178314e-8,9.626508335496654e-8
adjust/DeBruijn.List/adjust/13,5.718250763860764e-6,5.697361886258209e-6,5.744865346141201e-6,7.83161383942291e-8,6.505329144095314e-8,9.850656849372853e-8
adjust/DeBruijn.List/adjust/14,6.958011914443431e-6,6.9350137262210025e-6,7.009418421116382e-6,1.0861543857419073e-7,6.39048341639372e-8,2.0905592341043275e-7
adjust/DeBruijn.List/adjust/15,8.233462724552362e-6,8.223928661387934e-6,8.246038060095181e-6,3.594466528526716e-8,2.4678452661760236e-8,5.013336923092124e-8
adjust/DeBruijn.List/adjust/16,9.773254435547814e-6,9.741963241273914e-6,9.81734946256005e-6,1.305205055500832e-7,9.156161048429645e-8,1.9749769872054716e-7
adjust/DeBruijn.List/adjust/17,1.1402045591428602e-5,1.1366445975342177e-5,1.144906965051739e-5,1.3380061609715423e-7,1.032641053668278e-7,1.6976810814750458e-7
adjust/DeBruijn.List/adjust/18,1.291718537684093e-5,1.288980641335008e-5,1.2954044877205411e-5,1.0589666316953184e-7,8.078100088217571e-8,1.4339149143835906e-7
adjust/DeBruijn.List/adjust/19,1.5012485257126326e-5,1.4960116474076786e-5,1.5076978557927466e-5,1.903171781526288e-7,1.4186227173770604e-7,2.5887432204494965e-7
adjust/DeBruijn.List/adjust/20,1.7411317693606434e-5,1.7353365511496922e-5,1.747628356441913e-5,2.046725374586089e-7,1.619875337019395e-7,2.746249921441897e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.List/adjust/1,2.7898940196847077e-8,2.785276550491885e-8,2.796632443079264e-8,1.9380748027480844e-10,1.3603724017913223e-10,2.649046198187757e-10
