Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.List/capt/1,4.465093653754179e-8,4.454442929915402e-8,4.4872502338183973e-8,4.903733683293199e-10,3.0821319368399336e-10,8.335005252469164e-10
capt/DeBruijn.List/capt/2,5.38667315722693e-8,5.368483972187407e-8,5.420964512324249e-8,8.273192200831919e-10,4.919785000323541e-10,1.5373603633525658e-9
capt/DeBruijn.List/capt/3,6.522576976693937e-8,6.484293199429988e-8,6.555341584878447e-8,1.177856789635967e-9,9.580766746913554e-10,1.607526547457326e-9
capt/DeBruijn.List/capt/4,7.580987016860173e-8,7.520509907038802e-8,7.661307174855799e-8,2.327096905170925e-9,1.8565998772028665e-9,3.0399225311972764e-9
capt/DeBruijn.List/capt/5,8.449489125399015e-8,8.428292149952301e-8,8.4742654737328e-8,8.04780172639914e-10,6.842394604108405e-10,9.655590222775261e-10
capt/DeBruijn.List/capt/6,9.452497874400421e-8,9.392568303273317e-8,9.512918629690895e-8,1.9097232863310816e-9,1.6003938100319123e-9,2.3521315437559265e-9
capt/DeBruijn.List/capt/7,1.0516297888186016e-7,1.0445421897918691e-7,1.0624620198063136e-7,3.0891927335639144e-9,2.26038520709316e-9,4.929835638429952e-9
capt/DeBruijn.List/capt/8,1.157157126394225e-7,1.1471523203379054e-7,1.1674281137568357e-7,3.3845195528002674e-9,2.911607764987887e-9,4.0827835116206465e-9
capt/DeBruijn.List/capt/9,1.217798409674034e-7,1.2149700066449684e-7,1.2206492548363574e-7,9.647769970898838e-10,7.806782856546042e-10,1.2043479639086584e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.List/capt/1,4.484282932024785e-8,4.480712110151142e-8,4.488740629182043e-8,1.4468420713849593e-10,1.2014014933818182e-10,1.7857548555461055e-10
capt/DeBruijn.List/capt/2,5.3055947459337935e-8,5.295807124406885e-8,5.324248592610571e-8,4.4642003205515905e-10,2.4934733723635097e-10,7.997074938310061e-10
capt/DeBruijn.List/capt/3,6.259905023958704e-8,6.241538224367079e-8,6.301616044281653e-8,9.031409428703722e-10,3.98601926996028e-10,1.7181705619870478e-9
capt/DeBruijn.List/capt/4,7.142197551272707e-8,7.136644235917889e-8,7.152267933307307e-8,2.4476456597551235e-10,1.2068936183593718e-10,3.8546478366899e-10
capt/DeBruijn.List/capt/5,8.212973716998692e-8,8.200629358467271e-8,8.227806975489374e-8,4.3374938081495003e-10,3.480158965173677e-10,5.925518955791249e-10
capt/DeBruijn.List/capt/6,9.077068689954534e-8,9.065312451529387e-8,9.09545039021489e-8,4.826057940685982e-10,3.735005207153474e-10,6.469998989254843e-10
capt/DeBruijn.List/capt/7,1.0134091305138403e-7,1.0120715305299556e-7,1.0154077107010672e-7,5.575789729786366e-10,3.1862362776761253e-10,9.520382496505414e-10
capt/DeBruijn.List/capt/8,1.0967265048556621e-7,1.0947892457417567e-7,1.0994232296301848e-7,7.723726261542578e-10,6.107739660189382e-10,1.0262069016191357e-9
capt/DeBruijn.List/capt/9,1.2099842744506112e-7,1.2069353571043667e-7,1.2138792374362718e-7,1.111153129549207e-9,8.606273157648636e-10,1.4005847249353414e-9
