Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Nested/con/1,2.7774211847608148e-8,2.7733492268228728e-8,2.782638590782968e-8,1.5064090241761092e-10,1.2087415203176698e-10,1.9212443053509462e-10
con/DeBruijn.Nested/con/2,5.490383465360752e-8,5.4817529331415604e-8,5.503227721113609e-8,3.622036441417336e-10,2.55253339150193e-10,4.952519234910646e-10
con/DeBruijn.Nested/con/3,8.842556485690307e-8,8.823614693132756e-8,8.871207645281596e-8,7.870268749858614e-10,5.949207111350197e-10,1.1191442895476412e-9
con/DeBruijn.Nested/con/4,1.2692001883313323e-7,1.2669717498588998e-7,1.2756311028938422e-7,1.0947680574183134e-9,5.860959446043145e-10,2.112481045487763e-9
con/DeBruijn.Nested/con/5,1.7219839834278204e-7,1.718927481288189e-7,1.7252711593840794e-7,1.1245096014346717e-9,9.345340305001699e-10,1.4704549059239542e-9
con/DeBruijn.Nested/con/6,2.3485691011481123e-7,2.3443353420800882e-7,2.3554261430245896e-7,1.827139002194016e-9,1.3423522201479863e-9,3.0808717831378017e-9
con/DeBruijn.Nested/con/7,3.010414059233835e-7,3.005696033923069e-7,3.0169559724945536e-7,1.7421636193923512e-9,1.2743219432405193e-9,2.8667627013800518e-9
con/DeBruijn.Nested/con/8,3.774861368717134e-7,3.766888142774797e-7,3.7838602153361885e-7,2.9506147470396636e-9,2.386226125087831e-9,3.6081898333036283e-9
con/DeBruijn.Nested/con/9,4.636797933827737e-7,4.623130129119225e-7,4.660906120965811e-7,5.7630855639068285e-9,3.5524476396171633e-9,1.056620067969386e-8
con/DeBruijn.Nested/con/10,5.445643021640151e-7,5.439934919029455e-7,5.456001966969045e-7,2.545456826978704e-9,1.7986561344827767e-9,4.223529007620751e-9
con/DeBruijn.Nested/con/11,6.605128587316026e-7,6.589124710711843e-7,6.635500374632986e-7,7.221051122495963e-9,4.602218861377979e-9,1.2926875269891771e-8
con/DeBruijn.Nested/con/12,7.765512206342981e-7,7.750980833198647e-7,7.784178059911084e-7,5.720052409239839e-9,4.382211915264961e-9,7.651424258269252e-9
con/DeBruijn.Nested/con/13,8.919037871361642e-7,8.885521955464902e-7,8.965032430396075e-7,1.3252061786806117e-8,9.811875882565507e-9,2.0830759946517922e-8
con/DeBruijn.Nested/con/14,1.0083164834328568e-6,1.004861373915308e-6,1.0181347534601335e-6,1.8219791860207463e-8,8.330011299380008e-9,3.441366296672872e-8
con/DeBruijn.Nested/con/15,1.1501453747121381e-6,1.142858888570498e-6,1.1645993147414082e-6,3.135256836610847e-8,1.8493865561254834e-8,4.8818296006454804e-8
con/DeBruijn.Nested/con/16,1.2659547314911413e-6,1.2641882455938367e-6,1.2684720396765084e-6,7.112976411398078e-9,4.5946507651333705e-9,1.1178916215526854e-8
con/DeBruijn.Nested/con/17,1.42683348956689e-6,1.4237279134485062e-6,1.431651450353114e-6,1.2493995492554385e-8,9.489372786117176e-9,1.700866384738e-8
con/DeBruijn.Nested/con/18,1.5798497433527808e-6,1.5767317466850996e-6,1.5838908722784847e-6,1.244720434556047e-8,9.90917034456063e-9,1.615871436938982e-8
con/DeBruijn.Nested/con/19,1.7591542587104367e-6,1.7501044071063134e-6,1.7720765973055263e-6,3.680102979005193e-8,2.724195972037567e-8,4.81988181666955e-8
con/DeBruijn.Nested/con/20,1.9003177602479595e-6,1.8981206427669382e-6,1.9035619737220845e-6,8.989182426067918e-9,6.881060574673103e-9,1.192365122974614e-8
