Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Nested/ids/1,2.5098991865860854e-8,2.5078984619341353e-8,2.513189433856464e-8,8.499936831859758e-11,6.355105738012277e-11,1.201347434665167e-10
ids/DeBruijn.Nested/ids/2,3.877103202378732e-8,3.870507708184382e-8,3.8880707863063686e-8,2.8280191481192513e-10,2.1095533786803377e-10,4.0291905922229264e-10
ids/DeBruijn.Nested/ids/3,5.1007846683478786e-8,5.093320340014543e-8,5.111011500400964e-8,2.9620028629383724e-10,1.9296537299525298e-10,4.2036772152310983e-10
ids/DeBruijn.Nested/ids/4,6.946914211834831e-8,6.936900008282618e-8,6.963997452232025e-8,4.235160970168149e-10,2.858368383602416e-10,7.349424435371476e-10
ids/DeBruijn.Nested/ids/5,7.906211789124151e-8,7.891797576566923e-8,7.927324919457099e-8,6.011913682092297e-10,4.275390111978053e-10,8.034961205331062e-10
ids/DeBruijn.Nested/ids/6,9.108801913502865e-8,9.072751728802588e-8,9.270305058295731e-8,2.085389117857132e-9,6.143942011868297e-10,4.550440966143943e-9
ids/DeBruijn.Nested/ids/7,1.0325720471241648e-7,1.0316771256661999e-7,1.0337894812869057e-7,3.598682958912316e-10,2.7597178060597333e-10,5.171229574889464e-10
ids/DeBruijn.Nested/ids/8,1.1578545875628323e-7,1.1558775050741383e-7,1.1602897255588756e-7,7.367067522894585e-10,5.780449460718301e-10,9.36991542726502e-10
ids/DeBruijn.Nested/ids/9,1.2639399976686957e-7,1.2625164368189843e-7,1.266037919168752e-7,5.807998199040948e-10,4.220779476152254e-10,8.078101870610735e-10
ids/DeBruijn.Nested/ids/10,1.382380672923828e-7,1.380097148447479e-7,1.3870715034331875e-7,1.0912978296673406e-9,6.693813376904584e-10,2.0017285480086663e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Nested/ids/1,2.6294720239926736e-8,2.6240141893314775e-8,2.6376067034950173e-8,2.077770174881056e-10,1.4380211432326022e-10,2.907719022495715e-10
ids/DeBruijn.Nested/ids/2,3.994843904817504e-8,3.9868538897077126e-8,4.011854201894963e-8,3.5330344220211995e-10,1.8194425780410847e-10,6.533705222448056e-10
ids/DeBruijn.Nested/ids/3,5.282814273780432e-8,5.2753556607841386e-8,5.292022140979939e-8,2.8043824209520515e-10,2.1280777704911492e-10,3.7179243559889743e-10
ids/DeBruijn.Nested/ids/4,7.093322159950909e-8,7.081027670225984e-8,7.116062170305634e-8,4.91993253339639e-10,2.9713549382629757e-10,8.684612358626646e-10
ids/DeBruijn.Nested/ids/5,8.17242183038144e-8,8.164801399565705e-8,8.182474104001155e-8,2.975119577904046e-10,2.1438835777393835e-10,4.1178925109235104e-10
ids/DeBruijn.Nested/ids/6,9.448373414296991e-8,9.435800163404685e-8,9.465686432081525e-8,4.889148580341374e-10,3.554735495407236e-10,7.347550585164025e-10
ids/DeBruijn.Nested/ids/7,1.0663289542701595e-7,1.0647759663386854e-7,1.0686804608948743e-7,6.451251485677381e-10,4.3658479650459166e-10,1.045579497995401e-9
ids/DeBruijn.Nested/ids/8,1.1877599314719234e-7,1.1865399285193413e-7,1.1892506147544964e-7,4.7683833851652e-10,3.490783491428409e-10,6.366367188815623e-10
ids/DeBruijn.Nested/ids/9,1.3111356993697428e-7,1.3089425696551672e-7,1.3143441294829822e-7,9.347208787319675e-10,6.905238076233555e-10,1.3526164405685348e-9
ids/DeBruijn.Nested/ids/10,1.4301250008150503e-7,1.427155239447155e-7,1.438931578129441e-7,1.5908541730558313e-9,6.376122737204642e-10,3.1885095165849308e-9
