Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.B/adjust/1,7.720729902019261e-8,7.708895873976648e-8,7.743548106109131e-8,5.424496335871138e-10,3.823828513088177e-10,8.521757709497116e-10
adjust/DeBruijn.Par.B/adjust/2,1.8735079385304668e-7,1.870969513946786e-7,1.8797181923919026e-7,1.2875482778620826e-9,6.500379173080859e-10,2.393005406032193e-9
adjust/DeBruijn.Par.B/adjust/3,3.957283554973442e-7,3.9507718876673934e-7,3.9666235941751873e-7,2.6033776056380844e-9,1.938215165593995e-9,3.722853211524426e-9
adjust/DeBruijn.Par.B/adjust/4,7.160119083028441e-7,7.147019423800872e-7,7.180455099346521e-7,5.701324609068463e-9,3.808972916148105e-9,8.297327330838622e-9
adjust/DeBruijn.Par.B/adjust/5,1.1947198710004908e-6,1.1940656500806348e-6,1.1955315915701012e-6,2.582527183174006e-9,2.0084993119171857e-9,3.935409707608468e-9
adjust/DeBruijn.Par.B/adjust/6,1.898151594759091e-6,1.8943843078952945e-6,1.9031183506715691e-6,1.4645059565881583e-8,1.0825548162867917e-8,2.134961222695524e-8
adjust/DeBruijn.Par.B/adjust/7,2.8159663001557405e-6,2.811578636774398e-6,2.822205672241692e-6,1.7744357676277555e-8,1.3150711237249859e-8,2.4644375245635643e-8
adjust/DeBruijn.Par.B/adjust/8,4.134307960384612e-6,4.130236584537418e-6,4.140441361483991e-6,1.6704421416465467e-8,1.2195463771741867e-8,2.33928409372037e-8
adjust/DeBruijn.Par.B/adjust/9,5.769375568181142e-6,5.746887043241861e-6,5.800141856314038e-6,9.344345235655993e-8,7.163711422408856e-8,1.1535366405760897e-7
adjust/DeBruijn.Par.B/adjust/10,7.692499323811436e-6,7.675830683617133e-6,7.718680808356411e-6,7.129601209083037e-8,4.722880086847181e-8,1.1730881816961456e-7
adjust/DeBruijn.Par.B/adjust/11,9.994253089176742e-6,9.979981762149378e-6,1.0027912396587403e-5,6.897144233430101e-8,2.8154811648025725e-8,1.1826522475280609e-7
adjust/DeBruijn.Par.B/adjust/12,1.2790747440671735e-5,1.2774081087592678e-5,1.2808482612234422e-5,6.216242775134787e-8,4.7964219126768995e-8,8.860637750611198e-8
adjust/DeBruijn.Par.B/adjust/13,1.6129993468092728e-5,1.609340194664579e-5,1.6229784445664584e-5,1.8896528952153517e-7,8.961520965350503e-8,3.5570679940256393e-7
adjust/DeBruijn.Par.B/adjust/14,1.9931234262617184e-5,1.9904382146373236e-5,1.997679395453313e-5,1.1058123799030312e-7,5.499219789177377e-8,1.7770785172315537e-7
adjust/DeBruijn.Par.B/adjust/15,2.447524909522707e-5,2.443732933887181e-5,2.453157228871086e-5,1.6004155309505226e-7,1.0660934556958092e-7,2.2318415216557847e-7
adjust/DeBruijn.Par.B/adjust/16,2.9337256606054568e-5,2.927455359316432e-5,2.9487349737154663e-5,2.934220511758338e-7,1.930801958868833e-7,5.172030399441717e-7
adjust/DeBruijn.Par.B/adjust/17,3.470667014428806e-5,3.469419606263093e-5,3.472412274590166e-5,4.758311323108115e-8,3.533841498274717e-8,6.67292781103456e-8
adjust/DeBruijn.Par.B/adjust/18,4.1250707654078754e-5,4.118551607194383e-5,4.136520740230308e-5,2.8055748085539616e-7,1.8660546395962407e-7,4.0610481042364527e-7
adjust/DeBruijn.Par.B/adjust/19,4.8348394857650956e-5,4.8282304889949594e-5,4.843440985763989e-5,2.5832671262139814e-7,2.0254807162613434e-7,3.491641593013732e-7
adjust/DeBruijn.Par.B/adjust/20,5.5979772568154734e-5,5.591682083311296e-5,5.606870959819402e-5,2.628662610114302e-7,1.805270065389105e-7,4.180973870317063e-7
