Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.B/adjustb/1,1.29342204196635e-7,1.287996785729043e-7,1.3055216585788712e-7,2.7200385630604837e-9,1.5684853773066196e-9,4.737346838806882e-9
adjustb/DeBruijn.Par.B/adjustb/2,3.4158823267307596e-7,3.403264861125714e-7,3.4456142361875903e-7,6.193246558789339e-9,3.2690311316712925e-9,1.121051596884957e-8
adjustb/DeBruijn.Par.B/adjustb/3,7.430391852038594e-7,7.419512698077337e-7,7.448285026963445e-7,4.7353575918621845e-9,3.4624236306493425e-9,7.409593549591618e-9
adjustb/DeBruijn.Par.B/adjustb/4,1.3648871298241159e-6,1.3627331561775778e-6,1.3679356333675384e-6,8.84871473741425e-9,6.399272536954857e-9,1.2534510114730833e-8
adjustb/DeBruijn.Par.B/adjustb/5,2.264753929082484e-6,2.2626448271697783e-6,2.26809011553301e-6,8.6497125330946e-9,6.228466361419773e-9,1.4745188193317667e-8
adjustb/DeBruijn.Par.B/adjustb/6,3.5374455052555185e-6,3.5309895637485265e-6,3.54470986496692e-6,2.425074437543172e-8,2.002038313020713e-8,3.1780226522028275e-8
adjustb/DeBruijn.Par.B/adjustb/7,5.248132475865436e-6,5.2379706512971155e-6,5.2628797768296226e-6,4.059774390169236e-8,2.8941005046976635e-8,5.661862796763248e-8
adjustb/DeBruijn.Par.B/adjustb/8,7.347695087396719e-6,7.334955531326538e-6,7.374560807550812e-6,5.8309254801752886e-8,3.7614207232782175e-8,9.885516959938056e-8
adjustb/DeBruijn.Par.B/adjustb/9,1.004171598440495e-5,1.002176623013324e-5,1.0071142229708722e-5,8.117195602344314e-8,5.6357451208903194e-8,1.3242509179741112e-7
adjustb/DeBruijn.Par.B/adjustb/10,1.3362909442807554e-5,1.3339021071563845e-5,1.3403646566214838e-5,1.0218240361082258e-7,6.297487681759886e-8,1.671298000695493e-7
adjustb/DeBruijn.Par.B/adjustb/11,1.7161312483286866e-5,1.7149437656872096e-5,1.717734695331841e-5,4.74581991281446e-8,3.6705615593560294e-8,6.054212489802854e-8
adjustb/DeBruijn.Par.B/adjustb/12,2.1728797281958314e-5,2.166806810914246e-5,2.1838877292229835e-5,2.654415686791211e-7,1.6658516824122676e-7,4.691973839779451e-7
adjustb/DeBruijn.Par.B/adjustb/13,2.7104716755984802e-5,2.7055596050947058e-5,2.718738940100022e-5,2.14314916456648e-7,1.4209083993373884e-7,3.829037544796608e-7
adjustb/DeBruijn.Par.B/adjustb/14,3.295927814521674e-5,3.292467899782433e-5,3.302434477135791e-5,1.5931300440786392e-7,9.887420821386808e-8,2.523934353769385e-7
adjustb/DeBruijn.Par.B/adjustb/15,4.014878440928313e-5,4.005718777278056e-5,4.0257291613218976e-5,3.376549773312333e-7,2.8389600864138295e-7,4.222005336188965e-7
adjustb/DeBruijn.Par.B/adjustb/16,4.8289374240644724e-5,4.8183930678138006e-5,4.843072495810456e-5,4.011450304883732e-7,3.1370830792350384e-7,5.420262958847907e-7
adjustb/DeBruijn.Par.B/adjustb/17,5.717620236888819e-5,5.7113821678493367e-5,5.725840076738299e-5,2.3618285055612952e-7,1.7207269089881442e-7,3.1293873281148515e-7
adjustb/DeBruijn.Par.B/adjustb/18,6.766003445410026e-5,6.754512571364337e-5,6.780420300564818e-5,4.549096116265065e-7,3.7315237955161504e-7,5.860476365303518e-7
adjustb/DeBruijn.Par.B/adjustb/19,7.87118511099758e-5,7.852192631341244e-5,7.907650955595253e-5,8.378319813074101e-7,5.631976524648732e-7,1.3220708453199945e-6
adjustb/DeBruijn.Par.B/adjustb/20,9.046058099360082e-5,9.035484567294173e-5,9.06268077004888e-5,4.5768563661192986e-7,3.12234922048959e-7,6.593761777242326e-7
