Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.B/capt/1,1.1168972582810564e-7,1.1150745013458182e-7,1.1200894188793795e-7,8.12143968250512e-10,5.969732768533184e-10,1.2718400130632552e-9
capt/DeBruijn.Par.B/capt/2,1.5305452608832025e-7,1.5252293918654705e-7,1.544020054489071e-7,2.5823949021468725e-9,1.5991289854946424e-9,4.565320300366357e-9
capt/DeBruijn.Par.B/capt/3,2.013406802714679e-7,2.0042924634805788e-7,2.0434186736336156e-7,5.077859962607675e-9,1.87410858818158e-9,1.0044256806776176e-8
capt/DeBruijn.Par.B/capt/4,2.6991956105443597e-7,2.6941964850014827e-7,2.7061066513203326e-7,1.89519286601067e-9,1.2703025655702126e-9,2.9875501426650133e-9
capt/DeBruijn.Par.B/capt/5,3.4490997328663287e-7,3.4439633102485684e-7,3.455884997356393e-7,2.0649809725230787e-9,1.657828439722623e-9,2.79882289726089e-9
capt/DeBruijn.Par.B/capt/6,4.3081449106853816e-7,4.3010846790105446e-7,4.3163263870395155e-7,2.579879691998242e-9,2.1275625831225547e-9,3.2416229525445824e-9
capt/DeBruijn.Par.B/capt/7,5.137262783523217e-7,5.127820958890216e-7,5.149528498161174e-7,3.558261042246784e-9,2.606764042284109e-9,5.21326777025013e-9
capt/DeBruijn.Par.B/capt/8,6.104113515753862e-7,6.071645010007014e-7,6.184138559287798e-7,1.640877972227818e-8,7.750087882850974e-9,3.032434363991299e-8
capt/DeBruijn.Par.B/capt/9,7.305285152773269e-7,7.294374370068648e-7,7.319983555783552e-7,4.442049316656286e-9,3.2336575310825682e-9,6.288654133086793e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.B/capt/1,1.1227231961365732e-7,1.122036732050105e-7,1.1237421003299567e-7,2.696677221766012e-10,1.8841111368763066e-10,3.9918682103203855e-10
capt/DeBruijn.Par.B/capt/2,1.5472089860655193e-7,1.5462454629046768e-7,1.5483252019638472e-7,3.4939203788522194e-10,2.641438393665159e-10,4.795612467498952e-10
capt/DeBruijn.Par.B/capt/3,2.0392931128579378e-7,2.0378891794890773e-7,2.040936491241335e-7,4.829554722247097e-10,3.665781870426134e-10,6.422061910275685e-10
capt/DeBruijn.Par.B/capt/4,2.741215874830399e-7,2.7378356057619967e-7,2.749254856285512e-7,1.707786529061068e-9,7.331599928924789e-10,3.056389101667854e-9
capt/DeBruijn.Par.B/capt/5,3.486716501803663e-7,3.4819874757635607e-7,3.4957400098892137e-7,2.2753796665212146e-9,1.294405670456611e-9,3.8573516245809654e-9
capt/DeBruijn.Par.B/capt/6,4.3405588327149254e-7,4.335685708287344e-7,4.3470256966784836e-7,1.8423695223779826e-9,1.5489512249691574e-9,2.4150416587846127e-9
capt/DeBruijn.Par.B/capt/7,5.196723895259743e-7,5.193226327671943e-7,5.201236070394511e-7,1.3214285749214782e-9,1.0570268812143464e-9,1.7362030758657607e-9
capt/DeBruijn.Par.B/capt/8,6.1866189428396e-7,6.182643620729333e-7,6.193144046483962e-7,1.7218561544922706e-9,1.0705754732667485e-9,2.9396592810603408e-9
capt/DeBruijn.Par.B/capt/9,7.484045227887309e-7,7.474816365238666e-7,7.50078196343011e-7,4.111029195703105e-9,2.6257152726888483e-9,6.491884013111254e-9
