Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.B/ids/1,3.139069695025763e-8,3.1340685106475725e-8,3.145453015059614e-8,1.88221583882134e-10,1.4449688534747285e-10,2.479836606650998e-10
ids/DeBruijn.Par.B/ids/2,4.205076793259653e-8,4.196979336027261e-8,4.223042998078711e-8,3.7469143302071867e-10,2.2758612354203073e-10,7.301043715645769e-10
ids/DeBruijn.Par.B/ids/3,5.2768630547366497e-8,5.2672958528575655e-8,5.2936407376699254e-8,4.2049472861288205e-10,2.723007435349888e-10,7.178652710838305e-10
ids/DeBruijn.Par.B/ids/4,7.248697753962909e-8,7.214307367502585e-8,7.331029543301735e-8,1.7138398819189757e-9,8.772946310661679e-10,3.127302517492287e-9
ids/DeBruijn.Par.B/ids/5,8.017981284285832e-8,8.000102400106506e-8,8.045861751872993e-8,7.104153486951392e-10,4.860286666315081e-10,1.0905139088687793e-9
ids/DeBruijn.Par.B/ids/6,8.978802146126319e-8,8.97009230245911e-8,8.988418294581166e-8,3.22979474692845e-10,2.5152764100911857e-10,4.672344938466722e-10
ids/DeBruijn.Par.B/ids/7,1.0063318836584882e-7,1.0055973525256818e-7,1.0072443297821228e-7,2.759531965884865e-10,2.05479390868507e-10,3.8544375049711163e-10
ids/DeBruijn.Par.B/ids/8,1.1185950471886247e-7,1.116243417220211e-7,1.1210867209198359e-7,8.28367541139735e-10,6.957692597760397e-10,1.0191446036106128e-9
ids/DeBruijn.Par.B/ids/9,1.2211643090285385e-7,1.2168773729410675e-7,1.2293419366162635e-7,1.8811636791718135e-9,9.951861885685635e-10,3.0344732355213043e-9
ids/DeBruijn.Par.B/ids/10,1.317272688351462e-7,1.3148660618101466e-7,1.3213086436597384e-7,9.91797419539372e-10,6.900170354689302e-10,1.3770544528955547e-9
