Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.FB/adjust/1,4.583128510186361e-8,4.5811573498894915e-8,4.585519495217097e-8,7.083719699073987e-11,5.419108346468661e-11,1.0378459108450824e-10
adjust/DeBruijn.Par.FB/adjust/2,1.2861802394176016e-7,1.2851713633541118e-7,1.2877437612016147e-7,4.040578941659362e-10,2.811803987668176e-10,5.751043096985191e-10
adjust/DeBruijn.Par.FB/adjust/3,2.975968042421687e-7,2.974005589935785e-7,2.9789262053591484e-7,8.001802777242067e-10,5.833580770974989e-10,1.0787208847022672e-9
adjust/DeBruijn.Par.FB/adjust/4,5.935198894555036e-7,5.931856226877278e-7,5.939685345300016e-7,1.3520763787358244e-9,1.0220035601793254e-9,1.8073119716767728e-9
adjust/DeBruijn.Par.FB/adjust/5,9.807240196892578e-7,9.795619688259999e-7,9.825153502114805e-7,4.749115694796044e-9,3.2893592559891455e-9,7.3361956113545095e-9
adjust/DeBruijn.Par.FB/adjust/6,1.6271622586605774e-6,1.6254191191754653e-6,1.6296105279101875e-6,6.771394188239465e-9,4.925211014054626e-9,9.650679762291169e-9
adjust/DeBruijn.Par.FB/adjust/7,2.3614096824853593e-6,2.359807511786322e-6,2.3642283048636627e-6,6.962759313514933e-9,4.501916207258197e-9,1.1057753804727117e-8
adjust/DeBruijn.Par.FB/adjust/8,3.3930056387563097e-6,3.391286134642394e-6,3.395492200965266e-6,6.377116043201971e-9,4.731639836696064e-9,8.648117219489044e-9
adjust/DeBruijn.Par.FB/adjust/9,4.697644881128165e-6,4.692644089159059e-6,4.704796063682768e-6,2.008087290394607e-8,1.4608210879220652e-8,2.531137736187498e-8
adjust/DeBruijn.Par.FB/adjust/10,6.242228767200594e-6,6.239079711082186e-6,6.246387961395997e-6,1.2290825157037057e-8,9.11356071659762e-9,1.7363730458654533e-8
adjust/DeBruijn.Par.FB/adjust/11,8.156429417953317e-6,8.151332899857046e-6,8.165681387404235e-6,2.1978768147613696e-8,1.565772441158496e-8,3.4605646421335806e-8
adjust/DeBruijn.Par.FB/adjust/12,1.0420121808874909e-5,1.041308628406584e-5,1.0429348160945672e-5,2.7953638813417376e-8,2.172216657111532e-8,3.835012325554955e-8
adjust/DeBruijn.Par.FB/adjust/13,1.3081797628707296e-5,1.3073718919838423e-5,1.3094606889433068e-5,3.5943159199090794e-8,2.3435468640332868e-8,5.758853530002154e-8
adjust/DeBruijn.Par.FB/adjust/14,1.6354672666742514e-5,1.6344535051575787e-5,1.636785256898335e-5,3.9598701238288404e-8,3.2419978615304256e-8,4.979389502523809e-8
adjust/DeBruijn.Par.FB/adjust/15,1.9967845276779473e-5,1.9958162994431372e-5,1.9980739570857364e-5,3.68454608854948e-8,2.9363910044534817e-8,4.839592589059313e-8
