Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.FB/adjust/1,4.648292913800595e-8,4.63703889807948e-8,4.6793595717985944e-8,5.658033488257895e-10,2.2025347753874284e-10,1.0946168795653417e-9
adjust/DeBruijn.Par.FB/adjust/2,1.3061834144943907e-7,1.3050779446477975e-7,1.3080656333118447e-7,5.000136039566765e-10,3.1695499918717745e-10,7.694159172165684e-10
adjust/DeBruijn.Par.FB/adjust/3,3.014908143868522e-7,3.0111380021286107e-7,3.02228419610427e-7,1.6792486142151422e-9,1.1057094593017046e-9,2.595447438015098e-9
adjust/DeBruijn.Par.FB/adjust/4,5.991071591316418e-7,5.977432206409229e-7,6.034243462081353e-7,7.240338340316582e-9,3.608651031262685e-9,1.4155338146490309e-8
adjust/DeBruijn.Par.FB/adjust/5,9.870561284912655e-7,9.85788317439503e-7,9.8986715392036e-7,5.945839486471291e-9,3.335624067516389e-9,1.028245822766323e-8
adjust/DeBruijn.Par.FB/adjust/6,1.6370909006433492e-6,1.634852526983121e-6,1.6397952063707325e-6,8.47193948709564e-9,6.857754498717292e-9,1.0623951883808716e-8
adjust/DeBruijn.Par.FB/adjust/7,2.391703161447501e-6,2.3891115277637625e-6,2.3969583109498766e-6,1.1566314666116004e-8,5.984104408438474e-9,2.222033677372379e-8
adjust/DeBruijn.Par.FB/adjust/8,3.4283842344193913e-6,3.425940215355894e-6,3.4312353130604214e-6,8.72887769515891e-9,6.820853579926709e-9,1.1256596458591573e-8
adjust/DeBruijn.Par.FB/adjust/9,4.747232072152536e-6,4.743225885299846e-6,4.752278175221535e-6,1.529272675463374e-8,1.1751340441898915e-8,2.030418380030966e-8
adjust/DeBruijn.Par.FB/adjust/10,6.322335350122139e-6,6.318530476424388e-6,6.326550692522281e-6,1.3184434120956944e-8,1.0241782381502701e-8,1.6834212442724916e-8
adjust/DeBruijn.Par.FB/adjust/11,8.228807549097272e-6,8.221175657071389e-6,8.23925257119819e-6,2.9262603583348402e-8,2.1233478823141972e-8,4.9160803796824116e-8
adjust/DeBruijn.Par.FB/adjust/12,1.0530897579684063e-5,1.0522077368657947e-5,1.0541314694418344e-5,3.3176771247169306e-8,2.9334452642847058e-8,3.8910437109092026e-8
adjust/DeBruijn.Par.FB/adjust/13,1.3223706430415155e-5,1.32162188771731e-5,1.3233577484021159e-5,2.888459598554399e-8,1.9867088812782647e-8,4.592588263513712e-8
adjust/DeBruijn.Par.FB/adjust/14,1.652828354912907e-5,1.6514047512666908e-5,1.6546374058599545e-5,5.240311045222911e-8,3.9588010050633664e-8,6.731529648612205e-8
adjust/DeBruijn.Par.FB/adjust/15,2.0231548627490466e-5,2.020856151395249e-5,2.028668804078787e-5,1.1378795116808481e-7,6.486220541440778e-8,2.005499635602748e-7
adjust/DeBruijn.Par.FB/adjust/16,2.4292969670976158e-5,2.425974002607191e-5,2.443546127359348e-5,1.8857135961307155e-7,5.851709105054172e-8,4.127517226455868e-7
adjust/DeBruijn.Par.FB/adjust/17,2.8788208094631566e-5,2.8768170838714113e-5,2.8828150414335368e-5,9.308213032643666e-8,5.496101597685243e-8,1.61120205149457e-7
adjust/DeBruijn.Par.FB/adjust/18,3.397917415352445e-5,3.394390410142009e-5,3.403024153373841e-5,1.423059536224482e-7,1.1297764706636679e-7,2.0022751263272407e-7
adjust/DeBruijn.Par.FB/adjust/19,3.980919831423346e-5,3.978452213449803e-5,3.9844528545547986e-5,9.90506282798185e-8,7.701377013536803e-8,1.335414802915242e-7
adjust/DeBruijn.Par.FB/adjust/20,4.626968759668132e-5,4.6241522518187226e-5,4.631307075223458e-5,1.203919247552115e-7,8.373817683026493e-8,1.8149850589525094e-7
