Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.FB/capt/1,1.0814999307140047e-7,1.0754249771393461e-7,1.0921053288379929e-7,2.6029317123364823e-9,1.9132143948063435e-9,3.7134667611099867e-9
capt/DeBruijn.Par.FB/capt/2,1.4733777906183016e-7,1.4662121955148528e-7,1.4833507354059738e-7,2.8171900906728796e-9,2.062789708687431e-9,4.430972417310124e-9
capt/DeBruijn.Par.FB/capt/3,1.9798984608207017e-7,1.966687639684048e-7,2.0021681310987988e-7,5.915019048201024e-9,4.116506738115993e-9,1.0448149868074543e-8
capt/DeBruijn.Par.FB/capt/4,2.2914144769454069e-7,2.2846590978924179e-7,2.3029560055540524e-7,3.0017440900132674e-9,1.8449440189439265e-9,4.797260887175408e-9
capt/DeBruijn.Par.FB/capt/5,2.743147147745893e-7,2.7231809891958405e-7,2.766956835951591e-7,7.47632002287082e-9,6.171136240479081e-9,1.1012979418224487e-8
capt/DeBruijn.Par.FB/capt/6,3.2393220202643067e-7,3.217362162888405e-7,3.261874252720658e-7,7.52449783439577e-9,6.368130335164507e-9,1.0254058047543642e-8
capt/DeBruijn.Par.FB/capt/7,3.4356063359912494e-7,3.42238038560571e-7,3.453084951912804e-7,5.232148296020117e-9,3.669278424229753e-9,7.342418023328223e-9
capt/DeBruijn.Par.FB/capt/8,3.7973628977071366e-7,3.7838553240754824e-7,3.810540894253126e-7,4.585991029566559e-9,3.726614538660455e-9,5.8183652229306205e-9
capt/DeBruijn.Par.FB/capt/9,4.297934023738467e-7,4.2782168822179035e-7,4.3279596615372244e-7,8.32845727608179e-9,5.5026738190691865e-9,1.3963051531287637e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.FB/capt/1,1.0303471897245178e-7,1.028986885409462e-7,1.0334089549991882e-7,7.068326697209285e-10,3.976482332027865e-10,1.3648906073359758e-9
capt/DeBruijn.Par.FB/capt/2,1.4019034814864944e-7,1.4013540526012058e-7,1.4027499416431522e-7,2.2497351359873223e-10,1.6108758525417102e-10,3.15699171818515e-10
capt/DeBruijn.Par.FB/capt/3,1.8202197892055005e-7,1.8192266412545345e-7,1.8221148487521323e-7,4.4735746275696713e-10,2.743387177249007e-10,7.375974861543883e-10
capt/DeBruijn.Par.FB/capt/4,2.2993060935327347e-7,2.2961380288536752e-7,2.304542883229302e-7,1.28105017627069e-9,7.763954454822571e-10,1.939346022157842e-9
capt/DeBruijn.Par.FB/capt/5,2.5891132372546483e-7,2.5867625966174123e-7,2.5924584442016625e-7,9.38405749465572e-10,6.1864959998013e-10,1.3701065527739114e-9
capt/DeBruijn.Par.FB/capt/6,3.0160024041653705e-7,3.0136322688807746e-7,3.017906519076271e-7,7.4645770509145e-10,5.896197139644611e-10,9.330530260504385e-10
capt/DeBruijn.Par.FB/capt/7,3.380264593017359e-7,3.3677283338448337e-7,3.403666874131093e-7,5.722798414896829e-9,3.1402384706704546e-9,1.0050585949311737e-8
capt/DeBruijn.Par.FB/capt/8,3.6960664192665174e-7,3.6876045757960447e-7,3.710238028015645e-7,3.801183817349019e-9,2.5338623283666397e-9,5.3029369002852004e-9
capt/DeBruijn.Par.FB/capt/9,4.1516783343906255e-7,4.147582584086997e-7,4.1594657542830087e-7,1.8137985632475629e-9,1.1631882794520789e-9,2.636608452235217e-9
