Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.FB/ids/1,3.351644544096554e-8,3.3473688638084265e-8,3.3579259623352655e-8,1.8209706463967845e-10,1.2902711714796617e-10,2.8468772686180155e-10
ids/DeBruijn.Par.FB/ids/2,4.986778718614255e-8,4.974662768433291e-8,5.017175369056966e-8,5.948826578218042e-10,2.988352916438058e-10,1.2064112150183774e-9
ids/DeBruijn.Par.FB/ids/3,6.538202618003455e-8,6.527577941414894e-8,6.555210888465751e-8,4.422720776676232e-10,2.8716084345709243e-10,7.124244824727012e-10
ids/DeBruijn.Par.FB/ids/4,9.069987535995948e-8,9.057017175997777e-8,9.087799484043584e-8,5.227115439070613e-10,4.1054332765115314e-10,6.755935778270935e-10
ids/DeBruijn.Par.FB/ids/5,1.0129385101829114e-7,1.0109152690367414e-7,1.0153020957377872e-7,7.25723134811886e-10,5.726429727658574e-10,1.1003520348501696e-9
ids/DeBruijn.Par.FB/ids/6,1.1635285618198519e-7,1.1609793664981537e-7,1.1667712017370415e-7,1.0033739717950546e-9,8.93155243351247e-10,1.1729246252413888e-9
ids/DeBruijn.Par.FB/ids/7,1.303168454728148e-7,1.301380467115593e-7,1.3065319205067857e-7,7.99528086777821e-10,4.994153216751217e-10,1.2627094159626154e-9
ids/DeBruijn.Par.FB/ids/8,1.464244816304886e-7,1.4613568477702445e-7,1.4676378259731062e-7,1.0688663327269068e-9,8.616970934201145e-10,1.4498964065391936e-9
ids/DeBruijn.Par.FB/ids/9,1.628788670765789e-7,1.6256943580230984e-7,1.63348576873889e-7,1.2199967600373738e-9,8.246481035756428e-10,1.974310041737416e-9
ids/DeBruijn.Par.FB/ids/10,1.7748205508191935e-7,1.7713086138290042e-7,1.7805117732658556e-7,1.4446663834254307e-9,1.0412726227378443e-9,1.917371536447379e-9
