Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.Fun/adjust/1,2.236748392925888e-8,2.2315185545133022e-8,2.2439933059154137e-8,2.1467536824231387e-10,1.5776088779953162e-10,2.9986271499210186e-10
adjust/DeBruijn.Par.Fun/adjust/2,9.185430281877538e-8,9.168338926925431e-8,9.204483617301855e-8,6.04773972775024e-10,5.031551396069042e-10,8.819112629074336e-10
adjust/DeBruijn.Par.Fun/adjust/3,2.1830906950892253e-7,2.178858200393977e-7,2.1903789092804382e-7,1.7999300549472601e-9,1.3721512737736818e-9,2.5248309309920047e-9
adjust/DeBruijn.Par.Fun/adjust/4,4.636189743156663e-7,4.6166519306365374e-7,4.670210897380251e-7,9.05866924945832e-9,6.209966169921649e-9,1.5273676831058906e-8
adjust/DeBruijn.Par.Fun/adjust/5,8.0522711774796e-7,8.038314975281652e-7,8.074931203168713e-7,5.935143558330146e-9,4.281868674467488e-9,8.433974728447201e-9
adjust/DeBruijn.Par.Fun/adjust/6,1.3484937885453503e-6,1.3455231436774998e-6,1.362353951562848e-6,1.733293477300066e-8,4.941218962630069e-9,3.838207393713653e-8
adjust/DeBruijn.Par.Fun/adjust/7,2.0621210888024786e-6,2.057210162001449e-6,2.0701188793067312e-6,2.0751394359120656e-8,1.3454788433426637e-8,3.401854575604634e-8
adjust/DeBruijn.Par.Fun/adjust/8,3.021647195937323e-6,3.017143294722908e-6,3.0275803825914164e-6,1.8356903503858616e-8,1.492377054857629e-8,2.3286693843368273e-8
adjust/DeBruijn.Par.Fun/adjust/9,4.255291724370259e-6,4.250207222345983e-6,4.261934802033668e-6,2.0214106871461125e-8,1.595962431692834e-8,2.9128241054725586e-8
adjust/DeBruijn.Par.Fun/adjust/10,5.738212339570877e-6,5.721873103456642e-6,5.7644341304058975e-6,6.781958870652259e-8,5.0033029048791984e-8,9.193874522323581e-8
adjust/DeBruijn.Par.Fun/adjust/11,7.5012144031426074e-6,7.4916605677386e-6,7.51327636381712e-6,3.7428125353586346e-8,3.255965241060788e-8,4.541126032576307e-8
adjust/DeBruijn.Par.Fun/adjust/12,9.670976635782487e-6,9.65669620690719e-6,9.684295021377168e-6,4.5874226568978153e-8,3.676446349581649e-8,5.5582488915774354e-8
adjust/DeBruijn.Par.Fun/adjust/13,1.2251643283907118e-5,1.2236675927032295e-5,1.227746670996176e-5,6.67249475567057e-8,3.8562753739811225e-8,1.144945957838124e-7
adjust/DeBruijn.Par.Fun/adjust/14,1.5393655250798438e-5,1.5361640163405383e-5,1.5434363153472326e-5,1.1642331911392712e-7,9.269374368497196e-8,1.4467884292285473e-7
adjust/DeBruijn.Par.Fun/adjust/15,1.8805760044164995e-5,1.8778205955782914e-5,1.8857186971082835e-5,1.2911552172585502e-7,8.075855079140316e-8,1.999231946752007e-7
adjust/DeBruijn.Par.Fun/adjust/16,2.262102871507804e-5,2.2585362693075793e-5,2.2677582214248543e-5,1.5024123295959703e-7,1.0592358358585894e-7,2.0525046857262055e-7
adjust/DeBruijn.Par.Fun/adjust/17,2.7137185458885633e-5,2.7092316093037918e-5,2.7205194866402207e-5,1.8081726539029368e-7,1.456878326703033e-7,2.2605346709353382e-7
adjust/DeBruijn.Par.Fun/adjust/18,3.186009719481899e-5,3.1826198470181204e-5,3.191868271696204e-5,1.52838124680226e-7,9.909825908431668e-8,2.6163267138818503e-7
adjust/DeBruijn.Par.Fun/adjust/19,3.7838060677955125e-5,3.777421021929506e-5,3.792000888092948e-5,2.456038174975045e-7,1.9106711482504028e-7,3.31252299477708e-7
adjust/DeBruijn.Par.Fun/adjust/20,4.390270893861826e-5,4.3830933208164036e-5,4.401562969261859e-5,3.020331255292715e-7,2.450833486026651e-7,3.872398191661681e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.Fun/adjust/1,2.3265924824961377e-8,2.3234249476222948e-8,2.332017173802459e-8,1.2932133711141121e-10,7.53383760143689e-11,1.8834389143416446e-10
adjust/DeBruijn.Par.Fun/adjust/2,8.13158425886073e-8,8.122719740812333e-8,8.141302149649461e-8,3.1683290150550126e-10,2.7114040560766606e-10,4.2882500248165254e-10
adjust/DeBruijn.Par.Fun/adjust/3,2.1958897397688757e-7,2.193329424838013e-7,2.1988066410078507e-7,9.548707353156258e-10,7.554614554605766e-10,1.1667603568598338e-9
adjust/DeBruijn.Par.Fun/adjust/4,4.673273278090327e-7,4.6687511357381894e-7,4.682083602952238e-7,2.14806456916462e-9,1.4061937399786203e-9,3.904654828531777e-9
adjust/DeBruijn.Par.Fun/adjust/5,8.271904520012921e-7,8.258038304181709e-7,8.292600746383607e-7,5.298746827727429e-9,3.2631857843604673e-9,8.270451382604606e-9
adjust/DeBruijn.Par.Fun/adjust/6,1.3729974803174294e-6,1.3707033544427716e-6,1.3780332983611057e-6,1.1383218908790019e-8,6.063961858769244e-9,2.0493587631315125e-8
adjust/DeBruijn.Par.Fun/adjust/7,2.0954280561035515e-6,2.088913838122178e-6,2.104966484333175e-6,2.7197229388499436e-8,1.9124641542560137e-8,3.860386869180226e-8
adjust/DeBruijn.Par.Fun/adjust/8,3.059096321822995e-6,3.0563589448967765e-6,3.0657365690762454e-6,1.3848727448335136e-8,5.5926017299287756e-9,2.3627782298503614e-8
adjust/DeBruijn.Par.Fun/adjust/9,4.340759650752176e-6,4.329737562181723e-6,4.361886183400667e-6,4.989510657336753e-8,3.140880910813533e-8,8.867503848453643e-8
adjust/DeBruijn.Par.Fun/adjust/10,5.8387052634470596e-6,5.8320953824396304e-6,5.8487336402506985e-6,2.6559484551963797e-8,2.0903024795506348e-8,3.6640732756874334e-8
adjust/DeBruijn.Par.Fun/adjust/11,7.73049771895797e-6,7.71642625937905e-6,7.746323364129317e-6,5.040358340080142e-8,4.0991072725185394e-8,6.017135342340636e-8
adjust/DeBruijn.Par.Fun/adjust/12,9.86745850730253e-6,9.84510984083652e-6,9.914714433417113e-6,1.0254152449085407e-7,5.100466524375882e-8,1.776079991391091e-7
adjust/DeBruijn.Par.Fun/adjust/13,1.2434073147500482e-5,1.2426271696920722e-5,1.244874427847984e-5,3.3740900406186774e-8,1.9255713696590444e-8,5.981331490164776e-8
adjust/DeBruijn.Par.Fun/adjust/14,1.563404046108412e-5,1.5628702051509954e-5,1.564361981115062e-5,2.4230634991894275e-8,1.7642550115159602e-8,3.851866192393359e-8
adjust/DeBruijn.Par.Fun/adjust/15,1.918506268334559e-5,1.9169006674639468e-5,1.923359010873592e-5,8.200282760374291e-8,3.603684421269981e-8,1.6177035242587835e-7
adjust/DeBruijn.Par.Fun/adjust/16,2.3271752474838605e-5,2.3248033058953082e-5,2.3303432087815536e-5,9.101406638078983e-8,6.897248965508446e-8,1.3352480459795243e-7
adjust/DeBruijn.Par.Fun/adjust/17,2.784052891304325e-5,2.778993338586754e-5,2.7995931552400528e-5,2.69589561700395e-7,1.1198661768889194e-7,5.21149368409104e-7
adjust/DeBruijn.Par.Fun/adjust/18,3.253200837071363e-5,3.247736979270698e-5,3.269812040115016e-5,2.8715844907721274e-7,1.270370519868597e-7,5.539668875683871e-7
adjust/DeBruijn.Par.Fun/adjust/19,3.8173948516552874e-5,3.81523169633458e-5,3.820420718793299e-5,8.766414381065635e-8,7.493076582276909e-8,1.0504367061594843e-7
adjust/DeBruijn.Par.Fun/adjust/20,4.448832245497352e-5,4.445205091985599e-5,4.458761352367435e-5,1.7934994941721378e-7,9.62922461450828e-8,3.4361861779696887e-7
