Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.Fun/capt/1,4.958189371984679e-8,4.950206792967479e-8,4.9703294333720466e-8,3.3464414779662915e-10,2.349792218996243e-10,4.5631982913291594e-10
capt/DeBruijn.Par.Fun/capt/2,7.489935573599814e-8,7.477429845878028e-8,7.507334356412734e-8,5.245506885958934e-10,3.9327941041080123e-10,6.993656768135468e-10
capt/DeBruijn.Par.Fun/capt/3,1.066889336711853e-7,1.0639325734550699e-7,1.0731904663990678e-7,1.336620441669645e-9,7.943178885950433e-10,2.235210178393588e-9
capt/DeBruijn.Par.Fun/capt/4,1.343157669378396e-7,1.336890085268428e-7,1.3537259282655328e-7,2.6532448759213594e-9,2.138281571480765e-9,3.6544773809113527e-9
capt/DeBruijn.Par.Fun/capt/5,1.5554964635427754e-7,1.553089944393224e-7,1.5591205303849583e-7,1.0512320607305431e-9,7.329060409942046e-10,1.6765396936906548e-9
capt/DeBruijn.Par.Fun/capt/6,1.7920350015330908e-7,1.787106345235732e-7,1.7991728956825754e-7,2.014988805948727e-9,1.5187238653579838e-9,2.723344336731361e-9
capt/DeBruijn.Par.Fun/capt/7,2.0343498904702182e-7,2.0293977624780494e-7,2.0399810716083752e-7,1.7959475533874043e-9,1.348528583872236e-9,2.6988181192468275e-9
capt/DeBruijn.Par.Fun/capt/8,2.3007466667921535e-7,2.289513656514846e-7,2.3396283630406323e-7,6.406112511566933e-9,1.9329317353422268e-9,1.2968081940296774e-8
capt/DeBruijn.Par.Fun/capt/9,2.682539808479612e-7,2.6769456764623106e-7,2.6889338739069154e-7,2.064074518844746e-9,1.657848014644968e-9,2.6316708306914196e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.Fun/capt/1,5.063428694590335e-8,5.05839266999632e-8,5.072136238051377e-8,2.209355979728928e-10,1.2340387384767485e-10,3.9988619207481303e-10
capt/DeBruijn.Par.Fun/capt/2,7.565869000832028e-8,7.556297444221156e-8,7.584401119324722e-8,4.308847480997712e-10,1.5874455079962802e-10,6.959373397986601e-10
capt/DeBruijn.Par.Fun/capt/3,1.0764198508445193e-7,1.0760803252911431e-7,1.0768850505852171e-7,1.3423870002879449e-10,1.0264120600097295e-10,1.8288012377116686e-10
capt/DeBruijn.Par.Fun/capt/4,1.3289126869571516e-7,1.3259160306370663e-7,1.3328051926762916e-7,1.1692774395476423e-9,9.999290772916495e-10,1.4018212773580351e-9
capt/DeBruijn.Par.Fun/capt/5,1.569472378522105e-7,1.568016898760604e-7,1.572586694499961e-7,6.577450682858402e-10,2.794105601475878e-10,1.146307207986149e-9
capt/DeBruijn.Par.Fun/capt/6,1.8166908433488255e-7,1.8150373329936468e-7,1.818895955825707e-7,6.164575432065311e-10,4.854625397100521e-10,8.00035482305317e-10
capt/DeBruijn.Par.Fun/capt/7,2.0705526418630148e-7,2.0677374689364139e-7,2.0767939983325856e-7,1.4035792613580447e-9,7.86497014863798e-10,2.5773621849755374e-9
capt/DeBruijn.Par.Fun/capt/8,2.3207348348373193e-7,2.3162926132081104e-7,2.3315733410242227e-7,2.2060679480910725e-9,1.1900478806377311e-9,3.982975380935404e-9
capt/DeBruijn.Par.Fun/capt/9,2.7103919095784947e-7,2.7002326230489153e-7,2.726436931710476e-7,4.351114660587812e-9,2.8580368903273834e-9,5.900716788467875e-9
