Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.Fun/con/1,2.263397155754875e-8,2.2579937831107504e-8,2.2684598767680103e-8,1.779881351003942e-10,1.433118978298623e-10,2.2726545875117642e-10
con/DeBruijn.Par.Fun/con/2,4.311698710547796e-8,4.263296471816837e-8,4.3569750309429644e-8,1.5638684608620168e-9,1.279691234938485e-9,1.8760746921381938e-9
con/DeBruijn.Par.Fun/con/3,7.027743996204658e-8,6.99381826225313e-8,7.079637898250304e-8,1.3987638803828378e-9,8.818663473686816e-10,2.028147846563783e-9
con/DeBruijn.Par.Fun/con/4,8.656453752526571e-8,8.648787513603494e-8,8.666326984125193e-8,2.9573843156325647e-10,2.4071116810388793e-10,3.698551258985658e-10
con/DeBruijn.Par.Fun/con/5,1.0036133895536684e-7,1.001845745598257e-7,1.0053966170446813e-7,6.101916794032816e-10,5.179156100298088e-10,7.373457980613752e-10
con/DeBruijn.Par.Fun/con/6,1.1814335597418195e-7,1.1797028422895677e-7,1.18450463233826e-7,7.432525736557715e-10,4.935086712847987e-10,1.1555733272905436e-9
con/DeBruijn.Par.Fun/con/7,1.3541952968408082e-7,1.3519062892063139e-7,1.357499818863908e-7,9.500802156455633e-10,7.363017654358602e-10,1.229366644442455e-9
con/DeBruijn.Par.Fun/con/8,1.5407469831557205e-7,1.5367798000008048e-7,1.551344880044807e-7,1.988354045004753e-9,1.0042824894019268e-9,3.7242311562143395e-9
con/DeBruijn.Par.Fun/con/9,1.694254316051951e-7,1.6916879469248722e-7,1.698445669858645e-7,1.086133009986207e-9,7.99225697916749e-10,1.451790483854197e-9
con/DeBruijn.Par.Fun/con/10,2.012736972436087e-7,2.009643711406591e-7,2.0167376878153341e-7,1.1550050600459962e-9,9.523518852743092e-10,1.5338782425107216e-9
con/DeBruijn.Par.Fun/con/11,2.131746355407107e-7,2.128198883625786e-7,2.137284764631031e-7,1.4813454636727075e-9,1.0336189020546042e-9,2.355996535594294e-9
con/DeBruijn.Par.Fun/con/12,2.3214506980230228e-7,2.3182987105801756e-7,2.3259431016859866e-7,1.200932870055387e-9,9.28397966443565e-10,1.7523155648342533e-9
con/DeBruijn.Par.Fun/con/13,2.494745738379336e-7,2.4907182020205095e-7,2.4998667852738584e-7,1.4870647030880169e-9,1.2262405928997026e-9,1.828959519149116e-9
con/DeBruijn.Par.Fun/con/14,2.700544059499467e-7,2.694478589131136e-7,2.708105309424486e-7,2.3754989045575133e-9,1.8191084054625825e-9,3.1260580602170533e-9
