Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.GB/adjustb/1,1.2813566546607809e-7,1.279591724567238e-7,1.2835638678639273e-7,6.76599351711942e-10,5.092095841984396e-10,8.995074169251195e-10
adjustb/DeBruijn.Par.GB/adjustb/2,3.16652720426141e-7,3.1601198700803854e-7,3.196484977243996e-7,3.4230367504155722e-9,1.3099326722376645e-9,7.762291147617494e-9
adjustb/DeBruijn.Par.GB/adjustb/3,6.828942307987597e-7,6.81489058496694e-7,6.850141745040163e-7,5.89413564859782e-9,4.009860450775718e-9,9.021582536101063e-9
adjustb/DeBruijn.Par.GB/adjustb/4,1.2043887633803064e-6,1.2013065883285605e-6,1.2089166811631913e-6,1.2547892014449353e-8,8.137259585319937e-9,1.963340765231293e-8
adjustb/DeBruijn.Par.GB/adjustb/5,1.8921134368539965e-6,1.8885869466238502e-6,1.898918729062252e-6,1.5741093598459444e-8,7.290115063382206e-9,2.5705091273148207e-8
adjustb/DeBruijn.Par.GB/adjustb/6,2.8614319260118337e-6,2.8585548267157757e-6,2.867069610898743e-6,1.3081450094453017e-8,8.124902434751406e-9,2.0954511089003573e-8
adjustb/DeBruijn.Par.GB/adjustb/7,4.145777781803313e-6,4.140335005911943e-6,4.15215421778443e-6,1.865120741612539e-8,1.366795582716849e-8,2.4809327271542437e-8
adjustb/DeBruijn.Par.GB/adjustb/8,5.6726820874942995e-6,5.665327428976577e-6,5.686402402851735e-6,3.285595853668706e-8,2.3366464607698088e-8,4.5388557223755576e-8
adjustb/DeBruijn.Par.GB/adjustb/9,7.60711484512417e-6,7.586535307690844e-6,7.68834108701834e-6,1.1429181715962646e-7,3.8810552319917335e-8,2.475459710003444e-7
adjustb/DeBruijn.Par.GB/adjustb/10,9.915871513382675e-6,9.899224410037163e-6,9.935104168604546e-6,5.9190895704374414e-8,4.623206088402451e-8,7.710298015166041e-8
adjustb/DeBruijn.Par.GB/adjustb/11,1.2542975048664599e-5,1.2528784831691406e-5,1.2572552674197427e-5,6.561189651253847e-8,3.2156089096010475e-8,1.0452027038399995e-7
adjustb/DeBruijn.Par.GB/adjustb/12,1.5658545679569047e-5,1.5639104171341628e-5,1.569573522583747e-5,8.777158198114164e-8,4.9689566413502305e-8,1.6470864616945101e-7
adjustb/DeBruijn.Par.GB/adjustb/13,1.9164117332186273e-5,1.914155548299888e-5,1.918594041747347e-5,7.640172222240524e-8,6.665492411611129e-8,8.986879001914676e-8
adjustb/DeBruijn.Par.GB/adjustb/14,2.352910407687827e-5,2.350661078549405e-5,2.356405769602756e-5,9.301106012578107e-8,6.369841971007393e-8,1.4067370181439392e-7
adjustb/DeBruijn.Par.GB/adjustb/15,2.8483490913244156e-5,2.836796998742486e-5,2.871350374015091e-5,5.288953095646946e-7,3.2297104382184723e-7,9.326905381928006e-7
adjustb/DeBruijn.Par.GB/adjustb/16,3.375424802482603e-5,3.364629450614382e-5,3.387813742994507e-5,3.7860424111636506e-7,3.0745307232615807e-7,4.64324279157964e-7
adjustb/DeBruijn.Par.GB/adjustb/17,3.984022155611089e-5,3.9627734578557865e-5,4.016443760476658e-5,8.653397981427036e-7,6.624037041400513e-7,1.141702190361576e-6
adjustb/DeBruijn.Par.GB/adjustb/18,4.708829279537331e-5,4.6641047879256586e-5,4.7647547851802105e-5,1.6708271988509193e-6,1.3719833538284057e-6,2.2110223362153092e-6
adjustb/DeBruijn.Par.GB/adjustb/19,5.2827739530867514e-5,5.273667022791558e-5,5.29678896327161e-5,3.392725107097381e-7,2.4840818075981074e-7,4.845434919664077e-7
adjustb/DeBruijn.Par.GB/adjustb/20,6.0507385317017146e-5,6.041959646290276e-5,6.0650524648159644e-5,3.682656876879593e-7,2.3562724982526446e-7,5.540148093293636e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.GB/adjustb/1,1.2940277169757504e-7,1.2914071148484805e-7,1.2988751612959887e-7,1.1556481875791664e-9,7.58006663886896e-10,1.9292876330153745e-9
adjustb/DeBruijn.Par.GB/adjustb/2,3.2129881278857537e-7,3.209115622610015e-7,3.219333140633617e-7,1.6917764980633924e-9,1.209286596725132e-9,2.6378143449133245e-9
adjustb/DeBruijn.Par.GB/adjustb/3,6.867119151089556e-7,6.861883164106393e-7,6.874896745622859e-7,2.1073471609634838e-9,1.5822006109259441e-9,3.3633654658785602e-9
adjustb/DeBruijn.Par.GB/adjustb/4,1.2066690391713739e-6,1.2036272580229813e-6,1.2115634199501937e-6,1.3366108027419732e-8,8.358538795359767e-9,2.315494682982654e-8
adjustb/DeBruijn.Par.GB/adjustb/5,1.880703889325521e-6,1.8781635950429544e-6,1.8842437805384454e-6,9.929399064327104e-9,6.6761374705287936e-9,1.510161606126279e-8
adjustb/DeBruijn.Par.GB/adjustb/6,2.8845226635657856e-6,2.8775260493939948e-6,2.8967347920219523e-6,3.177977833857701e-8,1.7968901070670227e-8,5.630735546084593e-8
adjustb/DeBruijn.Par.GB/adjustb/7,4.176461041072205e-6,4.1706542356426285e-6,4.185625161250492e-6,2.5100320864554038e-8,1.4139843143570107e-8,3.8439390624787387e-8
adjustb/DeBruijn.Par.GB/adjustb/8,5.712391981966016e-6,5.701844951915374e-6,5.728026762328313e-6,4.288480785304148e-8,2.960521454438143e-8,6.044753590768438e-8
adjustb/DeBruijn.Par.GB/adjustb/9,7.646798635652554e-6,7.639597086549358e-6,7.656308157282043e-6,2.650372915582981e-8,2.112235809283279e-8,3.232319796343063e-8
adjustb/DeBruijn.Par.GB/adjustb/10,9.998399736323938e-6,9.962015304738415e-6,1.0066226368355364e-5,1.644535972164206e-7,7.644409065376569e-8,2.540228038721159e-7
adjustb/DeBruijn.Par.GB/adjustb/11,1.2560605501541603e-5,1.254166956266201e-5,1.2600371585859626e-5,8.288715224203079e-8,5.537000294015833e-8,1.3644312327237122e-7
adjustb/DeBruijn.Par.GB/adjustb/12,1.5809504128998923e-5,1.578578078592124e-5,1.585794385756213e-5,1.1226145146612943e-7,7.439763738771855e-8,1.832348135051647e-7
adjustb/DeBruijn.Par.GB/adjustb/13,1.9320214816289368e-5,1.929122169693963e-5,1.9382648149144607e-5,1.3180398924856327e-7,8.81771260237627e-8,2.0241245502564393e-7
adjustb/DeBruijn.Par.GB/adjustb/14,2.370777088423575e-5,2.365047133080338e-5,2.3778155499280747e-5,2.1866586777771431e-7,1.6509393698531747e-7,2.952803071328305e-7
adjustb/DeBruijn.Par.GB/adjustb/15,2.8364336270835696e-5,2.8330767496921023e-5,2.8442841317666277e-5,1.7029279878741004e-7,7.570842687626494e-8,3.306528926645297e-7
adjustb/DeBruijn.Par.GB/adjustb/16,3.358624221047378e-5,3.3513331605090605e-5,3.36828605420547e-5,2.845339511334464e-7,1.851973095587987e-7,4.075297562491929e-7
adjustb/DeBruijn.Par.GB/adjustb/17,3.933019711932735e-5,3.926162325983727e-5,3.942142299920431e-5,2.690561910323015e-7,2.0125793155170165e-7,3.4382749838607005e-7
adjustb/DeBruijn.Par.GB/adjustb/18,4.5849085823874016e-5,4.5805224887552603e-5,4.591206720360827e-5,1.8353820278881246e-7,1.324203462423688e-7,2.574663527048162e-7
adjustb/DeBruijn.Par.GB/adjustb/19,5.30728954390897e-5,5.300778688924589e-5,5.3188314203640475e-5,2.8210788879333274e-7,1.581110723672635e-7,5.210266964801375e-7
adjustb/DeBruijn.Par.GB/adjustb/20,6.098028746071303e-5,6.085854606821497e-5,6.117615103369016e-5,5.461101878084129e-7,3.83257633599756e-7,8.290063556532742e-7
