Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.GB/ids/1,3.361989649163175e-8,3.3583368346140797e-8,3.366098442129274e-8,1.3113887313009885e-10,1.0961218641070527e-10,1.590525560101733e-10
ids/DeBruijn.Par.GB/ids/2,5.441714011120178e-8,5.3792738018969276e-8,5.492321326920766e-8,1.8972909563828094e-9,1.5789574175091625e-9,2.3267706219532548e-9
ids/DeBruijn.Par.GB/ids/3,6.675098475404176e-8,6.599606551474286e-8,6.848770196009343e-8,3.7178332716214246e-9,1.9981432994334236e-9,6.838897722459507e-9
ids/DeBruijn.Par.GB/ids/4,8.715688362723683e-8,8.689625690021063e-8,8.740679790338424e-8,8.666970326984674e-10,7.019035875087412e-10,1.120135293103599e-9
ids/DeBruijn.Par.GB/ids/5,9.981519974608538e-8,9.928386174036166e-8,1.002682911309543e-7,1.6130833753672244e-9,1.3151312089751786e-9,1.9701015464364837e-9
ids/DeBruijn.Par.GB/ids/6,1.1466656871781994e-7,1.1392146223843281e-7,1.1525937960075927e-7,2.1563266164982826e-9,1.6276091213544809e-9,2.8754504912011787e-9
ids/DeBruijn.Par.GB/ids/7,1.2567250745598034e-7,1.2500309534113624e-7,1.2701202649042036e-7,3.0441274979495714e-9,1.7540939947524749e-9,5.534081514021983e-9
ids/DeBruijn.Par.GB/ids/8,1.3638236939030325e-7,1.3587629009578996e-7,1.368157262606631e-7,1.5322704313107435e-9,1.317731750830748e-9,1.7878206363724566e-9
ids/DeBruijn.Par.GB/ids/9,1.5393753549217558e-7,1.5335561620999318e-7,1.5433544281556215e-7,1.5787979932503342e-9,1.1569660444429357e-9,2.4498287462226045e-9
ids/DeBruijn.Par.GB/ids/10,1.5827812048415926e-7,1.5798699190172054e-7,1.5871685991446494e-7,1.2013108853226697e-9,8.847904224766063e-10,1.7541015441370638e-9
