Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.L/adjust/1,2.450856159719849e-8,2.448913346529795e-8,2.4530227355517266e-8,7.030045099964383e-11,5.7198236657624545e-11,9.02120132333406e-11
adjust/DeBruijn.Par.L/adjust/2,9.41838164189851e-8,9.39836463834956e-8,9.443681789878585e-8,7.950727269832521e-10,6.206750205313077e-10,9.893745474576346e-10
adjust/DeBruijn.Par.L/adjust/3,2.2974641914347453e-7,2.2935479724780053e-7,2.3039023551920064e-7,1.653956563827315e-9,1.0543718672609155e-9,2.4976385351619027e-9
adjust/DeBruijn.Par.L/adjust/4,4.5048258800177185e-7,4.5025778231119653e-7,4.5083625904111314e-7,9.228279910420312e-10,6.380348373364137e-10,1.385827531681265e-9
adjust/DeBruijn.Par.L/adjust/5,7.159597282500076e-7,7.149580361584146e-7,7.170260692427896e-7,3.4871563074395845e-9,2.8665909991948605e-9,4.3481974361456e-9
adjust/DeBruijn.Par.L/adjust/6,1.089077134308426e-6,1.086722775239268e-6,1.091967844207107e-6,8.797514042511058e-9,7.428738965465968e-9,1.1688962471961283e-8
adjust/DeBruijn.Par.L/adjust/7,1.5268212233697974e-6,1.5258036140795062e-6,1.5281241340130114e-6,3.861532893129641e-9,2.762986898810228e-9,5.6507821333442515e-9
adjust/DeBruijn.Par.L/adjust/8,2.16356616617164e-6,2.158096574643759e-6,2.1701208247974497e-6,2.0395157989712992e-8,1.8187804325963634e-8,2.2777119165702906e-8
adjust/DeBruijn.Par.L/adjust/9,2.894585664321072e-6,2.890591693455705e-6,2.9009602982753272e-6,1.67989666756404e-8,1.012058167475936e-8,2.8256331857135563e-8
adjust/DeBruijn.Par.L/adjust/10,3.7361390399905304e-6,3.732273729909722e-6,3.741470593112563e-6,1.4473563003247975e-8,1.086283867366011e-8,2.2022311278501257e-8
adjust/DeBruijn.Par.L/adjust/11,4.834228622792487e-6,4.82763320296798e-6,4.840763061253345e-6,2.1299113553285383e-8,1.832624859767667e-8,2.5775094992043622e-8
adjust/DeBruijn.Par.L/adjust/12,6.070020025218801e-6,6.063815472577713e-6,6.078585524061026e-6,2.421636727957039e-8,1.828598530002696e-8,3.5511862731061825e-8
adjust/DeBruijn.Par.L/adjust/13,7.538009820151881e-6,7.531327324580497e-6,7.547200880109035e-6,2.6712431522600204e-8,1.9458871609128717e-8,3.793437106822848e-8
adjust/DeBruijn.Par.L/adjust/14,9.155606233880578e-6,9.142663440859602e-6,9.17868547721704e-6,5.8421339502572166e-8,3.987776979992208e-8,8.484852705077391e-8
adjust/DeBruijn.Par.L/adjust/15,1.102871959128057e-5,1.1010616167622726e-5,1.1057378918356242e-5,7.559530944727103e-8,5.2133129774848084e-8,1.187504669550285e-7
adjust/DeBruijn.Par.L/adjust/16,1.2968076622549463e-5,1.2958302979417353e-5,1.3002907155292355e-5,5.0000514738310216e-8,1.895642249921437e-8,1.0405270643060732e-7
adjust/DeBruijn.Par.L/adjust/17,1.555690780786619e-5,1.5540241812748126e-5,1.55714365705172e-5,5.16108446352975e-8,3.787747589093983e-8,7.320498926501464e-8
adjust/DeBruijn.Par.L/adjust/18,1.8091072528584345e-5,1.8071992182525985e-5,1.8121183037090162e-5,8.054983726227049e-8,4.6529351805697424e-8,1.0776554240551864e-7
adjust/DeBruijn.Par.L/adjust/19,2.0957244175997865e-5,2.0949902093267146e-5,2.096621649572934e-5,2.71880416287764e-8,2.0982193879287357e-8,3.562420609698964e-8
adjust/DeBruijn.Par.L/adjust/20,2.4205593778604847e-5,2.418500109257135e-5,2.4232400875508798e-5,8.223043403244917e-8,6.053822359758886e-8,1.0967604240215078e-7
