Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.L/adjustb/1,3.699265599489547e-8,3.696771720866356e-8,3.7035923698063e-8,1.0982626023311776e-10,7.469480459820825e-11,1.787905690673637e-10
adjustb/DeBruijn.Par.L/adjustb/2,1.5950641106166477e-7,1.5925828254267874e-7,1.5991946872839902e-7,1.0015154318227136e-9,6.733276830145858e-10,1.4760820704265463e-9
adjustb/DeBruijn.Par.L/adjustb/3,3.2927865391407643e-7,3.2883871833724324e-7,3.30024791564804e-7,1.9457702970761317e-9,1.3629553977171964e-9,2.728331541567546e-9
adjustb/DeBruijn.Par.L/adjustb/4,6.197686410371714e-7,6.145383694986957e-7,6.400433163731882e-7,3.3197854993710794e-8,1.9318620593862767e-9,7.057461948913395e-8
adjustb/DeBruijn.Par.L/adjustb/5,9.605001607774734e-7,9.587358620950012e-7,9.63035109877485e-7,7.007104322223398e-9,5.230115760368943e-9,9.007371205060421e-9
adjustb/DeBruijn.Par.L/adjustb/6,1.472779243843416e-6,1.4442224006136684e-6,1.5168776024401377e-6,1.164155496921099e-7,8.658963959893999e-8,1.5835198646942186e-7
adjustb/DeBruijn.Par.L/adjustb/7,2.0011625290220177e-6,1.9995420241692915e-6,2.003460596072567e-6,6.263674411056021e-9,4.866128446186396e-9,8.736540812544426e-9
adjustb/DeBruijn.Par.L/adjustb/8,2.671016523102963e-6,2.6611582324005984e-6,2.6903316716258384e-6,4.505979846076009e-8,2.4753117309666128e-8,7.722528796087306e-8
adjustb/DeBruijn.Par.L/adjustb/9,3.574053662491929e-6,3.5647569941056303e-6,3.596615750193271e-6,4.4350358060913016e-8,2.4609021841745942e-8,7.870337650788992e-8
adjustb/DeBruijn.Par.L/adjustb/10,4.664839591656943e-6,4.657616446403221e-6,4.6744322803101495e-6,2.9179445106327697e-8,2.2541799923040826e-8,4.169301998184858e-8
adjustb/DeBruijn.Par.L/adjustb/11,5.851572243975743e-6,5.840653230308299e-6,5.873397201750073e-6,4.756642621191977e-8,2.9387076973681778e-8,7.922458475607248e-8
adjustb/DeBruijn.Par.L/adjustb/12,7.28812077773253e-6,7.2816592394926125e-6,7.299466493766334e-6,2.9133932678412315e-8,2.1559027467567325e-8,4.268809835221008e-8
adjustb/DeBruijn.Par.L/adjustb/13,8.980976809748714e-6,8.973641321123135e-6,8.996926232395322e-6,3.435257130949252e-8,2.166491199212755e-8,6.382277290121784e-8
adjustb/DeBruijn.Par.L/adjustb/14,1.0991398636332972e-5,1.0955293940204854e-5,1.104422683902204e-5,1.487246738738985e-7,9.373472723857923e-8,2.140124426708626e-7
adjustb/DeBruijn.Par.L/adjustb/15,1.3166713417291707e-5,1.3139561491070093e-5,1.3216958498601746e-5,1.149821692603666e-7,7.497175307063021e-8,1.850465975493193e-7
adjustb/DeBruijn.Par.L/adjustb/16,1.6070486616089502e-5,1.5895419227200294e-5,1.6302100995268295e-5,6.464176764227262e-7,5.289134147450315e-7,7.700973609001268e-7
adjustb/DeBruijn.Par.L/adjustb/17,1.8089075757547997e-5,1.8053509041598676e-5,1.8143118158898626e-5,1.5153071284012147e-7,1.0806351199703101e-7,2.141141720945269e-7
adjustb/DeBruijn.Par.L/adjustb/18,2.0967009361322106e-5,2.0935981549019677e-5,2.1020203500659573e-5,1.374471934170329e-7,9.890746808461063e-8,1.9228811966844112e-7
adjustb/DeBruijn.Par.L/adjustb/19,2.414504971578508e-5,2.4116396273472435e-5,2.4200660344032736e-5,1.3229350521584298e-7,8.973384345693852e-8,1.888893236250409e-7
adjustb/DeBruijn.Par.L/adjustb/20,2.775675952520794e-5,2.7683291737926737e-5,2.786845130151711e-5,3.019996616416029e-7,2.1148498389419498e-7,4.815063675298e-7
