Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.L/capt/1,6.445715178864065e-8,6.435217265751698e-8,6.462918003653904e-8,4.4488767280420516e-10,3.31717686073575e-10,6.745653776795131e-10
capt/DeBruijn.Par.L/capt/2,1.1374192698223993e-7,1.1354253592998914e-7,1.1405287558487675e-7,8.379148284994388e-10,6.605961209283495e-10,1.0541295255093987e-9
capt/DeBruijn.Par.L/capt/3,1.717176423888853e-7,1.713519786244358e-7,1.7242188839353026e-7,1.6617151913240533e-9,1.1009687943754725e-9,2.6852535870425713e-9
capt/DeBruijn.Par.L/capt/4,2.3956425585388866e-7,2.3920239904821295e-7,2.404870758806693e-7,1.7723772769338337e-9,9.35991534515256e-10,3.76975545862096e-9
capt/DeBruijn.Par.L/capt/5,3.221115207635717e-7,3.2153363171231186e-7,3.226832480825337e-7,1.941935095253993e-9,1.5770604156262111e-9,2.4275819969542612e-9
capt/DeBruijn.Par.L/capt/6,4.1797946358095163e-7,4.1759871402905013e-7,4.1881243540145536e-7,1.8303327952229214e-9,9.720501087990287e-10,3.3624119391403986e-9
capt/DeBruijn.Par.L/capt/7,5.322414723364107e-7,5.314643648593557e-7,5.331656794424514e-7,2.875716367799229e-9,2.251705774342401e-9,3.6749081390423495e-9
capt/DeBruijn.Par.L/capt/8,6.772620177878762e-7,6.759480864333417e-7,6.787804244885994e-7,4.639585175268633e-9,3.717104231795623e-9,5.870105545246195e-9
capt/DeBruijn.Par.L/capt/9,8.317790315562221e-7,8.295146396324708e-7,8.392659776449053e-7,1.186585553458205e-8,4.79389458885149e-9,2.3546512944271786e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.L/capt/1,6.793537382799508e-8,6.788789094963376e-8,6.799872566612187e-8,1.6980755360392949e-10,1.341548022690841e-10,2.1921070794647845e-10
capt/DeBruijn.Par.L/capt/2,1.199116071691686e-7,1.1979090014906935e-7,1.200506950849828e-7,4.5301795346634365e-10,3.142908265778434e-10,6.519381835243242e-10
capt/DeBruijn.Par.L/capt/3,1.8252551975776746e-7,1.8233023956477516e-7,1.82817725182014e-7,8.140161057138812e-10,6.308702231566378e-10,1.1904151238140573e-9
capt/DeBruijn.Par.L/capt/4,2.568343591013887e-7,2.565280542642044e-7,2.5723106154884825e-7,1.137614778737975e-9,9.235449600883582e-10,1.5169642553449735e-9
capt/DeBruijn.Par.L/capt/5,3.4369402200898284e-7,3.4310314602833217e-7,3.4449507943837315e-7,2.458692712872001e-9,1.675974363626763e-9,3.2033272740587296e-9
capt/DeBruijn.Par.L/capt/6,4.3955538469690333e-7,4.3908021789378565e-7,4.405320192203728e-7,2.1059984114045218e-9,1.228955180850473e-9,3.4662136236163333e-9
capt/DeBruijn.Par.L/capt/7,5.589821543848689e-7,5.584325710581965e-7,5.594874100596841e-7,1.8020957238088222e-9,1.4752540783245842e-9,2.2114695297309217e-9
capt/DeBruijn.Par.L/capt/8,7.033401245476836e-7,7.028093816797035e-7,7.042133760880886e-7,2.109606844405723e-9,1.6327278801260264e-9,2.850575940265851e-9
capt/DeBruijn.Par.L/capt/9,8.698916939001134e-7,8.69364524698791e-7,8.706207727612221e-7,2.0492529187139975e-9,1.5181480136213856e-9,2.7720905544793868e-9
