Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.L/con/1,2.342003504217855e-8,2.3386832715688242e-8,2.3475357537184346e-8,1.4354484564058485e-10,9.414745746748689e-11,2.1986647570825143e-10
con/DeBruijn.Par.L/con/2,4.645921588398719e-8,4.637808326625315e-8,4.657048869348658e-8,3.012339633020706e-10,2.2554227110624807e-10,3.999153373830917e-10
con/DeBruijn.Par.L/con/3,7.357159923459044e-8,7.348937732695764e-8,7.370223358981963e-8,3.2873660292183446e-10,2.1084133060314717e-10,5.519643300779807e-10
con/DeBruijn.Par.L/con/4,1.181322441733882e-7,1.1788381234441167e-7,1.1849804004109001e-7,1.003540432376476e-9,7.585315272147139e-10,1.3557962638641532e-9
con/DeBruijn.Par.L/con/5,1.4896264748395135e-7,1.4862737529256373e-7,1.4937246118060262e-7,1.2501184381051392e-9,1.0268902290306185e-9,1.7420252616918933e-9
con/DeBruijn.Par.L/con/6,1.916746920716247e-7,1.9094797207990141e-7,1.9335501331680816e-7,3.2633606491799708e-9,2.01541958298976e-9,5.579204223685053e-9
con/DeBruijn.Par.L/con/7,2.382618441054557e-7,2.3790616112200497e-7,2.3877608634412314e-7,1.4437867125017969e-9,1.0089193726183068e-9,2.0748072183050732e-9
con/DeBruijn.Par.L/con/8,3.1133179032382403e-7,3.107804988137365e-7,3.121159073591649e-7,2.098101651396684e-9,1.5971119757404444e-9,2.8629642462122117e-9
con/DeBruijn.Par.L/con/9,3.870813147928951e-7,3.866284130033851e-7,3.883207188333214e-7,2.2980065198888172e-9,1.0688428996440519e-9,4.36111625627145e-9
con/DeBruijn.Par.L/con/10,4.61416573731772e-7,4.605919436067131e-7,4.6263653318987116e-7,3.441939808990173e-9,2.639121773417082e-9,4.946735624364456e-9
con/DeBruijn.Par.L/con/11,5.351450154659805e-7,5.34067621259972e-7,5.36525375013255e-7,4.1901810050547076e-9,3.2607362361246897e-9,5.381417420013864e-9
con/DeBruijn.Par.L/con/12,6.140237070778432e-7,6.130119452052921e-7,6.154973880721574e-7,3.937834698535303e-9,3.0511225361196356e-9,5.005626079767857e-9
