Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.P/adjust/1,2.5173146887746152e-8,2.514388607093036e-8,2.5273393860068086e-8,1.589496188727229e-10,5.2933520447081875e-11,3.4569487902046497e-10
adjust/DeBruijn.Par.P/adjust/2,8.800555489869158e-8,8.773096696270382e-8,8.878091141267889e-8,1.4337228333162102e-9,6.013115236753868e-10,2.732939637984827e-9
adjust/DeBruijn.Par.P/adjust/3,2.398995164316233e-7,2.391688629850039e-7,2.4069772560429457e-7,2.5131145025368025e-9,2.1619205904434663e-9,3.322203584074801e-9
adjust/DeBruijn.Par.P/adjust/4,4.7091117883735243e-7,4.7052982281568824e-7,4.715398396326079e-7,1.5947673128769998e-9,1.0323424446139443e-9,2.814503818937563e-9
adjust/DeBruijn.Par.P/adjust/5,8.120343326649596e-7,8.107494159541095e-7,8.136339565731147e-7,4.93853147423592e-9,3.782120398216055e-9,7.158688257544723e-9
adjust/DeBruijn.Par.P/adjust/6,1.3460439117922884e-6,1.344418128529939e-6,1.3506010919203198e-6,8.141206645209594e-9,3.9746401383124635e-9,1.609886627793551e-8
adjust/DeBruijn.Par.P/adjust/7,2.012632371405307e-6,2.009460626541119e-6,2.0188737281021215e-6,1.4983770145656212e-8,8.612352360400094e-9,2.398663670848011e-8
adjust/DeBruijn.Par.P/adjust/8,2.935966093536904e-6,2.933001215504558e-6,2.949312094977061e-6,1.709308411968263e-8,4.8159036707332934e-9,3.758455394787478e-8
adjust/DeBruijn.Par.P/adjust/9,4.075584185516191e-6,4.070732518981921e-6,4.085818559739364e-6,2.28281891848598e-8,1.257271539501599e-8,4.477065916826768e-8
adjust/DeBruijn.Par.P/adjust/10,5.511611342403474e-6,5.507555317205602e-6,5.515709123427235e-6,1.31277222244557e-8,9.63742938817918e-9,1.7737251348687088e-8
adjust/DeBruijn.Par.P/adjust/11,7.250397349111262e-6,7.24476694423885e-6,7.258282066236781e-6,2.2427568335888614e-8,1.6541671470322917e-8,3.3563519755706514e-8
adjust/DeBruijn.Par.P/adjust/12,9.399488405888438e-6,9.385278803266107e-6,9.435133100928232e-6,7.021088241621043e-8,3.128363565721597e-8,1.3478246407724725e-7
adjust/DeBruijn.Par.P/adjust/13,1.1756227189062436e-5,1.173722570978601e-5,1.1794037582423746e-5,8.940580928135078e-8,5.1337438243239095e-8,1.4835664331964965e-7
adjust/DeBruijn.Par.P/adjust/14,1.4384404171689338e-5,1.4378682218469578e-5,1.4393678443733062e-5,2.313197336779079e-8,1.6296016390120622e-8,3.1422975699508076e-8
adjust/DeBruijn.Par.P/adjust/15,1.777533587429784e-5,1.775087246564204e-5,1.7831255186956014e-5,1.194946022860664e-7,4.907672784422961e-8,2.400084749938338e-7
adjust/DeBruijn.Par.P/adjust/16,2.142875868775547e-5,2.1413393944692744e-5,2.1443687805811334e-5,4.94862178848089e-8,4.00313172595267e-8,6.259709400809043e-8
adjust/DeBruijn.Par.P/adjust/17,2.5677916007829617e-5,2.5660599440258544e-5,2.5702164217567027e-5,6.797479783001852e-8,5.2717935941177687e-8,9.310865737451956e-8
adjust/DeBruijn.Par.P/adjust/18,3.01602889214896e-5,3.010964910241839e-5,3.0252867593370645e-5,2.3689132902907232e-7,1.1694666602057073e-7,3.607429366329071e-7
adjust/DeBruijn.Par.P/adjust/19,3.543005018790103e-5,3.532940900736166e-5,3.578018127436366e-5,5.386641993733994e-7,2.2235294685018007e-7,1.0360072882129793e-6
adjust/DeBruijn.Par.P/adjust/20,4.078069928203431e-5,4.076471010431285e-5,4.080722667869112e-5,6.824983705632358e-8,4.465655448910863e-8,1.2503076499456694e-7
