Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.P/adjustb/1,3.6772304505425504e-8,3.670882288063475e-8,3.687536473358043e-8,2.675443669653165e-10,1.927956302477266e-10,4.3808118997573665e-10
adjustb/DeBruijn.Par.P/adjustb/2,1.524054151165673e-7,1.5196831622727134e-7,1.5340973299269668e-7,1.9697667896003984e-9,1.1179259271050874e-9,3.5303208324407172e-9
adjustb/DeBruijn.Par.P/adjustb/3,3.8359072970509125e-7,3.827411015373484e-7,3.850384510334591e-7,3.5482997315207696e-9,2.234970881881462e-9,5.942899208818603e-9
adjustb/DeBruijn.Par.P/adjustb/4,8.410424502536818e-7,8.399203152568024e-7,8.428311457897074e-7,4.423405538775552e-9,3.173536944297007e-9,6.320744028741902e-9
adjustb/DeBruijn.Par.P/adjustb/5,1.4980365523365003e-6,1.4893486698577739e-6,1.5063491287719176e-6,2.9547088945208587e-8,2.5993163204911536e-8,3.448452588287409e-8
adjustb/DeBruijn.Par.P/adjustb/6,2.3760073424970757e-6,2.373125148801025e-6,2.3815962112984962e-6,1.2721650654357419e-8,8.548547238540306e-9,2.1694633959284184e-8
adjustb/DeBruijn.Par.P/adjustb/7,3.7067433667916637e-6,3.702775151773341e-6,3.7119673037346968e-6,1.5750214054600688e-8,1.2507159081731103e-8,1.9888930801530507e-8
adjustb/DeBruijn.Par.P/adjustb/8,5.384960704535809e-6,5.363257660739888e-6,5.430965645787525e-6,1.0445612615608755e-7,4.652392077569366e-8,1.939743767491963e-7
adjustb/DeBruijn.Par.P/adjustb/9,7.502766666093284e-6,7.49549711245871e-6,7.5152789968699345e-6,3.165079735706422e-8,1.9682249075988967e-8,4.720635519723517e-8
adjustb/DeBruijn.Par.P/adjustb/10,1.0161311564071185e-5,1.0150636895294104e-5,1.0186914891749188e-5,5.3206464361730875e-8,3.223582324485424e-8,9.67449653127551e-8
adjustb/DeBruijn.Par.P/adjustb/11,1.3394242126954477e-5,1.3373531721067814e-5,1.3435556198676711e-5,9.539856610275924e-8,5.693293150319134e-8,1.743003603582575e-7
adjustb/DeBruijn.Par.P/adjustb/12,1.731396113155506e-5,1.7264427759721842e-5,1.7432141863126777e-5,2.4688036995454447e-7,1.2135381996475565e-7,4.413042960813646e-7
adjustb/DeBruijn.Par.P/adjustb/13,2.200201300385328e-5,2.191915339403367e-5,2.2144068159090144e-5,3.5169478000900287e-7,2.3515262082556253e-7,5.318355353814187e-7
adjustb/DeBruijn.Par.P/adjustb/14,2.7320938915545304e-5,2.7108297346354497e-5,2.803771693618687e-5,1.2295911908390146e-6,2.810309919074838e-7,2.5497747644305393e-6
adjustb/DeBruijn.Par.P/adjustb/15,3.317519293329068e-5,3.3133212093576964e-5,3.324190405668031e-5,1.7697192425333495e-7,1.2082242484928513e-7,2.69051350278615e-7
adjustb/DeBruijn.Par.P/adjustb/16,4.0404817018159054e-5,4.0291879619325665e-5,4.0655137648475906e-5,5.449485787788451e-7,2.16845063134641e-7,9.865354221646555e-7
adjustb/DeBruijn.Par.P/adjustb/17,4.810335270451972e-5,4.802888888006929e-5,4.8262908935527436e-5,3.556474738797517e-7,2.1180066810477625e-7,6.120366335106636e-7
adjustb/DeBruijn.Par.P/adjustb/18,5.7492369733051004e-5,5.731969951963536e-5,5.780814086620564e-5,7.895363209583302e-7,4.862366461552452e-7,1.3689930222632913e-6
adjustb/DeBruijn.Par.P/adjustb/19,6.726474247891751e-5,6.718012025447366e-5,6.741607307096832e-5,3.825997148365802e-7,2.3475110571925368e-7,6.859547562043436e-7
adjustb/DeBruijn.Par.P/adjustb/20,7.832464020944185e-5,7.819173451640684e-5,7.86309368359387e-5,6.442018710340658e-7,3.0599804539230433e-7,1.193302891104824e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.P/adjustb/1,3.904391981082781e-8,3.8708596914751666e-8,3.945683109053338e-8,1.2746772245862032e-9,1.02526014484031e-9,1.6746087916100775e-9
adjustb/DeBruijn.Par.P/adjustb/2,1.7091385838526288e-7,1.6998364149390548e-7,1.7185395209163653e-7,3.436280037867964e-9,2.833896919404104e-9,4.177763452230784e-9
adjustb/DeBruijn.Par.P/adjustb/3,4.33027200091922e-7,4.2323865214039524e-7,4.4175069957988436e-7,3.1740958650238195e-8,2.6837259891510995e-8,3.5658997723065464e-8
adjustb/DeBruijn.Par.P/adjustb/4,8.730001338415992e-7,8.597853989615751e-7,8.870924817703874e-7,4.657262063194919e-8,3.976913512246254e-8,5.2218565099926326e-8
adjustb/DeBruijn.Par.P/adjustb/5,1.6177932168876763e-6,1.5994105047282921e-6,1.6355657924916013e-6,6.501224225822432e-8,5.6703786055936965e-8,7.647457370805604e-8
adjustb/DeBruijn.Par.P/adjustb/6,2.605142833199024e-6,2.583203444383598e-6,2.6245223966109784e-6,6.841112705000766e-8,5.881944969435406e-8,8.148549448663898e-8
adjustb/DeBruijn.Par.P/adjustb/7,4.1390814539751935e-6,4.114606644710897e-6,4.159258936877198e-6,7.105527794362059e-8,5.6002714573159e-8,9.782755310142426e-8
adjustb/DeBruijn.Par.P/adjustb/8,6.023636364272124e-6,5.9748186642338445e-6,6.068226441289698e-6,1.575115596997037e-7,1.3100325031173659e-7,2.0329598080450186e-7
adjustb/DeBruijn.Par.P/adjustb/9,8.249991002394446e-6,8.197923974374765e-6,8.299045425007863e-6,1.6493994724652316e-7,1.300073586580781e-7,2.1641194981015294e-7
adjustb/DeBruijn.Par.P/adjustb/10,1.1086320254925349e-5,1.1012430591205169e-5,1.1141742727452312e-5,2.0244202875112693e-7,1.6103708765238032e-7,2.6525619537304077e-7
adjustb/DeBruijn.Par.P/adjustb/11,1.4275313686407846e-5,1.4193792255310265e-5,1.4352434113492484e-5,2.5740941114929327e-7,2.0289704712077237e-7,3.38351222950573e-7
adjustb/DeBruijn.Par.P/adjustb/12,1.867364451934738e-5,1.8568822233102482e-5,1.878580863604759e-5,3.6102001666122774e-7,3.0118026755178555e-7,4.86996800597618e-7
adjustb/DeBruijn.Par.P/adjustb/13,2.3417586479164755e-5,2.3338707535135887e-5,2.3484038500755417e-5,2.353271104485708e-7,1.8142208302609084e-7,2.991599552600791e-7
