Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.P/capt/1,6.965482105329677e-8,6.9196582343145e-8,7.007625537159137e-8,1.4263537689221652e-9,1.1617794049309776e-9,1.8507016344592943e-9
capt/DeBruijn.Par.P/capt/2,1.0119593360340651e-7,1.0093930616174163e-7,1.0206850163335534e-7,1.4304259106048162e-9,4.408494558745745e-10,2.904878995593513e-9
capt/DeBruijn.Par.P/capt/3,1.2720176073524017e-7,1.269039165281024e-7,1.2765527962636903e-7,1.2040173491196062e-9,7.677353928510778e-10,1.9801475965422247e-9
capt/DeBruijn.Par.P/capt/4,1.595364095838447e-7,1.5931505829702115e-7,1.598817967882693e-7,8.823454871629191e-10,4.975313475218656e-10,1.4289758271496245e-9
capt/DeBruijn.Par.P/capt/5,1.9110816324049537e-7,1.9076260946653983e-7,1.9158269695561943e-7,1.3523700539541135e-9,9.933647918714411e-10,2.256432796562729e-9
capt/DeBruijn.Par.P/capt/6,2.2244759774186163e-7,2.2201881952686707e-7,2.2298244705979813e-7,1.6106651940841022e-9,1.3667726503618897e-9,2.0087160918716965e-9
capt/DeBruijn.Par.P/capt/7,2.523442148489244e-7,2.516639228339244e-7,2.543529135473521e-7,3.473635797026433e-9,1.6090550519228077e-9,6.5625134247196716e-9
capt/DeBruijn.Par.P/capt/8,2.8374426248388925e-7,2.830505687391142e-7,2.848082911420919e-7,2.935612210074053e-9,1.7310849885463282e-9,4.2054781263689385e-9
capt/DeBruijn.Par.P/capt/9,3.167422310599228e-7,3.1600847747270443e-7,3.178842266222706e-7,3.1256099504934024e-9,1.7399549470696081e-9,4.76408002350808e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.P/capt/1,6.106856388181882e-8,6.10345836861564e-8,6.113002721629321e-8,1.4758433540643943e-10,1.0226719406524958e-10,2.2996204718537068e-10
capt/DeBruijn.Par.P/capt/2,1.0389953196248138e-7,1.037945271791148e-7,1.0402833443004718e-7,4.0302544603577776e-10,3.284670544502977e-10,5.083072511662664e-10
capt/DeBruijn.Par.P/capt/3,1.301651436136812e-7,1.3005234187064494e-7,1.3033752747461643e-7,4.616248970717914e-10,3.068930679924274e-10,7.044480950421264e-10
capt/DeBruijn.Par.P/capt/4,1.623090205921872e-7,1.6216006837059428e-7,1.6255431266952217e-7,6.548915921125609e-10,4.637418212870636e-10,9.050504416404494e-10
capt/DeBruijn.Par.P/capt/5,1.9371574868846944e-7,1.935718581280132e-7,1.939946727253748e-7,6.491493000197776e-10,4.0696357553664884e-10,1.2703582644528508e-9
capt/DeBruijn.Par.P/capt/6,2.2522019799766116e-7,2.250783102413984e-7,2.2546596338198651e-7,6.439461355091658e-10,4.3730363570612184e-10,9.901195456733461e-10
capt/DeBruijn.Par.P/capt/7,2.559151706092156e-7,2.557576471865019e-7,2.5614240279161846e-7,6.300054889436188e-10,4.817880767007245e-10,9.747551501687417e-10
capt/DeBruijn.Par.P/capt/8,2.8956417462829146e-7,2.893203800441574e-7,2.9010169007262717e-7,1.1891553944838256e-9,6.002115714169623e-10,2.2792979844215057e-9
capt/DeBruijn.Par.P/capt/9,3.215185732410186e-7,3.211655286508694e-7,3.2219363473781467e-7,1.650380842936217e-9,1.0013647125282042e-9,2.8581214145103705e-9
