Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.Par.P/con/1,2.4626935690778932e-8,2.4578551040450075e-8,2.4687102047233625e-8,1.7247340904403322e-10,1.4718872791009984e-10,2.2712308510977297e-10
con/DeBruijn.Par.P/con/2,4.895630686862012e-8,4.8847648882189694e-8,4.9105122847877923e-8,4.4027949790783736e-10,3.3681713237738653e-10,5.856139517395496e-10
con/DeBruijn.Par.P/con/3,7.558107836441496e-8,7.525101334245629e-8,7.621444352790323e-8,1.4022449459794442e-9,8.449757358975043e-10,2.4025232993371937e-9
con/DeBruijn.Par.P/con/4,1.0965217569902583e-7,1.0937441866358147e-7,1.103188623097829e-7,1.3588088128789325e-9,8.388344729573288e-10,2.2657321585935364e-9
con/DeBruijn.Par.P/con/5,1.302457024255519e-7,1.300434943164506e-7,1.307155941080787e-7,1.007700022430878e-9,5.075914004888756e-10,2.161726419062863e-9
con/DeBruijn.Par.P/con/6,1.5449857807954843e-7,1.5430905335161827e-7,1.5477872139426102e-7,7.495426716302654e-10,5.355127953884344e-10,1.0482285125665685e-9
con/DeBruijn.Par.P/con/7,1.7822167133233755e-7,1.7805959583747297e-7,1.7859277971080886e-7,7.694182481806349e-10,3.8786514149419614e-10,1.2062506773252035e-9
con/DeBruijn.Par.P/con/8,2.0376039501245146e-7,2.0342797847100203e-7,2.0414521174124894e-7,1.2011527447335677e-9,1.0118076268976126e-9,1.4444375545540109e-9
con/DeBruijn.Par.P/con/9,2.285765070076463e-7,2.2796450051458702e-7,2.2945483081135164e-7,2.445416730413076e-9,1.7256339083653428e-9,3.778494460067664e-9
con/DeBruijn.Par.P/con/10,2.528545359585904e-7,2.5144046500731866e-7,2.5590288475479036e-7,6.49821938312148e-9,3.6310761092925137e-9,1.1164740813409704e-8
con/DeBruijn.Par.P/con/11,2.745940489578413e-7,2.7407123481111043e-7,2.755296046028084e-7,2.1671080105498236e-9,1.5020148452510169e-9,3.2724458965406845e-9
con/DeBruijn.Par.P/con/12,3.1059340248344774e-7,3.1000669914447597e-7,3.1142814257807967e-7,2.402067963825286e-9,1.6946230760761533e-9,3.259196980826036e-9
con/DeBruijn.Par.P/con/13,3.2813394928678184e-7,3.278435400907109e-7,3.285585443148847e-7,1.1998283147493852e-9,7.917118160579564e-10,1.8622213828383503e-9
con/DeBruijn.Par.P/con/14,3.5686636201840923e-7,3.560355060081317e-7,3.581806775425773e-7,3.3346949180837155e-9,2.236785591760702e-9,5.478626267584438e-9
con/DeBruijn.Par.P/con/15,3.816076353612034e-7,3.811517703233735e-7,3.8229733152878735e-7,1.8451821649156283e-9,1.3219560231181009e-9,2.8546050633538748e-9
con/DeBruijn.Par.P/con/16,4.018090539977442e-7,4.0127400782933877e-7,4.0259128576029737e-7,2.152866252120676e-9,1.549096327835821e-9,2.9751347101187318e-9
con/DeBruijn.Par.P/con/17,4.2574330579181166e-7,4.2505372119341104e-7,4.2663043066534165e-7,2.522629129580725e-9,1.9720663242406787e-9,3.483877073888321e-9
con/DeBruijn.Par.P/con/18,4.6391327176432006e-7,4.632584547574298e-7,4.650782429241884e-7,2.8448504574282026e-9,1.7594775553188868e-9,4.947314907088533e-9
con/DeBruijn.Par.P/con/19,4.884195241642647e-7,4.872919406274169e-7,4.902627020039805e-7,4.9664234009787595e-9,3.0496134355353487e-9,7.208371193403832e-9
con/DeBruijn.Par.P/con/20,5.274658014460483e-7,5.261421700883684e-7,5.297531974818974e-7,5.504664479356336e-9,3.7174018732316907e-9,8.873565627017292e-9
