Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.P/ids/1,2.4671078350613514e-8,2.46234522902635e-8,2.4741153875589825e-8,1.9168345937851874e-10,1.4147157369730199e-10,3.07703172111378e-10
ids/DeBruijn.Par.P/ids/2,3.602554418570998e-8,3.594108622035369e-8,3.6181456259780305e-8,3.8528505651970353e-10,2.285462317411365e-10,6.499328268532621e-10
ids/DeBruijn.Par.P/ids/3,4.736530977245493e-8,4.7312362377900715e-8,4.743722849506637e-8,2.0725264872294628e-10,1.5105232891489977e-10,2.9384027159806456e-10
ids/DeBruijn.Par.P/ids/4,6.828682659246832e-8,6.814385209212449e-8,6.847216930982597e-8,5.801550446486635e-10,4.560649425348388e-10,7.872108665627648e-10
ids/DeBruijn.Par.P/ids/5,7.649148294334441e-8,7.63904140560095e-8,7.664703354427907e-8,4.107108571617806e-10,3.1677275175714874e-10,6.515077612248814e-10
ids/DeBruijn.Par.P/ids/6,8.753798703067544e-8,8.744600443095728e-8,8.764578975045283e-8,3.4802229044865736e-10,2.832642216348508e-10,4.358725533870018e-10
ids/DeBruijn.Par.P/ids/7,9.976548265032587e-8,9.960248727486337e-8,9.997813697595745e-8,6.102893230494989e-10,4.2517224920175617e-10,9.167049008043683e-10
ids/DeBruijn.Par.P/ids/8,1.1135557372604076e-7,1.1110891277826204e-7,1.1179881940377378e-7,1.0527660881382613e-9,5.82738665580084e-10,1.76978494836266e-9
ids/DeBruijn.Par.P/ids/9,1.21516005049623e-7,1.212753843155718e-7,1.2213737902963983e-7,1.1158417025208741e-9,4.1301178393162685e-10,1.871920175007986e-9
ids/DeBruijn.Par.P/ids/10,1.3284316290693363e-7,1.326118783983602e-7,1.3313126557026788e-7,8.327674562043392e-10,6.872333592571095e-10,1.0114365573700528e-9
