Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/DeBruijn.Par.Scoped/adjust/1,4.0003975149316014e-8,3.995369653583332e-8,4.0100334865513045e-8,2.251711554022208e-10,1.3569346316488888e-10,3.6269242149865496e-10
adjust/DeBruijn.Par.Scoped/adjust/2,1.3590659820178498e-7,1.340941079044455e-7,1.38988880883521e-7,7.651044400265217e-9,5.563539667867403e-9,1.0972520009017486e-8
adjust/DeBruijn.Par.Scoped/adjust/3,3.5802365432361465e-7,3.5749102384928406e-7,3.587844238721314e-7,2.1306045790927e-9,1.57281735368175e-9,2.9356826375906844e-9
adjust/DeBruijn.Par.Scoped/adjust/4,7.249776351354323e-7,7.238192232836177e-7,7.266715739977742e-7,4.65275399032157e-9,3.3556105861533716e-9,6.279671189231846e-9
adjust/DeBruijn.Par.Scoped/adjust/5,1.3513184568570154e-6,1.3478775360842561e-6,1.356235609228032e-6,1.330106980677243e-8,8.831384274150354e-9,1.9054591560185954e-8
adjust/DeBruijn.Par.Scoped/adjust/6,2.2123721955945166e-6,2.20765118394815e-6,2.2261316537248303e-6,2.4528108190275934e-8,9.457079599980841e-9,4.8057135670507607e-8
adjust/DeBruijn.Par.Scoped/adjust/7,3.394843999819413e-6,3.388914168499314e-6,3.406390980755854e-6,2.7086531918225516e-8,1.7005509973150458e-8,4.4455163954897794e-8
adjust/DeBruijn.Par.Scoped/adjust/8,5.020807983481691e-6,5.012905732871605e-6,5.033082715336292e-6,3.177322922858657e-8,2.261063845020406e-8,4.354103347775936e-8
adjust/DeBruijn.Par.Scoped/adjust/9,7.225261762923884e-6,7.210483655733926e-6,7.248553597937238e-6,5.994645090932541e-8,3.988175340666831e-8,9.844583132291992e-8
adjust/DeBruijn.Par.Scoped/adjust/10,9.872483117805467e-6,9.847905211578328e-6,9.928234846909976e-6,1.1601167319535974e-7,6.467194560414921e-8,2.0041087098234435e-7
adjust/DeBruijn.Par.Scoped/adjust/11,1.3083847242806843e-5,1.3071887150060412e-5,1.31012849454945e-5,4.7577489036314026e-8,3.603778828052611e-8,7.088921156562911e-8
adjust/DeBruijn.Par.Scoped/adjust/12,1.7052187690337578e-5,1.701538624541711e-5,1.7107860382030826e-5,1.5570974437268648e-7,9.574558468037995e-8,2.4316833929119e-7
adjust/DeBruijn.Par.Scoped/adjust/13,2.164554555257335e-5,2.1620064961616516e-5,2.1686129085103448e-5,1.129006001391191e-7,7.977906327513114e-8,1.5386181999760437e-7
adjust/DeBruijn.Par.Scoped/adjust/14,2.7416927934391296e-5,2.737565074612722e-5,2.7492658077929247e-5,1.8109494415260117e-7,9.144156887744016e-8,2.7953402127217746e-7
adjust/DeBruijn.Par.Scoped/adjust/15,3.444930278328711e-5,3.440486961655356e-5,3.4524485936212015e-5,1.833382187762785e-7,1.1121221179329016e-7,2.908200686848313e-7
adjust/DeBruijn.Par.Scoped/adjust/16,4.300977470089287e-5,4.292670183351761e-5,4.3145839144419615e-5,3.561163530091263e-7,2.5099944348820957e-7,5.414720425026282e-7
adjust/DeBruijn.Par.Scoped/adjust/17,5.271841996915669e-5,5.264308260216764e-5,5.282160586633321e-5,2.812552199046026e-7,2.0279201340475012e-7,4.2318247776037506e-7
adjust/DeBruijn.Par.Scoped/adjust/18,6.382096025467122e-5,6.359364911858415e-5,6.429026502114142e-5,9.991276769178656e-7,6.319249736434557e-7,1.8324149845263992e-6
adjust/DeBruijn.Par.Scoped/adjust/19,7.738363692297485e-5,7.727668411606884e-5,7.759605823357185e-5,4.583295190185826e-7,3.0042042186172106e-7,7.68564639879355e-7
adjust/DeBruijn.Par.Scoped/adjust/20,9.240267291783648e-5,9.227281258296186e-5,9.25872106628323e-5,5.105747497249626e-7,3.925764397256567e-7,6.920138520601551e-7
