Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.Par.Scoped/adjustb/1,8.925412732136288e-8,8.91453650686503e-8,8.94500972647872e-8,5.068733482236033e-10,3.157125730160026e-10,8.082746429158164e-10
adjustb/DeBruijn.Par.Scoped/adjustb/2,3.416827153463719e-7,3.4114459442254253e-7,3.423871779926626e-7,2.032280933073558e-9,1.4919367797596052e-9,2.7854744618435952e-9
adjustb/DeBruijn.Par.Scoped/adjustb/3,7.13625790671418e-7,7.127396136127467e-7,7.160075933248656e-7,4.38318727912004e-9,1.9497243158709836e-9,8.283261974589014e-9
adjustb/DeBruijn.Par.Scoped/adjustb/4,1.2476931630253873e-6,1.2422936382011106e-6,1.2617699202576722e-6,2.7696508551608808e-8,1.6696583555921233e-8,4.63901903318379e-8
adjustb/DeBruijn.Par.Scoped/adjustb/5,1.9411687435764728e-6,1.9366601024683986e-6,1.9509429222934354e-6,2.059893141430464e-8,1.1221034881176198e-8,3.705583314246232e-8
adjustb/DeBruijn.Par.Scoped/adjustb/6,2.943697048507403e-6,2.9398199900606337e-6,2.9490310363898317e-6,1.4698711216695802e-8,1.071252499680379e-8,1.9685075549650255e-8
adjustb/DeBruijn.Par.Scoped/adjustb/7,4.203599616731012e-6,4.196051111230087e-6,4.217217411146154e-6,3.291915530927403e-8,2.251812084216806e-8,4.807672377946814e-8
adjustb/DeBruijn.Par.Scoped/adjustb/8,5.6811413933267e-6,5.670329056058361e-6,5.69539122097596e-6,4.1406618004960985e-8,3.263457774324048e-8,5.353747806660721e-8
adjustb/DeBruijn.Par.Scoped/adjustb/9,7.432277177946414e-6,7.417680702530442e-6,7.483779117817722e-6,7.82274522636885e-8,2.466792325220695e-8,1.7215112025417e-7
adjustb/DeBruijn.Par.Scoped/adjustb/10,9.54624923342489e-6,9.529226795430448e-6,9.574606763061072e-6,7.634126051953658e-8,5.3626367803791195e-8,1.1630272251248514e-7
adjustb/DeBruijn.Par.Scoped/adjustb/11,1.2046697233274998e-5,1.2027634136282942e-5,1.2076785990909965e-5,7.791311292832394e-8,5.8618085438848696e-8,1.247668675817648e-7
adjustb/DeBruijn.Par.Scoped/adjustb/12,1.5531337789900242e-5,1.5225158272012947e-5,1.631055754315767e-5,1.5611945252531988e-6,4.830205677521877e-7,2.6542229111069478e-6
adjustb/DeBruijn.Par.Scoped/adjustb/13,1.822650057860966e-5,1.8191355256282405e-5,1.8285416267410107e-5,1.4730641065051232e-7,1.0963700961167843e-7,2.365583403422115e-7
adjustb/DeBruijn.Par.Scoped/adjustb/14,2.1990560293508097e-5,2.1935770519250366e-5,2.2079602931906448e-5,2.225360390934884e-7,1.425615588437016e-7,3.647635488520973e-7
adjustb/DeBruijn.Par.Scoped/adjustb/15,2.603264793842419e-5,2.5975819950602906e-5,2.6126641548653652e-5,2.4324999821168137e-7,1.482709041295667e-7,3.9414019718182937e-7
adjustb/DeBruijn.Par.Scoped/adjustb/16,3.0551935877817625e-5,3.050907851081668e-5,3.0643475150534164e-5,2.09023049586465e-7,1.2225341056137668e-7,3.69366727857716e-7
adjustb/DeBruijn.Par.Scoped/adjustb/17,3.611481985540459e-5,3.594705279222135e-5,3.636852336409386e-5,7.177331411721532e-7,5.467682585658716e-7,1.0332968601343445e-6
adjustb/DeBruijn.Par.Scoped/adjustb/18,4.174046392607609e-5,4.1582848726874435e-5,4.1979003128160693e-5,6.128662435481405e-7,4.3732436434066686e-7,7.813856640371811e-7
adjustb/DeBruijn.Par.Scoped/adjustb/19,4.930612918270233e-5,4.890517481995532e-5,4.979177585054838e-5,1.4506846463054021e-6,1.1328312278856442e-6,1.9027520985027828e-6
adjustb/DeBruijn.Par.Scoped/adjustb/20,5.528533574709329e-5,5.5151409156061e-5,5.549168561182822e-5,5.38717885034927e-7,3.735543759978949e-7,8.03649913839621e-7
