Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.Scoped/capt/1,1.2286349614182456e-7,1.2242617750204405e-7,1.2358858510930686e-7,1.8672393922116202e-9,1.3636914398316756e-9,2.613103204239309e-9
capt/DeBruijn.Par.Scoped/capt/2,1.7386454233948552e-7,1.7327699538548835e-7,1.7481510982175777e-7,2.3974510029581035e-9,1.7358511610468198e-9,3.409373319709835e-9
capt/DeBruijn.Par.Scoped/capt/3,2.6327645223133233e-7,2.628618731703591e-7,2.638443345920004e-7,1.6610522318215718e-9,1.2749023995596197e-9,2.106674994578099e-9
capt/DeBruijn.Par.Scoped/capt/4,3.4031920630537533e-7,3.398660443726091e-7,3.4111874563702545e-7,2.023096163029411e-9,1.2670957768303478e-9,3.545074804063184e-9
capt/DeBruijn.Par.Scoped/capt/5,4.388848652833622e-7,4.380477654252719e-7,4.3990908085438363e-7,3.1339004269767195e-9,2.517391746641945e-9,4.1157521917383465e-9
capt/DeBruijn.Par.Scoped/capt/6,5.380875529307371e-7,5.371617564022583e-7,5.39870996829859e-7,4.186580606856e-9,2.764928885343352e-9,7.138181069950952e-9
capt/DeBruijn.Par.Scoped/capt/7,6.454021437783528e-7,6.438390202081416e-7,6.48030681776121e-7,6.488666600309513e-9,3.901540461274329e-9,1.0055814684814648e-8
capt/DeBruijn.Par.Scoped/capt/8,7.456355856776858e-7,7.444205938337772e-7,7.471129297268503e-7,4.5468908299831e-9,3.813531725270192e-9,5.306153319079596e-9
capt/DeBruijn.Par.Scoped/capt/9,8.682007256184691e-7,8.669061693085643e-7,8.707504513396103e-7,5.938276249586674e-9,3.6829428027767545e-9,1.0890696380238034e-8
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/DeBruijn.Par.Scoped/capt/1,1.2558329849809155e-7,1.255109276385846e-7,1.2568785007680801e-7,2.9414557450805413e-10,2.269231601329248e-10,3.8227594441123846e-10
capt/DeBruijn.Par.Scoped/capt/2,1.794789564288178e-7,1.7925061364599984e-7,1.7980059418299768e-7,9.012542972331248e-10,6.783688885648458e-10,1.373286900392555e-9
capt/DeBruijn.Par.Scoped/capt/3,2.617388001491567e-7,2.612154412056367e-7,2.6286260925558e-7,2.5281343729018586e-9,1.1735393082944198e-9,4.956428095556173e-9
capt/DeBruijn.Par.Scoped/capt/4,3.3446174438053026e-7,3.3298849387820805e-7,3.3779683691348213e-7,7.059302270233309e-9,2.706999933277867e-9,1.1775858243658977e-8
capt/DeBruijn.Par.Scoped/capt/5,4.2576187872681526e-7,4.255208463430172e-7,4.261072314924141e-7,9.456029972620663e-10,6.723292395900593e-10,1.3791915881196771e-9
capt/DeBruijn.Par.Scoped/capt/6,5.225016141564021e-7,5.221623431186883e-7,5.22989981219387e-7,1.4031340401552464e-9,9.587186279069037e-10,2.0120322928713894e-9
capt/DeBruijn.Par.Scoped/capt/7,6.417427136490411e-7,6.411732039488335e-7,6.424356876196455e-7,2.1935864913626067e-9,1.7627968084570534e-9,2.7312577611026523e-9
capt/DeBruijn.Par.Scoped/capt/8,7.44441168574493e-7,7.43095997452507e-7,7.472122697008193e-7,6.237534557341533e-9,3.5865295041255652e-9,9.228536480066703e-9
capt/DeBruijn.Par.Scoped/capt/9,8.599091515285803e-7,8.572503291922014e-7,8.698176193686079e-7,1.566697324950979e-8,5.853189013538455e-9,3.1079435513709706e-8
