Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.Par.Scoped/ids/1,3.2548885970285415e-8,3.2487173931042427e-8,3.2639538578666894e-8,2.391682603514205e-10,1.8594054037697674e-10,2.992706771308277e-10
ids/DeBruijn.Par.Scoped/ids/2,4.178467438889908e-8,4.1741602878739835e-8,4.185317533665433e-8,1.8408691952216647e-10,1.2763394902154286e-10,2.604771189941872e-10
ids/DeBruijn.Par.Scoped/ids/3,4.9852169293337224e-8,4.979393117419407e-8,4.995550004783344e-8,2.554776481253002e-10,1.6961869693424007e-10,3.724672771631252e-10
ids/DeBruijn.Par.Scoped/ids/4,6.849201724163201e-8,6.842328438233356e-8,6.864760410365588e-8,3.2620705160297226e-10,1.8461750783402656e-10,6.142062304452086e-10
ids/DeBruijn.Par.Scoped/ids/5,7.397831994549459e-8,7.388456129110464e-8,7.410092146134958e-8,3.575008736119633e-10,2.710259903016982e-10,4.750666711574383e-10
ids/DeBruijn.Par.Scoped/ids/6,8.196838830529263e-8,8.189976754970669e-8,8.210812669124661e-8,3.289733651655482e-10,1.6514824802856215e-10,5.759091056434893e-10
ids/DeBruijn.Par.Scoped/ids/7,8.933601839123357e-8,8.925346362378267e-8,8.944252896561356e-8,3.169852867636268e-10,2.3987666616205774e-10,4.0553145052656947e-10
ids/DeBruijn.Par.Scoped/ids/8,9.733216199049904e-8,9.719564728178578e-8,9.756787580926053e-8,5.833831009089484e-10,3.7433301359258644e-10,9.808258492405743e-10
ids/DeBruijn.Par.Scoped/ids/9,1.0571406586991975e-7,1.0556663816881292e-7,1.0589156557448892e-7,5.490985533219001e-10,4.001783066488583e-10,8.525707214883009e-10
ids/DeBruijn.Par.Scoped/ids/10,1.1487409450911769e-7,1.1477991683516841e-7,1.1497530077049477e-7,3.3227879765361766e-10,2.6713096939482967e-10,4.103615925242356e-10
