Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.TAPL/adjustb/1,8.231655609625657e-8,8.198764475432395e-8,8.30725011833738e-8,1.4641875057783534e-9,7.980558156930036e-10,2.8143157759368484e-9
adjustb/DeBruijn.TAPL/adjustb/2,2.3553559106826474e-7,2.352763519371847e-7,2.3606122783897347e-7,1.27948741745299e-9,6.79294043692562e-10,2.2949957747359903e-9
adjustb/DeBruijn.TAPL/adjustb/3,4.2009632300009223e-7,4.192728609428217e-7,4.2129759929003903e-7,3.172859819159141e-9,2.4237874681359783e-9,4.4717504919799555e-9
adjustb/DeBruijn.TAPL/adjustb/4,6.735102084063465e-7,6.729148974629079e-7,6.74328582607794e-7,2.3267682858475288e-9,1.7468331437674218e-9,2.9615039156910274e-9
adjustb/DeBruijn.TAPL/adjustb/5,1.1062345446300026e-6,1.1044132593964134e-6,1.1085245061594324e-6,6.992275737048964e-9,5.315276025564233e-9,9.127767889265485e-9
adjustb/DeBruijn.TAPL/adjustb/6,1.5001978549435228e-6,1.4983926005492856e-6,1.5031008261172087e-6,7.192736723202943e-9,4.706823320645871e-9,1.24316764691437e-8
adjustb/DeBruijn.TAPL/adjustb/7,2.06326433771912e-6,2.05536476040717e-6,2.0797544478341475e-6,3.405888032292224e-8,2.0618801085313007e-8,5.787073265451238e-8
adjustb/DeBruijn.TAPL/adjustb/8,2.605592462668589e-6,2.602669350610019e-6,2.6094400061214383e-6,1.1195735054624713e-8,8.331157278644002e-9,1.582962438966388e-8
adjustb/DeBruijn.TAPL/adjustb/9,3.360247850842359e-6,3.354707507006454e-6,3.3671218850037574e-6,2.1073521810655007e-8,1.6249831388304277e-8,2.8950579190408477e-8
adjustb/DeBruijn.TAPL/adjustb/10,4.314964892872246e-6,4.307501653342409e-6,4.324353377014153e-6,2.6827443437960283e-8,1.8032561569961008e-8,4.110681168494537e-8
adjustb/DeBruijn.TAPL/adjustb/11,5.218202752980342e-6,5.210636085606575e-6,5.232016251561531e-6,3.494383598223091e-8,2.2902330595885804e-8,6.14380097360663e-8
adjustb/DeBruijn.TAPL/adjustb/12,6.4411428414599125e-6,6.406706432710072e-6,6.50508546045493e-6,1.6220711243685997e-7,9.868925796682209e-8,2.631954705831377e-7
adjustb/DeBruijn.TAPL/adjustb/13,7.563980155074617e-6,7.54386440096974e-6,7.6223165534045184e-6,1.0515432293946046e-7,4.830095353441967e-8,1.9981692304832205e-7
adjustb/DeBruijn.TAPL/adjustb/14,8.982607385926974e-6,8.925378163241402e-6,9.163874399670048e-6,2.8721481185700467e-7,7.402788178204326e-8,6.086474981617528e-7
adjustb/DeBruijn.TAPL/adjustb/15,1.0656475205977903e-5,1.0594760181936957e-5,1.0750231932181794e-5,2.647473098685699e-7,1.502170208336386e-7,4.1144835742488625e-7
adjustb/DeBruijn.TAPL/adjustb/16,1.2375122673736689e-5,1.2334448000727523e-5,1.2419214301623162e-5,1.47632841243559e-7,1.219739596226155e-7,1.790425291652461e-7
adjustb/DeBruijn.TAPL/adjustb/17,1.4467724211276727e-5,1.4362040611831746e-5,1.4629623892942415e-5,4.316400060312857e-7,2.8659193341571075e-7,5.763618794223824e-7
adjustb/DeBruijn.TAPL/adjustb/18,1.6790239427318256e-5,1.666825206621832e-5,1.6967858004712636e-5,4.912493112046879e-7,3.681967411985362e-7,6.201131564892945e-7
adjustb/DeBruijn.TAPL/adjustb/19,1.9233921372673277e-5,1.9075548564396957e-5,1.9437822403010923e-5,5.719646349080827e-7,4.6006949342879405e-7,7.029625963769249e-7
adjustb/DeBruijn.TAPL/adjustb/20,2.161174446855723e-5,2.1457195896792604e-5,2.1856575861001186e-5,6.316973651024008e-7,4.564488974050639e-7,9.209860885999772e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/DeBruijn.TAPL/adjustb/1,8.585899403123546e-8,8.57559798289059e-8,8.603012518511974e-8,4.3288311917719005e-10,2.983325799401155e-10,7.161278335713092e-10
adjustb/DeBruijn.TAPL/adjustb/2,2.3797350835565095e-7,2.3761380718584034e-7,2.383812252692117e-7,1.2500583375379614e-9,1.0270365429320762e-9,1.5767973694867727e-9
adjustb/DeBruijn.TAPL/adjustb/3,4.3037559430784266e-7,4.294928410914981e-7,4.315701501571428e-7,3.668119274329214e-9,2.7947039712860396e-9,5.070502070802546e-9
adjustb/DeBruijn.TAPL/adjustb/4,6.94293791909219e-7,6.932093319891314e-7,6.958790515415212e-7,4.476319147218619e-9,3.5641055289988407e-9,5.5923078788209555e-9
adjustb/DeBruijn.TAPL/adjustb/5,1.1531927203539832e-6,1.1518245059165837e-6,1.155281392451626e-6,5.713354837625112e-9,3.756181313757034e-9,8.22930311407615e-9
adjustb/DeBruijn.TAPL/adjustb/6,1.4955670320233872e-6,1.4914373388220035e-6,1.5104393906452974e-6,2.1487207006488787e-8,9.202569165805223e-9,4.4193175463346236e-8
adjustb/DeBruijn.TAPL/adjustb/7,2.1239883491122944e-6,2.120009216787498e-6,2.1293108259397486e-6,1.4961626537578293e-8,1.091049271347545e-8,2.298954299445172e-8
adjustb/DeBruijn.TAPL/adjustb/8,2.71333338513783e-6,2.7111198212192634e-6,2.7163785694986424e-6,8.622867931145393e-9,6.500792156509164e-9,1.2525920013760404e-8
adjustb/DeBruijn.TAPL/adjustb/9,3.506556712459187e-6,3.5021562563228426e-6,3.5135514175776354e-6,1.8190226005321867e-8,1.2005358390663686e-8,2.8975020910242552e-8
adjustb/DeBruijn.TAPL/adjustb/10,4.44182585833472e-6,4.434441005742056e-6,4.45082581674901e-6,2.772666000645357e-8,2.101382529179963e-8,3.499182830360856e-8
adjustb/DeBruijn.TAPL/adjustb/11,5.441207634826003e-6,5.432726824886052e-6,5.465560903507531e-6,4.34390770598314e-8,1.881959794593243e-8,9.2215105125578e-8
adjustb/DeBruijn.TAPL/adjustb/12,6.678019846342471e-6,6.668366552057173e-6,6.69389027609881e-6,4.068532596001385e-8,2.3522166078441138e-8,6.950526189154813e-8
adjustb/DeBruijn.TAPL/adjustb/13,7.99058115849845e-6,7.978757996895774e-6,8.012270471966524e-6,5.17855605952043e-8,3.775136068257635e-8,7.853712546545039e-8
adjustb/DeBruijn.TAPL/adjustb/14,9.420155312416283e-6,9.407221676243808e-6,9.440514311758864e-6,5.321845953922321e-8,3.835093327630934e-8,7.750886154565915e-8
adjustb/DeBruijn.TAPL/adjustb/15,1.1191351477705495e-5,1.1175309398465536e-5,1.1214351164985874e-5,6.260225120407844e-8,4.809730004621443e-8,8.95021760783718e-8
adjustb/DeBruijn.TAPL/adjustb/16,1.3028284702619581e-5,1.3006398309649336e-5,1.305871333066706e-5,8.688051102992255e-8,6.164651934509226e-8,1.2230085094994185e-7
adjustb/DeBruijn.TAPL/adjustb/17,1.5085187382605604e-5,1.5055839139890767e-5,1.5136794038001307e-5,1.1890162214745911e-7,6.750643219050355e-8,1.8924219197605613e-7
adjustb/DeBruijn.TAPL/adjustb/18,1.7371264705668538e-5,1.733927751791722e-5,1.7430961163636374e-5,1.430300887288184e-7,8.159332606010748e-8,2.453111903666972e-7
adjustb/DeBruijn.TAPL/adjustb/19,1.9802670277939314e-5,1.9772871221711242e-5,1.983887053506585e-5,1.1189304017404791e-7,9.331375648891867e-8,1.387821146065516e-7
