Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/DeBruijn.TAPL/con/1,5.0510767012389237e-8,5.042387522014847e-8,5.066059544402468e-8,3.5855370901342856e-10,2.3727017631736836e-10,5.620892292053008e-10
con/DeBruijn.TAPL/con/2,6.590534549374518e-8,6.578393890271109e-8,6.609705959780334e-8,5.101630405204215e-10,3.824651314498317e-10,6.809937795043437e-10
con/DeBruijn.TAPL/con/3,7.957540563323173e-8,7.94243193465086e-8,7.977339800504838e-8,5.912577839170294e-10,4.85053300961785e-10,7.382729796342461e-10
con/DeBruijn.TAPL/con/4,9.221284865732922e-8,9.211166196168373e-8,9.240869434221843e-8,4.762583209816821e-10,3.147707481139757e-10,7.141952723705486e-10
con/DeBruijn.TAPL/con/5,1.0601072419503996e-7,1.0581637797106122e-7,1.0629301805085848e-7,7.877746025287902e-10,5.639550141032489e-10,1.2644894118515192e-9
con/DeBruijn.TAPL/con/6,1.1955281167946668e-7,1.1936217886086845e-7,1.1982104031417925e-7,7.603954183826465e-10,5.800992917778355e-10,1.150851591540932e-9
con/DeBruijn.TAPL/con/7,1.342286380151311e-7,1.3411507567382968e-7,1.3436535093838852e-7,4.24281095912193e-10,2.8835340451777155e-10,6.038476215777441e-10
con/DeBruijn.TAPL/con/8,1.6263372000933117e-7,1.6218251101855782e-7,1.6327706565063916e-7,1.7063556995678579e-9,1.3074547781609863e-9,2.155639845425418e-9
con/DeBruijn.TAPL/con/9,1.8158810421320474e-7,1.813482478965097e-7,1.8183329268510818e-7,8.037613273163621e-10,6.322724068560506e-10,1.058190582192685e-9
con/DeBruijn.TAPL/con/10,2.0049190975972773e-7,1.9984463577712703e-7,2.0173723340127712e-7,2.8482447872945645e-9,1.6468588933400286e-9,4.631410934572064e-9
con/DeBruijn.TAPL/con/11,2.186977303157239e-7,2.1833791218589568e-7,2.1928872807112466e-7,1.5466791641106669e-9,1.0350701987622308e-9,2.2161642528989935e-9
con/DeBruijn.TAPL/con/12,2.2558435299103034e-7,2.2519869248565587e-7,2.2611046383684922e-7,1.5597307147827585e-9,1.2124274845230578e-9,2.0701956390998e-9
con/DeBruijn.TAPL/con/13,2.398541788783339e-7,2.396212144654611e-7,2.4012080327690884e-7,8.451538903927565e-10,6.619628649691929e-10,1.0943319829879211e-9
con/DeBruijn.TAPL/con/14,2.6043629818073633e-7,2.599973050500357e-7,2.6119259365610056e-7,1.952740058603737e-9,1.2508167939876225e-9,2.9540885755203314e-9
con/DeBruijn.TAPL/con/15,2.6966056251397437e-7,2.691518285480288e-7,2.704637722998664e-7,2.122841209097793e-9,1.727414281009313e-9,2.6875192615507563e-9
con/DeBruijn.TAPL/con/16,2.8375650722499935e-7,2.831856999448488e-7,2.8497618183867296e-7,2.642341421443137e-9,1.5894736651140428e-9,4.920762613571592e-9
con/DeBruijn.TAPL/con/17,2.946356923445218e-7,2.9402376850912026e-7,2.958680048194474e-7,2.6882387579935763e-9,1.245477422769384e-9,5.00889942566533e-9
con/DeBruijn.TAPL/con/18,3.074297354894716e-7,3.067646504259904e-7,3.0819752470287253e-7,2.3723752956581564e-9,1.7364129866515817e-9,3.182929517833422e-9
con/DeBruijn.TAPL/con/19,3.269937737692589e-7,3.265724287466997e-7,3.27609566321358e-7,1.606766032561967e-9,1.1666771072551768e-9,2.180124173044061e-9
con/DeBruijn.TAPL/con/20,3.511188356727359e-7,3.5056966621670825e-7,3.51720413858861e-7,2.0310446981802133e-9,1.4990583856922895e-9,2.8848377036952907e-9
