Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.TAPL/ids/1,5.029907176250426e-8,5.022912011319968e-8,5.041810209619979e-8,2.9841569065158317e-10,1.8929839529628228e-10,4.331303845986442e-10
ids/DeBruijn.TAPL/ids/2,8.990515916630738e-8,8.98077680386363e-8,9.003341059989104e-8,3.7752737571579126e-10,3.0967218536864523e-10,4.915759857762317e-10
ids/DeBruijn.TAPL/ids/3,1.3742631370834867e-7,1.3723892250700625e-7,1.3771229816303482e-7,7.555860396908827e-10,5.432950149275444e-10,1.1023588192413433e-9
ids/DeBruijn.TAPL/ids/4,1.7248128505980455e-7,1.722496087262714e-7,1.729267817978707e-7,1.0421754620140194e-9,5.944328178095076e-10,1.945211723709804e-9
ids/DeBruijn.TAPL/ids/5,2.0996904233157188e-7,2.097116728085625e-7,2.1050419338697005e-7,1.189453499561223e-9,7.688041710628515e-10,2.0188688693731007e-9
ids/DeBruijn.TAPL/ids/6,2.495128514905126e-7,2.4911269604636714e-7,2.501345166908225e-7,1.7018184204806052e-9,1.2338921625551767e-9,2.2715819376549286e-9
ids/DeBruijn.TAPL/ids/7,2.8793189237711383e-7,2.876678970115205e-7,2.884458776828233e-7,1.1323584650939333e-9,6.963309739765956e-10,1.9052179618893084e-9
ids/DeBruijn.TAPL/ids/8,3.2671991995215024e-7,3.2638020691687647e-7,3.2751633036806963e-7,1.7353713594372198e-9,9.603001345838985e-10,3.0439397233239084e-9
ids/DeBruijn.TAPL/ids/9,3.6793144799133543e-7,3.67209439933807e-7,3.6918396467444994e-7,3.209438543800497e-9,2.068557563031144e-9,6.05452478578099e-9
ids/DeBruijn.TAPL/ids/10,4.0613745095602425e-7,4.053866492327333e-7,4.083342443961462e-7,4.034423467234604e-9,1.8427093622594089e-9,8.584914553410772e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/DeBruijn.TAPL/ids/1,5.224854200087986e-8,5.2174902204087676e-8,5.2348535115929054e-8,2.9395728954654327e-10,2.218916487707571e-10,4.377559295568038e-10
ids/DeBruijn.TAPL/ids/2,9.12008105227003e-8,9.108839226577712e-8,9.137336735541189e-8,4.494342454867566e-10,3.4592036928793716e-10,6.210026775705479e-10
ids/DeBruijn.TAPL/ids/3,1.402417149335697e-7,1.398437237857712e-7,1.4160824033450464e-7,2.2187654218459078e-9,8.71684483326454e-10,4.4184654305229155e-9
ids/DeBruijn.TAPL/ids/4,1.7390510797506654e-7,1.73665833415133e-7,1.743919861957732e-7,1.1220592656726201e-9,7.075640555810358e-10,1.86749817302141e-9
ids/DeBruijn.TAPL/ids/5,2.1288953883982003e-7,2.1267634408276004e-7,2.1315252920903398e-7,8.148834694902692e-10,6.43269262246759e-10,1.0044662695515516e-9
ids/DeBruijn.TAPL/ids/6,2.5235926286977153e-7,2.5202058286866214e-7,2.528442535992285e-7,1.3843541031451228e-9,1.010459873237561e-9,2.2334429901541794e-9
ids/DeBruijn.TAPL/ids/7,2.9113023014963417e-7,2.907346397876242e-7,2.9166569034003063e-7,1.5548408663530946e-9,1.1742920661264335e-9,2.1808823494011013e-9
ids/DeBruijn.TAPL/ids/8,3.304972325495742e-7,3.300112112029701e-7,3.3119729760932415e-7,1.9436066590823776e-9,1.3949079382366166e-9,2.647338338695123e-9
ids/DeBruijn.TAPL/ids/9,3.7015337421891214e-7,3.6918658594971577e-7,3.7213346968664125e-7,4.512066365417648e-9,2.645573947819279e-9,7.769984202724651e-9
ids/DeBruijn.TAPL/ids/10,4.076318906052388e-7,4.0690251486970684e-7,4.088127096005053e-7,3.0901060223229964e-9,2.066008643324495e-9,4.568771409123758e-9
