Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.GenericOpt/adjust/1,8.147444290485606e-8,8.132660058179971e-8,8.186252196890294e-8,7.834435373978697e-10,2.725267937329882e-10,1.416513780675802e-9
adjust/LocallyNameless.GenericOpt/adjust/2,2.519415668850875e-7,2.509638918522522e-7,2.535858478154548e-7,4.183077155576051e-9,2.269473774854443e-9,7.164544638326453e-9
adjust/LocallyNameless.GenericOpt/adjust/3,5.359939669572247e-7,5.353500302523781e-7,5.372661526781319e-7,2.966257625843626e-9,1.7517605133724182e-9,5.325773304065096e-9
adjust/LocallyNameless.GenericOpt/adjust/4,8.928854496032692e-7,8.916000072047516e-7,8.942236462964267e-7,4.40472724476467e-9,3.5128867380839625e-9,5.918255939961589e-9
adjust/LocallyNameless.GenericOpt/adjust/5,1.369533630780945e-6,1.368127439218163e-6,1.3721209305703419e-6,6.217267884469086e-9,4.030501431307209e-9,9.37997367536288e-9
adjust/LocallyNameless.GenericOpt/adjust/6,1.9469428102896607e-6,1.940685093779661e-6,1.960718630270431e-6,3.276585688950591e-8,2.0349228309298626e-8,5.0159888114056154e-8
adjust/LocallyNameless.GenericOpt/adjust/7,2.6550912297219156e-6,2.6523354973134665e-6,2.65976656616511e-6,1.1500281504807752e-8,7.953675880160017e-9,1.9271496339289605e-8
adjust/LocallyNameless.GenericOpt/adjust/8,3.620897668985322e-6,3.6171518282977025e-6,3.6264695233266257e-6,1.4996602681346054e-8,1.1364895461123169e-8,2.267721156878647e-8
adjust/LocallyNameless.GenericOpt/adjust/9,4.850059458865278e-6,4.840193331103658e-6,4.865675828213905e-6,3.9945120627987894e-8,2.7971758097468256e-8,5.82341879512562e-8
adjust/LocallyNameless.GenericOpt/adjust/10,6.253854859806585e-6,6.240721808073101e-6,6.269738135971822e-6,4.929155589168919e-8,3.778107640745953e-8,6.377230117049013e-8
adjust/LocallyNameless.GenericOpt/adjust/11,7.879008038125802e-6,7.874496642578226e-6,7.883899290784183e-6,1.5764561086099428e-8,1.2804613128231144e-8,2.002965136940177e-8
adjust/LocallyNameless.GenericOpt/adjust/12,9.63762494554415e-6,9.609328471539369e-6,9.66898821236317e-6,1.0236472167473349e-7,8.01294824405852e-8,1.2942765221954988e-7
adjust/LocallyNameless.GenericOpt/adjust/13,1.1444366238361184e-5,1.1425659116526432e-5,1.1479955060103361e-5,8.746762679486521e-8,5.8025146378226554e-8,1.3846246714216994e-7
adjust/LocallyNameless.GenericOpt/adjust/14,1.3469526274351696e-5,1.345672624678209e-5,1.3481774410331087e-5,4.217952889407211e-8,3.446939797965484e-8,5.242462265688122e-8
adjust/LocallyNameless.GenericOpt/adjust/15,1.5756782682786363e-5,1.572581006041359e-5,1.5801035831931433e-5,1.2421605553863825e-7,9.095725111581024e-8,1.7811879099224263e-7
adjust/LocallyNameless.GenericOpt/adjust/16,1.8701465287944766e-5,1.8674816727501467e-5,1.8734216944681726e-5,9.869174466244911e-8,7.84176167118995e-8,1.262343857689434e-7
adjust/LocallyNameless.GenericOpt/adjust/17,2.1477448079253295e-5,2.1456453354148295e-5,2.149541823894822e-5,6.239509208004035e-8,4.982849192658594e-8,8.65632088397882e-8
adjust/LocallyNameless.GenericOpt/adjust/18,2.515636488671213e-5,2.509980287283168e-5,2.5271883348378334e-5,2.685099322867223e-7,1.5014405562459946e-7,4.5330854971401664e-7
adjust/LocallyNameless.GenericOpt/adjust/19,2.8447564659163757e-5,2.839150574674997e-5,2.85864758321245e-5,2.747887345459299e-7,1.4340988277098904e-7,5.066191552069872e-7
adjust/LocallyNameless.GenericOpt/adjust/20,3.179103849189137e-5,3.1767529092658414e-5,3.18346499537003e-5,1.1634924314064261e-7,7.089262821814226e-8,2.0537953215167684e-7
