Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.GenericOpt/adjustb/1,1.6390251828274477e-7,1.6357714640209446e-7,1.644426631887806e-7,1.3219931232877259e-9,8.878568612888214e-10,2.0512849913877076e-9
adjustb/LocallyNameless.GenericOpt/adjustb/2,4.4285562006864734e-7,4.418777748631957e-7,4.4412643267137517e-7,3.922047838032125e-9,3.0968955156513194e-9,4.737489389495079e-9
adjustb/LocallyNameless.GenericOpt/adjustb/3,8.138890059083939e-7,8.129982201549834e-7,8.149416750771087e-7,3.2640121307712764e-9,2.5660542877128007e-9,4.169324362048665e-9
adjustb/LocallyNameless.GenericOpt/adjustb/4,1.3458683533092854e-6,1.344351081101228e-6,1.347754072134366e-6,5.653461342559627e-9,4.599325864143812e-9,8.271741316445639e-9
adjustb/LocallyNameless.GenericOpt/adjustb/5,2.018777388172444e-6,2.0125212518715845e-6,2.0324796846009665e-6,3.1114236832263504e-8,1.4691376475249543e-8,5.3211700797868294e-8
adjustb/LocallyNameless.GenericOpt/adjustb/6,2.7972946655291723e-6,2.794196728344413e-6,2.8023843207787303e-6,1.3122799866576778e-8,9.353961447270308e-9,1.9921644662370355e-8
adjustb/LocallyNameless.GenericOpt/adjustb/7,3.8104289424695846e-6,3.8057565854968797e-6,3.817536950668073e-6,1.9656190290611963e-8,1.3484382746764209e-8,3.292866991112446e-8
adjustb/LocallyNameless.GenericOpt/adjustb/8,5.160435931746524e-6,5.155584828632738e-6,5.165025946126084e-6,1.572992642661456e-8,1.3286747008656403e-8,2.08545147344271e-8
adjustb/LocallyNameless.GenericOpt/adjustb/9,6.735648299174986e-6,6.72427713509406e-6,6.74819986864268e-6,4.042411104586242e-8,3.421345193015264e-8,4.915821740607112e-8
adjustb/LocallyNameless.GenericOpt/adjustb/10,8.471784278285579e-6,8.464161439516024e-6,8.487169075622774e-6,3.519072634204939e-8,1.9170112969293916e-8,7.364581433404686e-8
adjustb/LocallyNameless.GenericOpt/adjustb/11,1.040875221484218e-5,1.0386909875999257e-5,1.0449704662010874e-5,9.70527871605597e-8,6.299678854674635e-8,1.4888768894787601e-7
adjustb/LocallyNameless.GenericOpt/adjustb/12,1.2438112512916845e-5,1.2422099548989451e-5,1.2460783137907683e-5,6.57832976083107e-8,4.707886525988903e-8,8.885890161184067e-8
adjustb/LocallyNameless.GenericOpt/adjustb/13,1.4858701317512702e-5,1.4834974670609015e-5,1.4891208405699814e-5,9.65878867925681e-8,6.939204608162518e-8,1.3200702963708728e-7
adjustb/LocallyNameless.GenericOpt/adjustb/14,1.7515614285275818e-5,1.749278281196815e-5,1.7550458221563903e-5,9.353471094301309e-8,6.347882413201131e-8,1.2515733115285535e-7
adjustb/LocallyNameless.GenericOpt/adjustb/15,2.0296232856549852e-5,2.027070467150849e-5,2.0337741654434767e-5,1.1110427047472528e-7,7.223739821688423e-8,1.9064420702839038e-7
adjustb/LocallyNameless.GenericOpt/adjustb/16,2.3413957364948755e-5,2.3379575338653602e-5,2.3477943457629972e-5,1.609598296491743e-7,8.573813548474982e-8,2.6408667162501134e-7
adjustb/LocallyNameless.GenericOpt/adjustb/17,2.6839381984601964e-5,2.6817114521408836e-5,2.687428485375276e-5,9.163883725865712e-8,5.84441761746467e-8,1.359612759296835e-7
adjustb/LocallyNameless.GenericOpt/adjustb/18,3.081824335063834e-5,3.076878934718824e-5,3.087936869750068e-5,1.7836493278779304e-7,1.4363949835502882e-7,2.4311995830570237e-7
adjustb/LocallyNameless.GenericOpt/adjustb/19,3.485436209162537e-5,3.480601690537994e-5,3.491939932830211e-5,1.8393747216106885e-7,1.4130413172863725e-7,2.4356704443982575e-7
adjustb/LocallyNameless.GenericOpt/adjustb/20,3.974093862693472e-5,3.9695498299615124e-5,3.991785866489028e-5,2.6439054644858317e-7,7.313975249826497e-8,5.909904059483431e-7
