Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.GenericOpt/ids/1,5.8737433817430735e-8,5.8608129544606685e-8,5.890332799798489e-8,5.196877843465826e-10,4.233396374666083e-10,7.149461647249377e-10
ids/LocallyNameless.GenericOpt/ids/2,7.745315474264426e-8,7.723329748077442e-8,7.801277487721677e-8,1.0397042768386018e-9,5.962582811158951e-10,1.8472046488961655e-9
ids/LocallyNameless.GenericOpt/ids/3,9.440316932318904e-8,9.426134142371314e-8,9.458380308219598e-8,5.280679241248922e-10,4.190421715253231e-10,6.545102956170693e-10
ids/LocallyNameless.GenericOpt/ids/4,1.2192245908825056e-7,1.216892939390903e-7,1.2220062689099858e-7,8.81848716314087e-10,7.454813050076326e-10,1.16324780452584e-9
ids/LocallyNameless.GenericOpt/ids/5,1.3709786397366202e-7,1.3682251821140458e-7,1.376210188117237e-7,1.2410076642977742e-9,8.600926613345256e-10,1.8072483738089607e-9
ids/LocallyNameless.GenericOpt/ids/6,1.552667036579348e-7,1.5499783428550402e-7,1.5559837284457665e-7,9.690423153083407e-10,7.641964790342486e-10,1.3497948803059338e-9
ids/LocallyNameless.GenericOpt/ids/7,1.8379947978298247e-7,1.8341547835722764e-7,1.8429301786223722e-7,1.424568464991259e-9,1.0052499339685821e-9,2.3527626020303504e-9
ids/LocallyNameless.GenericOpt/ids/8,2.0273152042959176e-7,2.021492535634173e-7,2.0378836882102447e-7,2.464190574460767e-9,1.4228669540864066e-9,4.510244504443288e-9
ids/LocallyNameless.GenericOpt/ids/9,2.2385884087284384e-7,2.2363955071830024e-7,2.2415052158057895e-7,8.774588338103834e-10,6.692595874856605e-10,1.2398103254443318e-9
ids/LocallyNameless.GenericOpt/ids/10,2.4424302327902173e-7,2.437962981782917e-7,2.447314340308345e-7,1.5863247676712172e-9,1.3122951395920583e-9,1.9887952493784517e-9
