Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.Opt/adjust/1,5.8700126215115204e-8,5.862884755019784e-8,5.8809214516719125e-8,2.8758933899300696e-10,2.1753972635051485e-10,4.520872656024609e-10
adjust/LocallyNameless.Lazy.Opt/adjust/2,2.175845728727629e-7,2.1719789134487702e-7,2.1814941288405884e-7,1.5481483923775379e-9,9.876095824338828e-10,2.426653469720473e-9
adjust/LocallyNameless.Lazy.Opt/adjust/3,4.4261706424598744e-7,4.4215548760270685e-7,4.439515364279375e-7,2.445928967143649e-9,9.101571750899803e-10,5.549638209535563e-9
adjust/LocallyNameless.Lazy.Opt/adjust/4,7.948178093788897e-7,7.937363055184375e-7,7.971408520031263e-7,5.225023447048471e-9,3.0869828626841402e-9,8.282749859243817e-9
adjust/LocallyNameless.Lazy.Opt/adjust/5,1.239634521232798e-6,1.2382611796494616e-6,1.2414395414416682e-6,5.584062113330595e-9,4.1648275829525355e-9,7.2940877399895484e-9
adjust/LocallyNameless.Lazy.Opt/adjust/6,1.797439661822101e-6,1.7957416714301183e-6,1.801157891516068e-6,7.932475105893583e-9,4.990362879677287e-9,1.3777433026071461e-8
adjust/LocallyNameless.Lazy.Opt/adjust/7,2.5025319200201026e-6,2.498371603529025e-6,2.5080546586024393e-6,1.6961532211094315e-8,1.1598683186965554e-8,2.4715136670953462e-8
adjust/LocallyNameless.Lazy.Opt/adjust/8,3.367342244020148e-6,3.359165272211414e-6,3.4018625590488838e-6,4.665533161030443e-8,1.3359423508192134e-8,1.023499625494871e-7
adjust/LocallyNameless.Lazy.Opt/adjust/9,4.407747750179956e-6,4.4055544200182545e-6,4.412861090847692e-6,1.0707336820330582e-8,6.135066136434284e-9,1.7520295684968078e-8
adjust/LocallyNameless.Lazy.Opt/adjust/10,5.571281090844289e-6,5.561936233875119e-6,5.593228065945087e-6,4.5569889092889754e-8,2.5932314576007346e-8,8.50852023452262e-8
adjust/LocallyNameless.Lazy.Opt/adjust/11,6.941453615211231e-6,6.932443360700989e-6,6.956251396965314e-6,3.858963882397612e-8,2.571423360470018e-8,6.122277197288497e-8
adjust/LocallyNameless.Lazy.Opt/adjust/12,8.478371037706599e-6,8.469955540753684e-6,8.486484268187694e-6,2.756660290910143e-8,2.336269662713886e-8,3.316811910192531e-8
adjust/LocallyNameless.Lazy.Opt/adjust/13,1.029725942272577e-5,1.0281113056989169e-5,1.0316343253649251e-5,6.012493047280961e-8,4.907655478253891e-8,7.432970913893604e-8
adjust/LocallyNameless.Lazy.Opt/adjust/14,1.220315868449542e-5,1.2164107819195989e-5,1.231470278216448e-5,2.1503693882489718e-7,9.198895224767421e-8,4.175849566515035e-7
adjust/LocallyNameless.Lazy.Opt/adjust/15,1.4374038401553425e-5,1.432604917176478e-5,1.4486129760618534e-5,2.3086327868013016e-7,1.1092462508957377e-7,4.343201716193905e-7
adjust/LocallyNameless.Lazy.Opt/adjust/16,1.7063251012394683e-5,1.7044961596210605e-5,1.7096719437987954e-5,8.105024289024311e-8,4.795584187172257e-8,1.210280085128072e-7
adjust/LocallyNameless.Lazy.Opt/adjust/17,1.968042767201067e-5,1.964241465200564e-5,1.9832711852980766e-5,2.0575680819303523e-7,7.233454911812742e-8,4.4349379480793423e-7
