Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.Opt/adjustb/1,1.5678388870657323e-7,1.566246185786848e-7,1.5712023304627467e-7,7.121931635937693e-10,4.379355309220076e-10,1.3065179079656057e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/2,4.405948326147593e-7,4.399333528547168e-7,4.4159279228953576e-7,2.6457040285910703e-9,1.8410998208889081e-9,4.2306050419112736e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/3,8.179583308764275e-7,8.1722655028734e-7,8.190603492797125e-7,3.1256191015970843e-9,2.509884649082967e-9,4.186576386355433e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/4,1.3620758082631538e-6,1.3603278563965645e-6,1.364853022504345e-6,7.26596498866612e-9,4.95335361470928e-9,1.0786104889116732e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/5,1.9993133801151396e-6,1.997985536964857e-6,2.0010340050868907e-6,4.846169803691432e-9,3.935811632544649e-9,5.927177226715879e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/6,2.773349458425366e-6,2.7665449346103028e-6,2.7829366418750912e-6,2.8948660385009053e-8,2.0442333000101884e-8,3.965668483050821e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/7,3.720119403901218e-6,3.715969020125224e-6,3.7263786001275254e-6,1.6855410053070035e-8,1.1767400209450152e-8,2.7064772815427995e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/8,4.746881553977147e-6,4.738669352361624e-6,4.758715163947515e-6,3.241458219386124e-8,2.1055422550134834e-8,5.132811427951033e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/9,6.204602776115771e-6,6.19608873910836e-6,6.220303995126023e-6,3.763507458628649e-8,2.2519026947831704e-8,6.458756468090389e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/10,7.696185711222734e-6,7.67376898626749e-6,7.756415978855462e-6,1.1162848157386506e-7,5.3608870155222294e-8,2.0667864254068772e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/11,9.368288096435728e-6,9.358552017194094e-6,9.384268672188308e-6,4.257210604542489e-8,2.507050918463324e-8,7.452083042569641e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/12,1.1389264247796115e-5,1.1376434085774769e-5,1.1403056578903852e-5,4.619455319158139e-8,3.82752637865249e-8,5.6446867037864996e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/13,1.340624292606381e-5,1.338894588874576e-5,1.3432051086832402e-5,6.534179781509578e-8,5.2865378540502826e-8,8.6684470039352e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/14,1.5823244032400394e-5,1.5795186338518658e-5,1.587055338084125e-5,1.200548266327172e-7,8.494579827505972e-8,1.914013723365392e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/15,1.8456942055367756e-5,1.8428073312645207e-5,1.8490222507059738e-5,1.0543517827409546e-7,7.297948179338382e-8,1.720451942575076e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/16,2.1538392742249885e-5,2.1512494572824125e-5,2.1573739683051146e-5,9.575563423224187e-8,7.009040203299221e-8,1.3603344076119385e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/17,2.4795487047840585e-5,2.4776074424660334e-5,2.4863455672720713e-5,1.0691718595925437e-7,3.8203895677513814e-8,2.2353989386665008e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/18,2.7968499000850982e-5,2.793788901450998e-5,2.80394493656739e-5,1.5409380184964585e-7,8.68074792305306e-8,2.89818271424009e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/19,3.192773837722855e-5,3.188543243948096e-5,3.197311875199361e-5,1.4073439655165133e-7,1.2332575344498887e-7,1.6039861661897493e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/20,3.600564120356632e-5,3.597680618701451e-5,3.6034896204600624e-5,9.258203129889455e-8,7.24218306747073e-8,1.219400943119802e-7
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.Opt/adjustb/1,1.5355917724764224e-7,1.5338427825088398e-7,1.5383031926949302e-7,7.157940319185601e-10,5.477620139587274e-10,9.125465938980049e-10
adjustb/LocallyNameless.Lazy.Opt/adjustb/2,4.28493646598423e-7,4.2788000337684205e-7,4.2986861477634987e-7,2.8577926786914258e-9,1.8116748526551223e-9,5.231312946836328e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/3,7.885280545354485e-7,7.87359740535492e-7,7.906281806034716e-7,4.933570356990309e-9,3.559973785436664e-9,6.829311423228091e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/4,1.304038739925785e-6,1.3023756748522236e-6,1.3067829817252575e-6,7.425247736066415e-9,4.835760262962407e-9,1.1746980204816858e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/5,1.9280560839635307e-6,1.926169520404099e-6,1.930247979524657e-6,6.774625238069059e-9,5.398633807516421e-9,9.043208678818589e-9
adjustb/LocallyNameless.Lazy.Opt/adjustb/6,2.666512529168224e-6,2.6603275695861795e-6,2.675956716130637e-6,2.7270970761675614e-8,1.9057121782020093e-8,4.022938364835032e-8
adjustb/LocallyNameless.Lazy.Opt/adjustb/7,3.869225435514553e-6,3.777985396073162e-6,3.9596318484332765e-6,2.8030230823703836e-7,2.6886655799175043e-7,2.918751710357932e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/8,5.340235579764267e-6,5.319058999616451e-6,5.373286540614038e-6,8.881923320401165e-8,5.9545304274373135e-8,1.3395295079759548e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/9,6.86211353358655e-6,6.843988311874674e-6,6.8899391778154064e-6,7.415192950653957e-8,5.190070808672252e-8,1.1194926376081462e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/10,8.510681226887702e-6,8.475919906026732e-6,8.563707346361196e-6,1.50431463977484e-7,1.1823953020148715e-7,1.8801782152317588e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/11,1.0328349975071179e-5,1.028965814351192e-5,1.0383620281208186e-5,1.5631508954039663e-7,1.1602249798797573e-7,2.2932896542034003e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/12,1.2090110959527822e-5,1.205499157561832e-5,1.2123071153101452e-5,1.1252108953112522e-7,9.28814706587232e-8,1.3450745412173982e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/13,1.4663622914498833e-5,1.4626857014700527e-5,1.4702205772870754e-5,1.257077835268361e-7,1.0637695771514987e-7,1.4717944779556532e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/14,1.684290863648382e-5,1.658217437410517e-5,1.696791464687827e-5,6.187426265814286e-7,4.34957919424073e-7,8.175063914769539e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/15,1.7836101259785293e-5,1.7810258741068444e-5,1.7878236053026193e-5,1.1356791231732876e-7,8.05542163854218e-8,1.6050831126405166e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/16,2.0653191692757883e-5,2.0610256801715862e-5,2.0704917450942603e-5,1.5609099976820855e-7,1.3438139893281142e-7,1.8435541614944352e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/17,2.3981557907960457e-5,2.394252933577787e-5,2.4036461923744682e-5,1.5914669956058603e-7,1.1224974098379224e-7,2.162205249639429e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/18,2.708300869069874e-5,2.7047210928829433e-5,2.7140482859069573e-5,1.5137187399869928e-7,9.854047650262685e-8,2.4708133824301745e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/19,3.095419729393993e-5,3.090322547558326e-5,3.1022684134067304e-5,1.944103163704302e-7,1.4729012720537005e-7,2.597969147360617e-7
adjustb/LocallyNameless.Lazy.Opt/adjustb/20,3.481464611264097e-5,3.476642387869951e-5,3.48835892044058e-5,1.9979881861963004e-7,1.494788633706015e-7,2.626876162347756e-7
