Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.Opt/capt/1,1.0964951936046921e-7,1.0957304643746489e-7,1.0975138468905968e-7,2.986453004326668e-10,2.255742383084473e-10,4.212621603566052e-10
capt/LocallyNameless.Lazy.Opt/capt/2,1.37040421595692e-7,1.3696328342163458e-7,1.3712718419861013e-7,2.6471386282648503e-10,2.2124337248419853e-10,3.3155548883360157e-10
capt/LocallyNameless.Lazy.Opt/capt/3,1.6329723036635305e-7,1.6308456807760521e-7,1.635590413855994e-7,8.059300275767266e-10,6.136778211977546e-10,1.1446717083585177e-9
capt/LocallyNameless.Lazy.Opt/capt/4,2.0151098806960903e-7,2.0121849998823528e-7,2.021461506855702e-7,1.4132201500252121e-9,7.492313327232255e-10,2.5015095768886004e-9
capt/LocallyNameless.Lazy.Opt/capt/5,2.36737815585482e-7,2.365197347373014e-7,2.3748870075129595e-7,1.2083629109601026e-9,3.423463320545806e-10,2.4690186462607154e-9
capt/LocallyNameless.Lazy.Opt/capt/6,2.624285142140449e-7,2.6201572118866563e-7,2.63532306743934e-7,2.090671387345943e-9,7.834743564870963e-10,3.5593018651594037e-9
capt/LocallyNameless.Lazy.Opt/capt/7,2.856689984410887e-7,2.8545230653854117e-7,2.8590950195626053e-7,7.790961716455999e-10,5.981425754220465e-10,1.015045590532348e-9
capt/LocallyNameless.Lazy.Opt/capt/8,3.128757569835529e-7,3.1254105255530524e-7,3.134667826172265e-7,1.548895925566931e-9,1.0525979550359008e-9,2.631621473009044e-9
capt/LocallyNameless.Lazy.Opt/capt/9,3.393484616519785e-7,3.39002479130565e-7,3.3987113157381237e-7,1.3993889630067269e-9,1.0045755665321544e-9,2.2303612973158574e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.Opt/capt/1,1.4654741281317385e-7,1.4620412408808084e-7,1.4693886359740042e-7,1.2569279465288477e-9,9.825591086617677e-10,1.8421365739751999e-9
capt/LocallyNameless.Lazy.Opt/capt/2,1.7143684547454843e-7,1.705899598619932e-7,1.7238437527514237e-7,3.0489426423965013e-9,2.78301606820332e-9,3.3795466992038587e-9
capt/LocallyNameless.Lazy.Opt/capt/3,2.0204859855757017e-7,2.0127943040267646e-7,2.0317240355740572e-7,3.104240527186788e-9,2.4411650297726996e-9,4.62646373178943e-9
capt/LocallyNameless.Lazy.Opt/capt/4,2.449015791298689e-7,2.4408232081862224e-7,2.457991795272428e-7,2.8249744187248302e-9,2.609059755921119e-9,3.1588803313416545e-9
capt/LocallyNameless.Lazy.Opt/capt/5,2.881638634497948e-7,2.8769298084101945e-7,2.88603336747292e-7,1.4746784775299491e-9,1.1654703037103523e-9,1.9926122725725493e-9
capt/LocallyNameless.Lazy.Opt/capt/6,3.176411071210374e-7,3.1669701260413046e-7,3.1910028505584946e-7,3.696852614918907e-9,2.551374840137349e-9,6.148493934904266e-9
capt/LocallyNameless.Lazy.Opt/capt/7,3.444132100540128e-7,3.4291732163579826e-7,3.466321647766153e-7,5.943431158319134e-9,3.895300371564323e-9,9.364558485880505e-9
capt/LocallyNameless.Lazy.Opt/capt/8,3.7180654054580663e-7,3.7095653899280284e-7,3.7270634467850026e-7,2.8215601962679195e-9,2.412516333793488e-9,3.3777201905626797e-9
capt/LocallyNameless.Lazy.Opt/capt/9,4.0374815463140004e-7,4.028523713023063e-7,4.049063084072318e-7,3.4372478053792436e-9,2.724346399961168e-9,4.895442761434704e-9
