Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.Opt/con/1,5.0045601358948726e-8,4.906270099387804e-8,5.086249839349665e-8,2.9811095555384843e-9,2.4439222895940045e-9,3.533773135396446e-9
con/LocallyNameless.Lazy.Opt/con/2,7.065064301483675e-8,7.06126057547196e-8,7.072398592041548e-8,1.7291288704746793e-10,1.2347821358116274e-10,2.723336114183076e-10
con/LocallyNameless.Lazy.Opt/con/3,1.099484043104041e-7,1.088090786240476e-7,1.1109752776516946e-7,3.910099130496481e-9,3.1809138456245023e-9,4.841269860494726e-9
con/LocallyNameless.Lazy.Opt/con/4,1.3901510747536193e-7,1.3784189628165727e-7,1.403783910389444e-7,4.3127531605335464e-9,3.5706571276725545e-9,5.478917693253551e-9
con/LocallyNameless.Lazy.Opt/con/5,1.7413780234362257e-7,1.7325204178368085e-7,1.7489926571958868e-7,2.6440233651295995e-9,2.0813511846904846e-9,3.4021840238395818e-9
con/LocallyNameless.Lazy.Opt/con/6,1.977241438340277e-7,1.9683485638236572e-7,1.9875413696556962e-7,3.1619805084712117e-9,2.7356474976374148e-9,3.873919979800567e-9
con/LocallyNameless.Lazy.Opt/con/7,2.2951326174362528e-7,2.2788610061793637e-7,2.3095962776593994e-7,5.022454001963953e-9,4.2641322398213615e-9,6.097383141835021e-9
con/LocallyNameless.Lazy.Opt/con/8,2.5812318033431695e-7,2.569901641027293e-7,2.58932927465546e-7,3.2056713889856453e-9,2.4477886140450076e-9,4.440753866776253e-9
con/LocallyNameless.Lazy.Opt/con/9,2.831139880273826e-7,2.820685906205366e-7,2.841505178012014e-7,3.2584612920283673e-9,2.7958300563463194e-9,3.904552399535371e-9
con/LocallyNameless.Lazy.Opt/con/10,3.1069133681984135e-7,3.09082626667754e-7,3.1183263169587465e-7,4.573971547426419e-9,3.3994178748673686e-9,7.219475092715747e-9
con/LocallyNameless.Lazy.Opt/con/11,3.4025303390804286e-7,3.389501815601982e-7,3.412111915111158e-7,4.09258894822622e-9,2.9594260427197323e-9,6.084848636742134e-9
con/LocallyNameless.Lazy.Opt/con/12,3.6838530596137275e-7,3.669525370269965e-7,3.698605812358224e-7,4.884316284413391e-9,3.98155456462017e-9,5.969776378547903e-9
con/LocallyNameless.Lazy.Opt/con/13,3.972613727847793e-7,3.9562279526012754e-7,3.9986878983245074e-7,6.9644474909950355e-9,4.7451004883391475e-9,1.0150715788763601e-8
con/LocallyNameless.Lazy.Opt/con/14,4.2143683627733257e-7,4.2044102793207796e-7,4.223044942205223e-7,3.1513215421526115e-9,2.596648289269902e-9,3.993107971061174e-9
con/LocallyNameless.Lazy.Opt/con/15,4.450565852651e-7,4.435969977131334e-7,4.465085320242836e-7,4.953295397372324e-9,4.360229033340274e-9,5.718799369377469e-9
con/LocallyNameless.Lazy.Opt/con/16,4.6586408553160477e-7,4.651549496649679e-7,4.667572933028568e-7,2.6431520657629164e-9,2.1895971700370796e-9,3.3451424606566156e-9
con/LocallyNameless.Lazy.Opt/con/17,4.926757714343576e-7,4.912585253644656e-7,4.942944309668557e-7,5.101139100576597e-9,4.2195607296607865e-9,6.378020053010011e-9
con/LocallyNameless.Lazy.Opt/con/18,5.2589830936938e-7,5.243056271342702e-7,5.273874681854974e-7,5.2587743276660235e-9,4.2657189042315554e-9,6.322122712402566e-9
con/LocallyNameless.Lazy.Opt/con/19,5.596587938320073e-7,5.577525083954019e-7,5.612534173509867e-7,5.724399445586476e-9,4.408935117266501e-9,7.455239185810353e-9
con/LocallyNameless.Lazy.Opt/con/20,5.889001590223819e-7,5.875006261389486e-7,5.89979392961292e-7,4.222990756123832e-9,3.008642940944107e-9,7.1134304112714455e-9
