Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.Opt/ids/1,4.4548414520993736e-8,4.451827327851856e-8,4.458850771169034e-8,1.1256061578660728e-10,8.188720383005634e-11,1.6622972180748525e-10
ids/LocallyNameless.Lazy.Opt/ids/2,5.4606214234089594e-8,5.4566328060462495e-8,5.4646506914629096e-8,1.3405169653660425e-10,1.1221732754528418e-10,1.6148232467540209e-10
ids/LocallyNameless.Lazy.Opt/ids/3,6.433393744475176e-8,6.428577323311263e-8,6.438392100955709e-8,1.6301111835001432e-10,1.3570533628810032e-10,2.0232553751923413e-10
ids/LocallyNameless.Lazy.Opt/ids/4,8.600808398462403e-8,8.59122681692949e-8,8.610919656423777e-8,3.2503643784184485e-10,2.611546508687114e-10,4.195010765118779e-10
ids/LocallyNameless.Lazy.Opt/ids/5,9.576978390529961e-8,9.564228646839397e-8,9.607855896103324e-8,6.488318573226437e-10,3.3006830439473134e-10,1.2080034697108744e-9
ids/LocallyNameless.Lazy.Opt/ids/6,1.0469836828270225e-7,1.0463318899297025e-7,1.0486413392640733e-7,3.221113090799019e-10,1.5282383462696767e-10,6.023751876729992e-10
ids/LocallyNameless.Lazy.Opt/ids/7,1.148350823346518e-7,1.1473772138614253e-7,1.1502283539001355e-7,4.613463314574499e-10,2.776485425833186e-10,7.944704494999629e-10
ids/LocallyNameless.Lazy.Opt/ids/8,1.2516159111653214e-7,1.2505488844445525e-7,1.2527609979768688e-7,3.7255405073408854e-10,2.915870933942081e-10,4.6323567534639554e-10
ids/LocallyNameless.Lazy.Opt/ids/9,1.3385380105387767e-7,1.3370865004977692e-7,1.3403142078213014e-7,5.561683477638504e-10,4.143749983007714e-10,7.358910120940558e-10
ids/LocallyNameless.Lazy.Opt/ids/10,1.444201982193403e-7,1.4424567294466327e-7,1.447290550818784e-7,7.459518545390138e-10,4.990036282557412e-10,1.1699439994275222e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
ids/LocallyNameless.Lazy.Opt/ids/1,6.401665003020882e-8,6.390517395971774e-8,6.416008841354629e-8,4.2108058583798677e-10,3.0960022951868096e-10,5.306978028416539e-10
ids/LocallyNameless.Lazy.Opt/ids/2,8.712275900541874e-8,8.70208530104791e-8,8.726131621384849e-8,3.8745695477522655e-10,2.5348433441362993e-10,5.648762840214953e-10
