Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.Ott/adjust/1,4.7065890673869996e-8,4.701938924213234e-8,4.7122825022031325e-8,1.6421203849666707e-10,1.3286920340616216e-10,2.062748327825399e-10
adjust/LocallyNameless.Lazy.Ott/adjust/2,2.407730297890675e-7,2.403773841344234e-7,2.416376907272746e-7,1.7955622828211392e-9,1.082418637441963e-9,3.1208125838826684e-9
adjust/LocallyNameless.Lazy.Ott/adjust/3,6.990402035095111e-7,6.964652085157654e-7,7.0692058464955e-7,1.3470483988575952e-8,5.358385053932721e-9,2.7514091899805095e-8
adjust/LocallyNameless.Lazy.Ott/adjust/4,1.5216942221583172e-6,1.5196923954681806e-6,1.5237660684026065e-6,7.013017346617613e-9,5.751241453551648e-9,8.70900745660519e-9
adjust/LocallyNameless.Lazy.Ott/adjust/5,2.881269620608835e-6,2.873642308489571e-6,2.9116626970378858e-6,4.6965962041501014e-8,8.616953185286226e-9,9.834156672782858e-8
adjust/LocallyNameless.Lazy.Ott/adjust/6,4.881658512979397e-6,4.878212170751795e-6,4.885405913151801e-6,1.1537750760155402e-8,9.086242351107935e-9,1.7260876254626083e-8
adjust/LocallyNameless.Lazy.Ott/adjust/7,7.366561453408753e-6,7.354608611720937e-6,7.389898230030559e-6,5.427667256132618e-8,2.505886226741706e-8,9.426846498851734e-8
adjust/LocallyNameless.Lazy.Ott/adjust/8,1.066400255621912e-5,1.0651891091786756e-5,1.0676728189654172e-5,4.0327580523669643e-8,3.206983140570947e-8,5.403157525398087e-8
adjust/LocallyNameless.Lazy.Ott/adjust/9,1.493922499640152e-5,1.4926607056572718e-5,1.495649089979966e-5,4.860709623591364e-8,3.745539301741122e-8,6.46881359115633e-8
adjust/LocallyNameless.Lazy.Ott/adjust/10,1.9715421097060352e-5,1.9694544098494864e-5,1.9740169640976956e-5,7.202203174973765e-8,5.4361413703915225e-8,1.1027991198339656e-7
adjust/LocallyNameless.Lazy.Ott/adjust/11,2.557244847394431e-5,2.5545664972675076e-5,2.5602165422028296e-5,9.456515863344605e-8,7.049746482102458e-8,1.412790040721159e-7
adjust/LocallyNameless.Lazy.Ott/adjust/12,3.254557622896222e-5,3.251884865875627e-5,3.2578539724645495e-5,9.785971945656274e-8,7.61847293651359e-8,1.4945189447949632e-7
adjust/LocallyNameless.Lazy.Ott/adjust/13,4.1122427892694384e-5,4.1062425354316304e-5,4.1229029424270117e-5,2.515349374129464e-7,1.5573287134638747e-7,4.0532873075531965e-7
adjust/LocallyNameless.Lazy.Ott/adjust/14,5.0821420273686105e-5,5.0752331736736325e-5,5.101961026723622e-5,3.4043856106600903e-7,1.6992381765052094e-7,6.769265345520171e-7
adjust/LocallyNameless.Lazy.Ott/adjust/15,6.162026974476392e-5,6.155346888245565e-5,6.174421177337204e-5,2.9877681309314955e-7,1.6994415013223142e-7,5.330279658804266e-7
adjust/LocallyNameless.Lazy.Ott/adjust/16,7.43092707014155e-5,7.41884271263448e-5,7.453411428985151e-5,5.330573203523354e-7,2.4181432632144243e-7,9.263118617980841e-7
adjust/LocallyNameless.Lazy.Ott/adjust/17,8.885184508450626e-5,8.878295194041842e-5,8.893446907116713e-5,2.601943198039142e-7,2.1514285087031425e-7,3.2159894518440157e-7
adjust/LocallyNameless.Lazy.Ott/adjust/18,1.0557091602093733e-4,1.054302800069586e-4,1.058371465882159e-4,6.172980257054709e-7,3.552767132345884e-7,1.0663339035968551e-6
adjust/LocallyNameless.Lazy.Ott/adjust/19,1.235530651323001e-4,1.2337227370161133e-4,1.2398578434834155e-4,8.717865169067421e-7,5.067333275963177e-7,1.5937024448961419e-6
adjust/LocallyNameless.Lazy.Ott/adjust/20,1.4303339058376995e-4,1.427826721092585e-4,1.4377754937242268e-4,1.2744071872199585e-6,5.684655463598271e-7,2.4345870013464205e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjust/LocallyNameless.Lazy.Ott/adjust/1,5.988400443185776e-8,5.97853544670833e-8,6.015886600957458e-8,4.976253216600174e-10,2.2617475306117203e-10,1.0189312806920797e-9
adjust/LocallyNameless.Lazy.Ott/adjust/2,2.8511259970554424e-7,2.8477956424500057e-7,2.8560379967819486e-7,1.3870315304204666e-9,1.0263674413118468e-9,1.8233777113376885e-9
adjust/LocallyNameless.Lazy.Ott/adjust/3,8.24580794236605e-7,8.230983059526341e-7,8.26257412528563e-7,5.2017766296662346e-9,4.106484092118019e-9,6.7326843152055724e-9
adjust/LocallyNameless.Lazy.Ott/adjust/4,1.6839794438365881e-6,1.6827708026833768e-6,1.6855708470172719e-6,4.773345820797672e-9,3.922121603187301e-9,6.244536448840661e-9
adjust/LocallyNameless.Lazy.Ott/adjust/5,3.0728838701557185e-6,3.0561120311631987e-6,3.1210716065978657e-6,8.831047974960693e-8,4.188997873673506e-8,1.6773772217819073e-7
adjust/LocallyNameless.Lazy.Ott/adjust/6,5.095524767366448e-6,5.089547794807823e-6,5.103482285312852e-6,2.3868380250135815e-8,1.6643894779650893e-8,3.271773758771914e-8
adjust/LocallyNameless.Lazy.Ott/adjust/7,7.618301732363907e-6,7.5941278915378874e-6,7.65784032621669e-6,1.0164618375462206e-7,6.957891232680288e-8,1.3809085374963711e-7
adjust/LocallyNameless.Lazy.Ott/adjust/8,1.1041429635487829e-5,1.1023024192001407e-5,1.1074775766723256e-5,8.14767215322185e-8,5.024324345276882e-8,1.2735136868143012e-7
adjust/LocallyNameless.Lazy.Ott/adjust/9,1.563895894247042e-5,1.5613541295345834e-5,1.56640499004638e-5,8.259368573877663e-8,6.810151139045192e-8,1.0109734290552978e-7
