Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.Ott/adjustb/1,1.6164986180173552e-7,1.610468589744352e-7,1.6213597367462074e-7,1.8169941725782946e-9,1.268698305631407e-9,2.4950984504358937e-9
adjustb/LocallyNameless.Lazy.Ott/adjustb/2,5.880240924390995e-7,5.871939897174836e-7,5.89295537481809e-7,3.243319786882479e-9,2.395633901273295e-9,5.174155176316407e-9
adjustb/LocallyNameless.Lazy.Ott/adjustb/3,1.3493042574710818e-6,1.3461848771828994e-6,1.3535976652639435e-6,1.2033469289669189e-8,9.516371309121527e-9,1.4890236698154691e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/4,2.6593786690275323e-6,2.6539017159498565e-6,2.6671343373206267e-6,2.1994067035088717e-8,1.5412962057176532e-8,3.006956167357977e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/5,4.598402480401134e-6,4.595766432758447e-6,4.602722804512776e-6,1.1024949855208047e-8,7.567115480995611e-9,1.7924060081252385e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/6,7.263841401682313e-6,7.246525737254082e-6,7.318477943497015e-6,9.497616229044669e-8,3.5030932398152e-8,1.8886191929884546e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/7,1.0704317617150531e-5,1.0691002408203621e-5,1.0719344391283326e-5,4.6253413824616035e-8,3.428558614365456e-8,6.429320141352046e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/8,1.454816562595695e-5,1.4528852242312246e-5,1.4588852770648731e-5,9.479898297275393e-8,5.0522828967416115e-8,1.752749110808258e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/9,1.992422636370461e-5,1.9887437071913138e-5,1.999889420388689e-5,1.6770887119566677e-7,9.421525349072478e-8,3.1440019785642785e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/10,2.584009468641019e-5,2.57758909351474e-5,2.591759385509313e-5,2.416909381592609e-7,1.8483909772172693e-7,3.4771786479087374e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/11,3.297330529751304e-5,3.2958285181516645e-5,3.299651582894809e-5,6.456857597093368e-8,4.511754347576588e-8,9.397888567229177e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/12,4.167622657494925e-5,4.1606553635682046e-5,4.178602363037631e-5,2.9303099418832304e-7,1.9513324431183165e-7,4.192101265326041e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/13,5.137700956224325e-5,5.130989632354849e-5,5.146138690512729e-5,2.4302092072911565e-7,1.7826887841290807e-7,3.5430359442637066e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/14,6.247781378440387e-5,6.240496086513086e-5,6.261265162812428e-5,3.2258356145593234e-7,2.0115775503143743e-7,5.192420351852562e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/15,7.512347897646837e-5,7.505278905377336e-5,7.519934473465106e-5,2.423988688128935e-7,1.816083217773659e-7,3.474351209864736e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/16,9.074473768160376e-5,9.040944874184623e-5,9.129488341491178e-5,1.3856662195195036e-6,8.434554894355668e-7,2.358751001541395e-6
adjustb/LocallyNameless.Lazy.Ott/adjustb/17,1.0644977097809286e-4,1.0635658719662586e-4,1.0659842597439398e-4,4.045436216731387e-7,2.682661853007869e-7,6.55404840308794e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/18,1.252729867641538e-4,1.2506935372129504e-4,1.255682923720365e-4,8.41408102072697e-7,5.796686451173784e-7,1.2681236722588809e-6
adjustb/LocallyNameless.Lazy.Ott/adjustb/19,1.444210273286853e-4,1.442634735762727e-4,1.4466060229018185e-4,6.638563024445798e-7,4.6773755537539055e-7,1.0760936454619113e-6
adjustb/LocallyNameless.Lazy.Ott/adjustb/20,1.6772350250598227e-4,1.6697785352715679e-4,1.6859594087423278e-4,2.7818797985440266e-6,2.4315101821073252e-6,3.255141420896867e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.Ott/adjustb/1,1.384517293120826e-7,1.382842370388803e-7,1.3873582368643367e-7,7.349981422237681e-10,4.816828099268155e-10,1.3115737387541276e-9
adjustb/LocallyNameless.Lazy.Ott/adjustb/2,5.502234083263631e-7,5.49271701297282e-7,5.520098208735869e-7,4.297246909656039e-9,2.8816510794495565e-9,7.001608704076292e-9
adjustb/LocallyNameless.Lazy.Ott/adjustb/3,1.300514796501174e-6,1.2973543083049021e-6,1.3058370017733639e-6,1.3209013285698507e-8,8.694212785349915e-9,1.9567797698457825e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/4,2.5786509430436692e-6,2.5723425073594597e-6,2.585250166265295e-6,2.2189168795029622e-8,1.769827337678767e-8,2.918555334462526e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/5,4.378240732274773e-6,4.3733318208440556e-6,4.383288282753609e-6,1.7243957235469288e-8,1.2008785255328033e-8,2.2710390184494028e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/6,6.8554820389725515e-6,6.835992584617163e-6,6.880940201687057e-6,7.376850250562317e-8,6.060675025031293e-8,9.072039118059763e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/7,1.0112666253837113e-5,1.0083268726307157e-5,1.0158638394823314e-5,1.2434033599210127e-7,7.773844024834978e-8,2.145445501665982e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/8,1.3645800377200396e-5,1.3637145164259824e-5,1.3654700275358542e-5,2.8816432382787967e-8,2.4214524143629755e-8,3.475504664914876e-8
adjustb/LocallyNameless.Lazy.Ott/adjustb/9,1.8748233942590296e-5,1.8710187216309003e-5,1.879167170671955e-5,1.3006439467004893e-7,1.0972883169980336e-7,1.6215766662900716e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/10,2.448394169592762e-5,2.444316472841136e-5,2.455639300329856e-5,1.6614661298780366e-7,1.2025020992688928e-7,2.7544600589882314e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/11,3.1522193838923876e-5,3.1489049260118374e-5,3.156514735529972e-5,1.27108548629365e-7,9.474798440924106e-8,1.7399754068317436e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/12,4.003193544225125e-5,3.997416914717524e-5,4.012514869500017e-5,2.43644166260909e-7,1.6857070423994238e-7,3.6638041257856484e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/13,4.968971985865607e-5,4.960133832048555e-5,4.982074306076959e-5,3.7270164673948315e-7,2.4043644873447506e-7,6.047038007858701e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/14,6.013313909850061e-5,6.007000336533641e-5,6.0314568199768613e-5,3.221290010010475e-7,1.27917293845866e-7,6.283938820275482e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/15,7.317357322633799e-5,7.304835861696018e-5,7.337637878111083e-5,5.086910750201789e-7,3.7474730846441013e-7,7.181446172735304e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/16,8.798548854581167e-5,8.792072522806651e-5,8.805981710560423e-5,2.389751833506217e-7,1.8215976802110329e-7,3.4198294253944953e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/17,1.0438432177221732e-4,1.0429087859163862e-4,1.0457226987109046e-4,4.1513475853292585e-7,2.4813792413971045e-7,6.711332987219506e-7
adjustb/LocallyNameless.Lazy.Ott/adjustb/18,1.2245511534470085e-4,1.2223682830517213e-4,1.227968054830234e-4,8.739096509998639e-7,6.721455985135852e-7,1.1791235798016345e-6
adjustb/LocallyNameless.Lazy.Ott/adjustb/19,1.415518866215992e-4,1.4125528255403373e-4,1.42030943809957e-4,1.2210754330615102e-6,8.088636130887226e-7,2.0371358132236533e-6
adjustb/LocallyNameless.Lazy.Ott/adjustb/20,1.614968157398962e-4,1.614226320383347e-4,1.616215374598772e-4,3.1923025932547434e-7,2.2280768696429422e-7,5.209463234026568e-7
