Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.Ott/capt/1,1.1091232320109493e-7,1.1060134391559023e-7,1.1207851081088902e-7,1.7796815125004199e-9,2.3462347311995664e-10,3.715616269188093e-9
capt/LocallyNameless.Lazy.Ott/capt/2,1.6206304238531792e-7,1.617774453336885e-7,1.6285988126058377e-7,1.5248140029353336e-9,5.091461743300167e-10,2.8534561295719002e-9
capt/LocallyNameless.Lazy.Ott/capt/3,2.3547984931357496e-7,2.3523554673664655e-7,2.358300435380866e-7,1.0216456019398578e-9,6.878217105293285e-10,1.6289600806599827e-9
capt/LocallyNameless.Lazy.Ott/capt/4,3.0217511544675936e-7,3.01798223832246e-7,3.0269068031872404e-7,1.4989994967996156e-9,1.1814554965103808e-9,1.9835045231509492e-9
capt/LocallyNameless.Lazy.Ott/capt/5,3.98753023281924e-7,3.982978182683602e-7,3.9941722293152813e-7,1.8377539643813867e-9,1.2610417966100132e-9,2.674455494800584e-9
capt/LocallyNameless.Lazy.Ott/capt/6,5.115805528408267e-7,5.111433880771692e-7,5.121961012133265e-7,1.6733631467013655e-9,1.3328018886556728e-9,2.383246572648674e-9
capt/LocallyNameless.Lazy.Ott/capt/7,6.236146953969153e-7,6.23028844250459e-7,6.244528922709092e-7,2.4089136271752592e-9,1.7461355378486847e-9,3.4706021774617576e-9
capt/LocallyNameless.Lazy.Ott/capt/8,7.518939347661214e-7,7.501147654304167e-7,7.538009136794761e-7,5.93506850382718e-9,5.235358871883544e-9,6.769249730392156e-9
capt/LocallyNameless.Lazy.Ott/capt/9,8.903040673193424e-7,8.889952305103252e-7,8.920684374690905e-7,4.9516131978060434e-9,3.679137115653019e-9,6.5890930555887476e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
capt/LocallyNameless.Lazy.Ott/capt/1,1.4267726717233062e-7,1.4235342739536427e-7,1.430841495400991e-7,1.1809888228225741e-9,9.482613778528698e-10,1.5139262454506677e-9
capt/LocallyNameless.Lazy.Ott/capt/2,2.0106794404568755e-7,1.9951966838511932e-7,2.0266084842519839e-7,5.345195208099409e-9,4.67942895247534e-9,6.154927025825514e-9
capt/LocallyNameless.Lazy.Ott/capt/3,2.586206914378774e-7,2.57320068884994e-7,2.6015741116151965e-7,4.6158377850749025e-9,3.2491715846146316e-9,7.580816564873292e-9
capt/LocallyNameless.Lazy.Ott/capt/4,3.269619085899933e-7,3.2669241298578773e-7,3.2748055861112043e-7,1.1626567010988482e-9,7.516112488968445e-10,2.076341593570185e-9
capt/LocallyNameless.Lazy.Ott/capt/5,4.1747745481206254e-7,4.170566520296696e-7,4.179412086182971e-7,1.4354104316415531e-9,1.2612949934774902e-9,1.6325544955256395e-9
capt/LocallyNameless.Lazy.Ott/capt/6,5.370036250969555e-7,5.358139011594838e-7,5.385557741690501e-7,4.3612955663001755e-9,2.9219614322745338e-9,6.9848384349618465e-9
capt/LocallyNameless.Lazy.Ott/capt/7,6.581474067867616e-7,6.574351721972852e-7,6.594858386039053e-7,3.1416424838930182e-9,2.012461093762844e-9,5.1529998353367776e-9
capt/LocallyNameless.Lazy.Ott/capt/8,7.608551575586296e-7,7.598478173046577e-7,7.624966500206051e-7,4.3795401187786245e-9,2.851986767838925e-9,7.383910781481223e-9
capt/LocallyNameless.Lazy.Ott/capt/9,9.354968297341678e-7,9.334693699856098e-7,9.407636927097899e-7,9.874997525705673e-9,4.923050798659463e-9,1.7895310597439157e-8
