Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.Ott/con/1,3.3311872953438946e-8,3.327454083552826e-8,3.335057186142354e-8,1.2335064486010003e-10,1.005958765257533e-10,1.617871849791876e-10
con/LocallyNameless.Lazy.Ott/con/2,6.323396174461028e-8,6.313347713536532e-8,6.337432340502416e-8,3.880612621808982e-10,2.73746137499737e-10,5.757003464957675e-10
con/LocallyNameless.Lazy.Ott/con/3,1.0243947319462247e-7,1.023232982930831e-7,1.0268810727399997e-7,5.863494939897754e-10,3.8359751705027235e-10,1.003474629430879e-9
con/LocallyNameless.Lazy.Ott/con/4,1.5915447360247052e-7,1.5888027696418282e-7,1.594581216698998e-7,9.639546717486582e-10,7.368453393362308e-10,1.2652201583042671e-9
con/LocallyNameless.Lazy.Ott/con/5,2.251936404626838e-7,2.249643979302387e-7,2.2553304669052955e-7,9.699480204534017e-10,6.402143447783621e-10,1.3042041601266652e-9
con/LocallyNameless.Lazy.Ott/con/6,2.9699963731436334e-7,2.9649897772311487e-7,2.9763253761105803e-7,1.9013530189140418e-9,1.3474856177584251e-9,2.690387233226983e-9
con/LocallyNameless.Lazy.Ott/con/7,4.052980740832135e-7,4.035981779110072e-7,4.074833786445545e-7,6.371609408363169e-9,5.366952966601718e-9,8.435250209382243e-9
con/LocallyNameless.Lazy.Ott/con/8,5.043065413592665e-7,5.034491097053034e-7,5.058676489942843e-7,3.736217888884963e-9,2.528416549361605e-9,6.258133606990966e-9
con/LocallyNameless.Lazy.Ott/con/9,6.040428005426664e-7,6.032221587798346e-7,6.050039248678558e-7,3.0217816045339014e-9,2.5077676164938126e-9,3.5831433537116073e-9
con/LocallyNameless.Lazy.Ott/con/10,7.23725485427841e-7,7.22504586506543e-7,7.25059925410485e-7,4.301717256649846e-9,3.767494208560042e-9,4.968880591956022e-9
con/LocallyNameless.Lazy.Ott/con/11,8.652940410831172e-7,8.641826749294184e-7,8.665723825842584e-7,3.977850955630517e-9,3.2856031736284263e-9,4.792403555948914e-9
con/LocallyNameless.Lazy.Ott/con/12,1.0075025151412703e-6,1.0059417123877633e-6,1.0094553976007595e-6,5.691350966632697e-9,4.555216481804656e-9,7.046614201787114e-9
con/LocallyNameless.Lazy.Ott/con/13,1.166738624216691e-6,1.163435610970723e-6,1.1769994571901502e-6,1.7837438339827686e-8,7.431572650766876e-9,3.4395305006562155e-8
con/LocallyNameless.Lazy.Ott/con/14,1.2972290329672417e-6,1.2960832735719223e-6,1.298642017215589e-6,4.137113505854072e-9,3.3048511586476722e-9,5.1121659256779805e-9
con/LocallyNameless.Lazy.Ott/con/15,1.4730663780766524e-6,1.4708081173315072e-6,1.477373871571223e-6,1.0534539522356168e-8,6.590116073853421e-9,1.7863611210632254e-8
con/LocallyNameless.Lazy.Ott/con/16,1.6450866712368528e-6,1.643220500325528e-6,1.6473091579382785e-6,7.02632985034942e-9,5.2433626006441594e-9,9.193773515829706e-9
con/LocallyNameless.Lazy.Ott/con/17,1.8179808304089087e-6,1.8161575991060364e-6,1.8199537837137099e-6,6.318140565811426e-9,5.040332372503289e-9,7.915222966564546e-9
con/LocallyNameless.Lazy.Ott/con/18,2.038951272433693e-6,2.0333803518289906e-6,2.0461277777032653e-6,2.281207582817074e-8,1.6304607188540276e-8,3.17082309444003e-8
con/LocallyNameless.Lazy.Ott/con/19,2.2300129453615904e-6,2.2243103147976056e-6,2.242138737083819e-6,2.767961264300288e-8,1.6190999930179057e-8,5.202412293823763e-8
con/LocallyNameless.Lazy.Ott/con/20,2.4035677565408094e-6,2.401946407345769e-6,2.405797815320348e-6,6.113139129033569e-9,5.1703012348442605e-9,7.294385524582906e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
con/LocallyNameless.Lazy.Ott/con/1,4.706794234343177e-8,4.701413328354648e-8,4.717125610214666e-8,2.3445381772411316e-10,1.3809449868402215e-10,4.458096557262531e-10
con/LocallyNameless.Lazy.Ott/con/2,7.736336179296706e-8,7.725856250888243e-8,7.747906519504866e-8,3.602903103136364e-10,2.996154999366772e-10,4.5089211336065773e-10
con/LocallyNameless.Lazy.Ott/con/3,1.1747776251984152e-7,1.1728666183648048e-7,1.1789425747396559e-7,8.599184458437927e-10,5.536905265427048e-10,1.4905211083009902e-9
con/LocallyNameless.Lazy.Ott/con/4,1.6574328085159913e-7,1.65568412759818e-7,1.6596996170844635e-7,6.857660637286802e-10,5.576120159688542e-10,8.970154437503198e-10
con/LocallyNameless.Lazy.Ott/con/5,2.3111225951755637e-7,2.3063532797390307e-7,2.3179635815893194e-7,1.8601360716514444e-9,1.410647616405755e-9,2.3964550525538613e-9
con/LocallyNameless.Lazy.Ott/con/6,3.074907626174384e-7,3.0674942224744515e-7,3.0901731267483887e-7,3.370160805614653e-9,1.5410936353527868e-9,5.7649442164938725e-9
con/LocallyNameless.Lazy.Ott/con/7,4.1805818548662425e-7,4.1657540669851356e-7,4.198075698590148e-7,5.652147669196175e-9,4.6335957528158184e-9,7.50846628451374e-9
con/LocallyNameless.Lazy.Ott/con/8,5.066129545695769e-7,5.045904174748267e-7,5.08818995534663e-7,6.95175958043146e-9,6.0840713839766146e-9,8.051638014379132e-9
con/LocallyNameless.Lazy.Ott/con/9,6.264978355600814e-7,6.25618686856051e-7,6.276210471208395e-7,3.4756408735973127e-9,2.833769895032103e-9,4.722184756578477e-9
con/LocallyNameless.Lazy.Ott/con/10,7.423509572168257e-7,7.405813375901864e-7,7.444623350408794e-7,6.735182798708519e-9,5.946019032856424e-9,8.187258287098694e-9
con/LocallyNameless.Lazy.Ott/con/11,9.01209772330062e-7,8.997326684077196e-7,9.029370659668743e-7,5.498361989746646e-9,4.286966473102333e-9,7.727177091902614e-9
con/LocallyNameless.Lazy.Ott/con/12,1.0390168927469496e-6,1.0357026703859368e-6,1.0440263641646884e-6,1.3338126724023501e-8,8.98137257710402e-9,2.0914681275548185e-8
con/LocallyNameless.Lazy.Ott/con/13,1.156055296598246e-6,1.1550262708578362e-6,1.1579665839883021e-6,4.73486709435701e-9,3.1077648307298155e-9,7.887737315989883e-9
con/LocallyNameless.Lazy.Ott/con/14,1.329946219013144e-6,1.3277738150971244e-6,1.332724640136258e-6,7.984046238629204e-9,6.054366903866963e-9,1.2176480110219095e-8
con/LocallyNameless.Lazy.Ott/con/15,1.4924602248281405e-6,1.4900932630834395e-6,1.4956211656827303e-6,9.298593066567006e-9,6.266300695879754e-9,1.6156682277660935e-8
con/LocallyNameless.Lazy.Ott/con/16,1.6538373492831839e-6,1.6503034898656672e-6,1.6578438211936348e-6,1.285760794634403e-8,9.233173817922516e-9,1.798870859801268e-8
con/LocallyNameless.Lazy.Ott/con/17,1.842336548898102e-6,1.8398268347145035e-6,1.8448633591053079e-6,8.65851787732202e-9,7.294858450970123e-9,1.0112833740830564e-8
con/LocallyNameless.Lazy.Ott/con/18,2.0700151942015535e-6,2.0661501301733516e-6,2.0762978843211414e-6,1.6790008427018623e-8,1.2217331217406488e-8,2.6431383634487727e-8
con/LocallyNameless.Lazy.Ott/con/19,2.2429795139451393e-6,2.240168116753808e-6,2.2471353837818446e-6,1.1493315679763098e-8,9.119736542897097e-9,1.8100478825710312e-8
con/LocallyNameless.Lazy.Ott/con/20,2.4544734415409263e-6,2.4507659102825652e-6,2.4623282882871584e-6,1.859591467967951e-8,9.29260353571273e-9,3.752340572921857e-8
