Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/1,3.087587009623101e-7,3.083816763962963e-7,3.0940254021371065e-7,1.6097706516391363e-9,9.925066519394435e-10,2.4545845004181127e-9
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/2,9.23651817616118e-7,9.223057262478149e-7,9.252004404937092e-7,4.7414692655640905e-9,3.798853516169304e-9,5.7086532633200236e-9
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/3,2.0186381681705145e-6,2.01621862446041e-6,2.0217624012481355e-6,9.33780321396316e-9,7.4147562301554795e-9,1.3334465993394132e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/4,3.6211413581565646e-6,3.616948187882932e-6,3.6282962741788653e-6,1.8964585140992947e-8,1.1746834860867999e-8,3.132157890615572e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/5,5.992193097427769e-6,5.985786565319324e-6,6.009667620802379e-6,3.046445962834863e-8,1.767222351679438e-8,5.956670768481088e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/6,8.975487967939794e-6,8.965396438385422e-6,8.995428480086587e-6,4.6032866101018436e-8,2.9480246158810726e-8,7.595731877503106e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/7,1.2797881420484129e-5,1.2782908058427375e-5,1.2822889233514973e-5,6.258835700703673e-8,4.545156343608213e-8,9.614055321730759e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/8,1.7179234947585793e-5,1.715753553278169e-5,1.7218371503346942e-5,9.052949617327175e-8,4.9129150682936524e-8,1.4809027188431616e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/9,2.315508150117606e-5,2.3135822909516314e-5,2.318381644951414e-5,8.071674732358385e-8,6.45655235935646e-8,9.884252472347067e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/10,2.9726769382984267e-5,2.969120192934588e-5,2.978782279211618e-5,1.5708620526993387e-7,1.0168283745137037e-7,2.3226756647274432e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/11,3.818965056906456e-5,3.81678963577322e-5,3.821377553462367e-5,7.667575287953861e-8,6.455477258413108e-8,9.368529987039059e-8
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/12,4.7484437114526495e-5,4.743974318803027e-5,4.7559375504156215e-5,1.937123514709181e-7,1.1844127354055682e-7,3.068963361085992e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/13,5.869586599406234e-5,5.859195836619236e-5,5.8864527177380896e-5,4.283194717538343e-7,3.180052250020505e-7,5.902796730270848e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/14,7.119424643956423e-5,7.10820795946467e-5,7.139622543509125e-5,4.9164103737959e-7,2.758745834748853e-7,7.576710845302104e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/15,8.508558802124074e-5,8.50056571204737e-5,8.523811511652261e-5,3.571757752395739e-7,2.2259842045438517e-7,5.784800480064275e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/16,1.0126978685786273e-4,1.0115031128155815e-4,1.0142688852637631e-4,4.4885373976692026e-7,3.5335316401899256e-7,6.322905318408652e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/17,1.1887813958152708e-4,1.1878519600342174e-4,1.1900156034459173e-4,3.7093671539561945e-7,2.5306127549561294e-7,5.222545612776097e-7
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/18,1.3896786911239795e-4,1.388159816715019e-4,1.393193415080684e-4,7.206152556096184e-7,4.3656717712570067e-7,1.345545803160859e-6
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/19,1.6084447463535876e-4,1.6050083924600776e-4,1.6138174321484174e-4,1.3626374152946637e-6,8.821599156314025e-7,1.984464255964111e-6
adjustb/LocallyNameless.Lazy.ParOpt/adjustb/20,1.83773793085108e-4,1.8342973882132417e-4,1.8438131510954196e-4,1.5440774575577534e-6,8.912582549340831e-7,2.3127997061802047e-6
